Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,3,3,204,2.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.00,0.20,0.20,0.00,0.20,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,80,122,65.6,1603,786,33,40,82.5,36,59,61.0,11,18,61.1,-0.5,1,6,2,2,12,92,30,0,16,5,5,0,0,0,0,67,11,44,9,83,2,26,1,0,6,0,10,2,0.88,2,0,0,0,0,0,0.00,0,0,0,0,0,0,14,4,8,6,0,3,42.9,4,12,18.2,36,24,6,0,7,19,9,0,157,8,0,66.7,2,0,85,0,2,2,76,70,92.1,4,68,6.0,68,1,0,,7,0.33,0,2,-2,-0.88,-1.22,1.6,2.9,-1.3,-0.58,-0.40,0,6,0,0,0,22,1,4,20.0,Big-5-European-Leagues,Big5,2018-2019
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,36,36,3195,35.5,3,2,3,0,0,3,0,0.08,0.06,0.14,0.08,0.14,2.6,2.6,3.5,6.2,0.07,0.10,0.17,0.07,0.17,Matches,45,12,26.7,1.27,0.34,0.07,0.25,19.7,0,0.06,+0.4,+0.4,1596,1974,80.9,26693,11600,819,933,87.8,606,731,82.9,145,246,58.9,-1.5,31,112,62,9,215,1609,365,5,247,27,55,2,0,2,0,1321,346,307,1291,322,41,312,4,3,33,61,51,69,1.94,58,5,1,2,0,6,0.17,4,1,0,1,0,0,49,32,35,11,3,18,40.0,27,117,30.5,271,80,33,0,48,98,92,1,2315,141,78,59.1,27,1,1433,19,27,19,1467,1356,92.4,69,89,93.4,89,33,0,,2,1.19,44,47,-3,-0.08,-0.48,46.3,44.1,+2.2,+0.06,-0.27,0,12,0,0,0,326,13,12,52.0,Big-5-European-Leagues,Big5,2018-2019
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,19,15,1302,14.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.00,0.02,0.02,0.00,0.02,Matches,1,1,100.0,0.07,0.07,0.00,0.00,14.8,0,0.03,0.0,0.0,766,918,83.4,14840,5802,301,325,92.6,358,401,89.3,100,167,59.9,-0.3,7,73,13,4,77,804,114,3,144,14,20,0,0,0,0,625,139,154,59,736,21,95,2,1,12,14,23,18,1.24,18,0,0,0,0,0,0.00,0,0,0,0,0,0,37,21,19,14,4,13,43.3,17,56,28.1,102,77,20,0,29,51,53,1,1056,74,9,55.6,8,2,700,2,6,3,709,687,96.9,10,69,38.1,83,8,4,16,19,2.11,22,12,+10,+0.69,+0.31,20.2,14.3,+6.0,+0.41,+0.32,0,13,0,1,0,113,10,7,58.8,Big-5-European-Leagues,Big5,2018-2019
4,Issah Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.17,0.00,0.17,0.17,0.17,Matches,1,0,0.0,10.00,0.00,0.00,,30.2,0,0.02,0.0,0.0,1,2,50.0,32,9,0,1,0.0,0,0,,1,1,100.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,1,0,0,0,0,0,0,5,0,0,100.0,1,0,6,0,1,0,2,2,100.0,0,9,0.3,,0,1,8,2,1.00,0,0,0,0.00,+0.32,0.0,0.2,-0.1,-1.21,-0.96,0,0,0,0,0,3,0,0,,Big-5-European-Leagues,Big5,2018-2019
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38,38,3420,38.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.7,1.7,0.1,1.8,0.04,0.00,0.05,0.04,0.05,Matches,18,4,22.2,0.47,0.11,0.00,0.00,13.1,0,0.09,-1.7,-1.7,1318,1576,83.6,30166,10127,286,339,84.4,758,818,92.7,269,394,68.3,-0.1,3,51,3,0,59,1522,54,1,187,53,0,0,0,0,0,1173,119,284,1007,436,90,2,5,4,36,9,22,20,0.53,15,0,3,0,0,1,0.03,1,0,0,0,0,0,67,35,51,15,1,26,60.5,17,128,35.7,271,80,8,0,54,113,240,2,2023,310,26,91.7,22,0,1227,0,10,5,1210,1179,97.4,11,90,100.0,90,38,0,,0,1.45,39,42,-3,-0.08,,40.6,44.9,-4.3,-0.11,,0,33,0,1,1,327,88,47,65.2,Big-5-European-Leagues,Big5,2018-2019
6,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,26,23,2023,22.5,3,0,2,1,1,6,0,0.13,0.00,0.13,0.09,0.09,3.1,2.4,1.5,3.8,0.14,0.06,0.20,0.11,0.17,Matches,35,11,31.4,1.56,0.49,0.06,0.18,22.9,0,0.07,-0.1,-0.4,919,1081,85.0,17137,3889,403,438,92.0,377,431,87.5,121,183,66.1,-1.5,23,87,11,2,72,1048,33,2,198,32,13,10,0,0,1,828,96,157,101,912,46,4,4,4,26,7,15,43,1.91,32,5,3,1,1,2,0.09,2,0,0,0,0,0,58,40,28,22,8,13,31.7,28,117,26.1,137,237,75,0,27,82,22,0,1356,34,27,62.3,40,2,1016,1,33,36,1007,897,89.1,63,78,59.2,84,16,3,27,1,0.81,18,30,-12,-0.53,+0.56,22.2,34.7,-12.4,-0.55,+0.03,0,57,0,0,0,256,16,14,53.3,Big-5-European-Leagues,Big5,2018-2019
7,Charles Abi,fr FRA,"MF,FW",Saint-Ãtienne,fr Ligue 1,18,2000,3,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.45,0.00,0.45,0.45,0.45,Matches,1,0,0.0,2.81,0.00,0.00,,12.0,0,0.16,-0.2,-0.2,6,16,37.5,58,15,5,7,71.4,1,4,25.0,0,3,0.0,0.0,0,0,2,0,2,16,0,0,5,0,0,0,0,0,0,9,2,5,13,0,1,0,0,0,1,2,1,2,5.63,0,0,1,1,0,0,0.00,0,0,0,0,0,0,6,4,3,1,2,4,80.0,1,2,18.2,4,1,6,0,0,7,0,0,29,1,3,66.7,2,0,20,0,1,2,23,15,65.2,1,11,0.9,,0,3,10,4,1.67,0,0,0,0.00,-0.48,0.9,1.5,-0.6,-1.76,-1.92,0,2,0,0,0,6,2,1,66.7,Big-5-European-Leagues,Big5,2018-2019
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,17,17,1420,15.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.6,0.03,0.01,0.04,0.03,0.04,Matches,5,1,20.0,0.32,0.06,0.00,0.00,12.7,0,0.09,-0.4,-0.4,520,671,77.5,12124,4564,141,171,82.5,243,288,84.4,132,199,66.3,-0.1,3,58,7,3,66,648,23,0,101,24,4,0,0,0,0,427,73,171,72,518,60,3,0,2,12,12,12,11,0.70,8,0,0,1,1,1,0.06,0,0,0,1,0,0,28,19,17,9,2,8,30.8,18,68,37.6,112,60,9,1,29,43,65,0,828,90,8,80.0,4,0,475,0,3,2,452,442,97.8,10,84,46.4,84,15,0,,3,1.35,28,29,-1,-0.06,-0.78,24.8,25.9,-1.1,-0.07,-0.40,0,11,0,0,0,197,27,16,62.8,Big-5-European-Leagues,Big5,2018-2019
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,10,9,790,8.8,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.02,0.01,0.02,0.02,0.02,Matches,7,2,28.6,0.80,0.23,0.00,0.00,25.9,0,0.02,-0.2,-0.2,333,384,86.7,5636,968,153,174,87.9,150,162,92.6,26,34,76.5,-0.1,2,22,1,0,16,374,10,0,77,4,1,0,0,0,0,291,47,46,25,321,28,2,4,0,4,4,10,4,0.46,4,0,0,0,0,0,0.00,0,0,0,0,0,0,19,12,8,8,3,4,20.0,16,48,23.8,71,106,25,0,9,31,10,0,463,20,4,85.7,6,0,339,1,1,11,291,277,95.2,11,79,25.8,85,7,1,22,2,1.20,10,15,-5,-0.57,-0.17,8.6,12.9,-4.2,-0.48,-0.12,0,19,0,0,0,117,5,6,45.5,Big-5-European-Leagues,Big5,2018-2019
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,37,37,3309,36.8,3,1,3,0,0,4,1,0.08,0.03,0.11,0.08,0.11,3.0,3.0,0.6,3.6,0.08,0.02,0.10,0.08,0.10,Matches,19,7,36.8,0.52,0.19,0.16,0.43,8.6,0,0.16,0.0,0.0,1554,1787,87.0,33525,10694,443,500,88.6,810,875,92.6,287,389,73.8,+0.4,8,112,6,2,94,1721,66,1,262,48,8,0,0,0,0,1284,184,319,1278,318,121,15,7,3,32,16,9,22,0.60,17,0,0,3,1,2,0.05,1,0,0,1,0,0,51,30,29,16,6,14,53.8,12,96,37.1,173,71,15,0,32,94,181,2,2162,279,27,81.8,9,0,1360,2,7,14,1344,1307,97.2,26,89,96.8,89,36,0,,0,1.59,55,44,+11,+0.30,+1.11,55.0,41.4,+13.6,+0.37,+0.24,1,26,0,2,0,424,78,36,68.4,Big-5-European-Leagues,Big5,2018-2019
