club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
Cardiff City,Jörn Schwinkendorf,28,Centre-Back,Waldh. Mannheim,£135k,in,0.135,Championship,1999,1999/2000
Cardiff City,John Cornforth,31,Midfielder,Wycombe,Free Transfer,in,0,Championship,1999,1999/2000
Cardiff City,Ritchie Humphreys,21,Defensive Midfield,Sheff Wed,Loan,in,0,Championship,1999,1999/2000
Cardiff City,Josh Low,20,Right Midfield,Leyton Orient,Free Transfer,in,0,Championship,1999,1999/2000
Cardiff City,Willie Boland,23,Central Midfield,Coventry,Free Transfer,in,0,Championship,1999,1999/2000
Cardiff City,Tony Vaughan,23,Left-Back,Man City,Loan,in,0,Championship,1999,1999/2000
Cardiff City,Russell Perrett,26,Centre-Back,Portsmouth,£14k,in,0.014,Championship,1999,1999/2000
Cardiff City,Paul Brayson,22,Forward,Reading,Loan,in,0,Championship,1999,1999/2000
Cardiff City,Winston Faerber,28,Right-Back,ADO Den Haag,?,in,NA,Championship,1999,1999/2000
Cardiff City,Matt Brazier,22,Midfielder,Fulham,?,in,NA,Championship,1999,1999/2000
Cardiff City,Robert Earnshaw,18,Centre-Forward,Cardiff U18,-,in,0,Championship,1999,1999/2000
Cardiff City,Craig Middleton,29,Midfielder,Plymouth,"End of loanFeb 27, 2000",in,0,Championship,1999,1999/2000
Cardiff City,Robert Earnshaw,18,Centre-Forward,Morton,"End of loanFeb 1, 2000",in,0,Championship,1999,1999/2000
Cardiff City,John Cornforth,32,Midfielder,Scunthorpe Utd.,Free Transfer,out,0,Championship,1999,1999/2000
Cardiff City,Robert Earnshaw,18,Centre-Forward,Morton,Loan,out,0,Championship,1999,1999/2000
Cardiff City,Craig Middleton,29,Midfielder,Plymouth,Loan,out,0,Championship,1999,1999/2000
Cardiff City,Craig Middleton,29,Midfielder,Halifax Town,£29k,out,0.029,Championship,1999,1999/2000
Cardiff City,John Williams,31,Centre-Forward,York City,£23k,out,0.023,Championship,1999,1999/2000
Cardiff City,Wayne O'Sullivan,25,Right Midfield,Plymouth,?,out,NA,Championship,1999,1999/2000
Cardiff City,Paul Brayson,22,Forward,Reading,"End of loanMay 8, 2000",out,0,Championship,1999,1999/2000
Cardiff City,Ritchie Humphreys,22,Defensive Midfield,Sheff Wed,"End of loanFeb 1, 2000",out,0,Championship,1999,1999/2000
Cardiff City,Tony Vaughan,24,Left-Back,Man City,"End of loanDec 16, 1999",out,0,Championship,1999,1999/2000
Fulham FC,Lee Clark,26,Right Winger,Sunderland,£4.05m,in,4.05,Championship,1999,1999/2000
Fulham FC,Eddie Lewis,25,Left Midfield,Quakes,£1.62m,in,1.62,Championship,1999,1999/2000
Fulham FC,Karl-Heinz Riedle,34,Centre-Forward,Liverpool,£248k,in,0.248,Championship,1999,1999/2000
Fulham FC,Marcus Hahnemann,27,Goalkeeper,Colorado,£101k,in,0.101,Championship,1999,1999/2000
