club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
CSKA Moscow,Jiri Jarosik,25,Centre-Back,Sparta Praha,£2.70m,in,2.7,Premier Liga,2002,2002/2003
CSKA Moscow,Alan Kusov,21,Central Midfield,Alania,£450k,in,0.45,Premier Liga,2002,2002/2003
CSKA Moscow,Aleksandr Geynrikh,18,Centre-Forward,Pakhtakor,Free Transfer,in,0,Premier Liga,2002,2002/2003
CSKA Moscow,Ruslan Nigmatullin,27,Goalkeeper,Hellas Verona,Loan,in,0,Premier Liga,2002,2002/2003
CSKA Moscow,Igor Akinfeev,16,Goalkeeper,CSKA Moscow II,-,in,0,Premier Liga,2002,2002/2003
CSKA Moscow,Igor Piyuk,20,Centre-Forward,Tor-Met Moskau,"End of loanDec 1, 2002",in,0,Premier Liga,2002,2002/2003
CSKA Moscow,Andrey Tsaplin,25,Right Winger,Tor-Met Moskau,?,out,NA,Premier Liga,2002,2002/2003
CSKA Moscow,Evgeni Varlamov,27,Centre-Back,Chernomorets N.,?,out,NA,Premier Liga,2002,2002/2003
CSKA Moscow,Vyacheslav Daev,30,Centre-Back,Shinnik,?,out,NA,Premier Liga,2002,2002/2003
CSKA Moscow,Vladimir Kuzmichev,22,Left Winger,Torpedo Moscow,Loan,out,0,Premier Liga,2002,2002/2003
CSKA Moscow,Igor Piyuk,20,Centre-Forward,Tor-Met Moskau,Loan,out,0,Premier Liga,2002,2002/2003
CSKA Moscow,Igor Piyuk,20,Centre-Forward,Chernomorets N.,Loan,out,0,Premier Liga,2002,2002/2003
CSKA Moscow,Aleksey Triputen,20,Defensive Midfield,Tor-Met Moskau,Loan,out,0,Premier Liga,2002,2002/2003
CSKA Moscow,Ashkat Kadyrkulov,27,Midfielder,FK Astana 1964,?,out,NA,Premier Liga,2002,2002/2003
CSKA Moscow,Roman Monarev,22,Centre-Forward,Tor-Met Moskau,?,out,NA,Premier Liga,2002,2002/2003
CSKA Moscow,Ruslan Nigmatullin,28,Goalkeeper,Hellas Verona,"End of loanDec 1, 2002",out,0,Premier Liga,2002,2002/2003
CSKA Moscow,Aleksandr Berketov,27,Centre-Back,CSKA Moscow II,-,out,0,Premier Liga,2002,2002/2003
Zenit St. Petersburg,Vladislav Radimov,27,Central Midfield,KS Samara,£1.35m,in,1.35,Premier Liga,2002,2002/2003
Zenit St. Petersburg,Pavel Mares,26,Left-Back,Sparta Praha,£630k,in,0.63,Premier Liga,2002,2002/2003
Zenit St. Petersburg,Martin Horak,22,Centre-Back,Sparta Praha,£450k,in,0.45,Premier Liga,2002,2002/2003
Zenit St. Petersburg,Radek Sirl,21,Left-Back,Sparta Praha,£450k,in,0.45,Premier Liga,2002,2002/2003
Zenit St. Petersburg,Kamil Contofalsky,24,Goalkeeper,Bohemians 1905,£405k,in,0.405,Premier Liga,2002,2002/2003
Zenit St. Petersburg,Lukas Hartig,26,Centre-Forward,Sparta Praha,£270k,in,0.27,Premier Liga,2002,2002/2003
Zenit St. Petersburg,Daniel Chirita,28,Centre-Back,Shakhtar D.,£180k,in,0.18,Premier Liga,2002,2002/2003
Zenit St. Petersburg,Zeno Bundea,24,Attacking Midfield,Waldh. Mannheim,Free Transfer,in,0,Premier Liga,2002,2002/2003
Zenit St. Petersburg,Darius Miceika,19,Central Midfield,Zalgiris,£23k,in,0.023,Premier Liga,2002,2002/2003
Zenit St. Petersburg,Dzhambulad Bazaev,22,Right Winger,Alania,Loan,in,0,Premier Liga,2002,2002/2003
Zenit St. Petersburg,Sergey Ivanov,18,Goalkeeper,Zenit II,-,in,0,Premier Liga,2002,2002/2003
Zenit St. Petersburg,Konstantin Lepekhin,27,Centre-Back,Dinamo S-Pb,Free Transfer,out,0,Premier Liga,2002,2002/2003
Zenit St. Petersburg,Dmitri Ogorodnik,24,Centre-Forward,M. Lipetsk,Free Transfer,out,0,Premier Liga,2002,2002/2003
Zenit St. Petersburg,Denis Ugarov,27,Central Midfield,M. Lipetsk,Free Transfer,out,0,Premier Liga,2002,2002/2003
Zenit St. Petersburg,Zeno Bundea,25,Attacking Midfield,Uni. Craiova,Free Transfer,out,0,Premier Liga,2002,2002/2003
Zenit St. Petersburg,Boris Gorovoi,28,Defensive Midfield,Tor-Met Moskau,?,out,NA,Premier Liga,2002,2002/2003
Zenit St. Petersburg,Evgeni Tarasov,23,Centre-Forward,Sokol Saratov,?,out,NA,Premier Liga,2002,2002/2003
Zenit St. Petersburg,Vladimir Nagibin,21,Central Midfield,Zenit 2 S-Pb,-,out,0,Premier Liga,2002,2002/2003
Zenit St. Petersburg,Vladimir Mudrinic,26,Attacking Midfield,Smederevo,"End of loanDec 31, 2002",out,0,Premier Liga,2002,2002/2003
Zenit St. Petersburg,Dzhambulad Bazaev,23,Right Winger,Alania,"End of loanDec 31, 2002",out,0,Premier Liga,2002,2002/2003
Zenit St. Petersburg,Darius Miceika,19,Central Midfield,Zenit II,-,out,0,Premier Liga,2002,2002/2003
Rubin Kazan,Tomas Cizek,24,Attacking Midfield,Sparta Praha,£450k,in,0.45,Premier Liga,2002,2002/2003
Rubin Kazan,MacBeth Sibaya,25,Defensive Midfield,Rosenborg BK,£450k,in,0.45,Premier Liga,2002,2002/2003
Rubin Kazan,Roni,25,Centre-Forward,Fluminense,£270k,in,0.27,Premier Liga,2002,2002/2003
Rubin Kazan,Calisto,27,Left-Back,EC Vitória,£225k,in,0.225,Premier Liga,2002,2002/2003
Rubin Kazan,Vladimir Bayramow,22,Centre-Forward,Metallurg Kr.,Free Transfer,in,0,Premier Liga,2002,2002/2003
Rubin Kazan,Nikolai Ryndyuk,24,Centre-Forward,Gaziantepspor,Free Transfer,in,0,Premier Liga,2002,2002/2003
Rubin Kazan,Jiri Novotny,32,Centre-Back,Sparta Praha,Free Transfer,in,0,Premier Liga,2002,2002/2003
Rubin Kazan,Dmitri Michkov,22,Defensive Midfield,Servette FC,?,in,NA,Premier Liga,2002,2002/2003
Rubin Kazan,Mohamed Moustapha Mané,18,Centre-Forward,Unknown,?,in,NA,Premier Liga,2002,2002/2003
Rubin Kazan,Oleg Nechaev,31,Centre-Forward,Amkar Perm,?,in,NA,Premier Liga,2002,2002/2003
Rubin Kazan,Anatolii Opria,24,Left-Back,Kristall,?,in,NA,Premier Liga,2002,2002/2003
Rubin Kazan,Milorad Mrdak,31,Midfielder,Smederevo,?,in,NA,Premier Liga,2002,2002/2003
Rubin Kazan,Leandro Samarone,31,Centre-Back,KS Samara,?,in,NA,Premier Liga,2002,2002/2003
Rubin Kazan,Oleksandr Svystunov,28,Midfielder,Chernomorets N.,?,in,NA,Premier Liga,2002,2002/2003
Rubin Kazan,Mindaugas Kalonas,19,Attacking Midfield,Braga,?,in,NA,Premier Liga,2002,2002/2003
Rubin Kazan,Sergey Gunko,29,Midfielder,Kristall,Loan,in,0,Premier Liga,2002,2002/2003
Rubin Kazan,Andrey Kovalenko,32,Midfielder,Kuban Krasnodar,?,in,NA,Premier Liga,2002,2002/2003
Rubin Kazan,Nikolai Ryndyuk,24,Centre-Forward,Dinamo Minsk,Free Transfer,out,0,Premier Liga,2002,2002/2003
Rubin Kazan,Valeri Klimov,28,Right Winger,Arsenal Tula,?,out,NA,Premier Liga,2002,2002/2003
Rubin Kazan,Andrey Kovalenko,32,Midfielder,Terek Grozny,?,out,NA,Premier Liga,2002,2002/2003
Rubin Kazan,Viktor Gaus,38,Goalkeeper,Dinamo Ufa,?,out,NA,Premier Liga,2002,2002/2003
Rubin Kazan,Serhii Yakovenko,27,Midfielder,Baltika,?,out,NA,Premier Liga,2002,2002/2003
Rubin Kazan,Gennadi Semin,35,Left Winger,Salyut Belgorod,?,out,NA,Premier Liga,2002,2002/2003
Rubin Kazan,Aleksandr Grishin,31,Central Midfield,Salyut Belgorod,?,out,NA,Premier Liga,2002,2002/2003
Rubin Kazan,Milorad Mrdak,31,Midfielder,Smederevo,?,out,NA,Premier Liga,2002,2002/2003
Rubin Kazan,Andrey Kozlov,28,Centre-Back,Fakel Voronezh,?,out,NA,Premier Liga,2002,2002/2003
Rubin Kazan,Aleksandr Lipko,27,Centre-Back,Terek Grozny,?,out,NA,Premier Liga,2002,2002/2003
Rubin Kazan,Anatolii Opria,25,Left-Back,Chornomorets,?,out,NA,Premier Liga,2002,2002/2003
Rubin Kazan,Oleksandr Svystunov,29,Midfielder,Volgar-Gazprom,?,out,NA,Premier Liga,2002,2002/2003
Rubin Kazan,Oleksandr Hranovsky,26,Right-Back,Kryvbas,?,out,NA,Premier Liga,2002,2002/2003
