No.,qualifierTypeName,qualifierTypeId,Values,Definition,Qualifier Category,Associated Event Type (typeName)
1,Long ball,1,,Long pass over 35 yards,Pass Events,1
2,Cross,2,,A ball played in from wide areas into the box,Pass Events,1
3,Head pass,3,,Pass made with a players head,Pass Events,1
4,Through ball,4,,Ball played through for player making an attacking run to create a chance on goal,Pass Events,1
5,Free kick taken,5,,Any free kick; direct or indirect,Pass Events,1
6,Corner taken,6,,All corners. Look for qualifier 6 but excluding qualifier 2 for short corners,Pass Events,1
7,Players caught offside,7,Player ID,Player who was in an offside position when pass was made.,Pass Events,1
8,Goal disallowed,8,,Pass led to a goal disallowed for a foul or offside,Pass Events,1
9,Penalty,9,,When attempt on goal was a penalty kick. ALSO used on Event type 4 to indicate a penalty was awarded,Shot Descriptors,"13, 14, 15, 16"
10,Hand,10,,Handball,Foul & Card Events,4
11,6-seconds violation,11,,Goalkeeper held onto the ball longer than 6 seconds resulting in a free kick,Foul & Card Events,4
12,Dangerous play,12,,A foul due to dangerous play,Foul & Card Events,4
13,Foul,13,,All fouls,Foul & Card Events,4
14,Last line,14,,When a player makes a defensive action and they are the last person between the opponent and the goal,Defensive Events,
15,Head,15,,Any event where the player used their head such as a shot or a clearance,Body Part,
16,Small box-centre,16,,Zone of the pitch - See appendix 7,Shot Location Descriptors,
17,Box-centre,17,,Zone of the pitch - See appendix 7,Shot Location Descriptors,
18,Out of box-centre,18,,Zone of the pitch - See appendix 7,Shot Location Descriptors,
19,35+ centre,19,,Zone of the pitch - See appendix 7,Shot Location Descriptors,
20,Right footed,20,,Player shot with right footed,Body Part,
21,Other body part,21,,Shot was neither via a player’s head or foot for example knee or chest,Body Part,
22,Regular play,22,,Shot during open play as opposed to from a set play,Pattern of Play,"13, 14, 15, 16"
23,Fast break,23,,Shot occurred following a fast break situation,Pattern of Play,"13, 14, 15, 16"
24,Set piece,24,,Shot occurred from a crossed free kick,Pattern of Play,"13, 14, 15, 16"
25,From corner,25,,Shot occurred from a corner,Pattern of Play,"13, 14, 15, 16"
26,Free kick,26,,Shot occurred directly from a free kick,Pattern of Play,"13, 14, 15, 16"
27,,,,,,
28,own goal,28,,Own goal. Note: Use the inverse coordinates of the goal location,Shot Descriptors,"13, 14, 15, 16"
29,Assisted,29,,Indicates that there was a pass (assist) from another player to set up the goal opportunity,Line Up / Subs / Formation,"13, 14, 15, 16"
30,Involved,30,,Player ID's in line up,Foul & Card Events,"32, 34, 35, 36, 40"
31,Yellow Card,31,,Player shown a yellow card,Foul & Card Events,
32,Second yellow,32,,Player receives a 2nd yellow card which automatically results in a red card,Foul & Card Events,
33,Red Card,33,,Player shown a straight red card,Foul & Card Events,
34,Referee abuse,34,,Card shown to player because of abuse to the referee,Foul & Card Events,4
35,Argument,35,,Card shown to player because of an argument,Foul & Card Events,4
36,Fight,36,,Card shown to player because of their involvement in a fight,Foul & Card Events,4
37,Time wasting,37,,Card shown to player for time wasting,Foul & Card Events,4
38,Excessive celebration,38,,Card shown to player for excessively celebrating a goal,Foul & Card Events,4
39,Crowd interaction,39,,Card shown to player because of contact or communication with the crowd,Foul & Card Events,4
40,Other reason,40,,Card shown for unknown reason,Foul & Card Events,4
41,Injury,41,,"Substitution, event 18, because of injury",Line Up / Subs / Formation,"32, 34, 35, 36, 40"
42,Tactical,42,,"Substitution, event 18 for tactical reasons",Line Up / Subs / Formation,"32, 34, 35, 36, 40"
43,,,,,,
44,Player Position,44,Dynamic,"Goalkeeper, Defender, Midfielder, Forward or Substitute. These are the default / natural positions associated with each player and not necessarily the position they played in the match; see qualifier 131 for this.",Line Up / Subs / Formation,"32, 34, 35, 36, 40"
45,Temperature,45,,...,...,
46,Conditions,46,,...,...,
47,Field Pitch,47,,...,...,
48,Lightings,48,,...,...,
49,Attendance figure,49,Dynamic,Number of people in the crowd,Attendance,
50,Official position,50,"1, 2, 3, 4","Referee, Linesman#1, Linesman#2, Forth official",Referee,
51,Official Id,51,Official ID,Unique ID for the official,Referee,
52,,,,,,
53,Injured player id,53,ID of player injured,ID of the player who is injured and causing a delay in the game,Stoppages,27
54,End cause,54,"1,2,3,4,5,6,7,99,100","Golden goal, weather, crowd, insufficient players, floodlight failure, frozen pitch, waterlogged pitch, other, unknown",General,
55,Related event ID,55,Event_id,"This will appear for goals or shots, the related event_id will be that of the assist and thus show the assisting player ID",Pattern of Play,"13, 14, 15, 16"
56,Zone,56,"Back, left, centre, right",Area on the pitch - see appendix 7,General,
57,End type,57,End of the match,"This will be shown for substitutions, line ups, line up changes",General,
58,,,,,,
59,Jersey Number,59,Shirt number of player(s),"This will be shown for substitutions, line ups, line up changes",Line Up / Subs / Formation,"32, 34, 35, 36, 40"
60,Small box-right,60,,Zone of the pitch - See appendix 7,Shot Location Descriptors,
61,Small box-left,61,,Zone of the pitch - See appendix 7,Shot Location Descriptors,
62,Box-deep right,62,,Zone of the pitch - See appendix 7,Shot Location Descriptors,
63,Box-right,63,,Zone of the pitch - See appendix 7,Shot Location Descriptors,
64,Box-left,64,,Zone of the pitch - See appendix 7,Shot Location Descriptors,
65,Box-deep left,65,,Zone of the pitch - See appendix 7,Shot Location Descriptors,
66,Out of box-deep right,66,,Zone of the pitch - See appendix 7,Shot Location Descriptors,
67,Out of box-right,67,,Zone of the pitch - See appendix 7,Shot Location Descriptors,
68,Out of box-left,68,,Zone of the pitch - See appendix 7,Shot Location Descriptors,
69,Out of box-deep left,69,,Zone of the pitch - See appendix 7,Shot Location Descriptors,
70,35+ right,70,,Zone of the pitch - See appendix 7,Shot Location Descriptors,
71,35+ left,71,,Zone of the pitch - See appendix 7,Shot Location Descriptors,
72,Left footed,72,,Player shot with their left foot,Body Part,
73,Left,73,,Hit the left post or missed left,Shot Location Descriptors,
74,High,74,,Hit crossbar or missed over,Shot Location Descriptors,
75,Right,75,,Hit right post or missed right,Shot Location Descriptors,
76,Low Left,76,,Zone of the goalmouth - See appendix 6,Shot Location Descriptors,
77,High Left,77,,Zone of the goalmouth - See appendix 6,Shot Location Descriptors,
78,Low Centre,78,,Zone of the goalmouth - See appendix 6,Shot Location Descriptors,
79,High Centre,79,,Zone of the goalmouth - See appendix 6,Shot Location Descriptors,
80,Low Right,80,,Zone of the goalmouth - See appendix 6,Shot Location Descriptors,
81,High Right,81,,Zone of the goalmouth - See appendix 6,Shot Location Descriptors,
82,Blocked,82,,Zone of the goalmouth - See appendix 6,Shot Location Descriptors,
83,Close Left,83,,Zone of the goalmouth - See appendix 6,Shot Location Descriptors,
84,Close Right,84,,Zone of the goalmouth - See appendix 6,Shot Location Descriptors,
85,Close High,85,,Zone of the goalmouth - See appendix 6,Shot Location Descriptors,
86,Close Left and High,86,,Zone of the goalmouth - See appendix 6,Shot Location Descriptors,
87,Close Right and High,87,,Zone of the goalmouth - See appendix 6,Shot Location Descriptors,
88,High claim,88,,Event 11 Claim - Goalkeeper claims possession of a crossed ball,Goalkeeper Events,"10, 11, 12"
89,1 on 1,89,,Event 10 Save; when attacker was clear with no defenders between him and the goalkeeper,Goalkeeper Events,"10, 11, 12"
90,Deflected save,90,,Event 10 Save; when goalkeeper saves a shot but does not catch the ball,Goalkeeper Events,"10, 11, 12"
91,Dive and deflect,91,,Event 10 Save; when goalkeeper saves a shot while diving but does not catch the ball,Goalkeeper Events,"10, 11, 12"
92,Catch,92,,Event 10 Save; when goalkeeper saves a shot and catches it,Goalkeeper Events,"10, 11, 12"
93,Dive and catch,93,,Event 10 Save; when goalkeeper saves a shot while diving and catches it,Goalkeeper Events,"10, 11, 12"
94,Def block,94,,Defender blocks an opposition shot. Shown with event 10.,Defensive Events,
95,Back pass,95,,Free kick given for an illegal pass to the goalkeeper which was collected by his hands or picked up,Foul & Card Events,4
96,Corner situation,96,,"Pass or shot event in corner situation. 25 is used when the goal is direct from corner, 96 relates to 2nd phase attack.",Pattern of Play,"13, 14, 15, 16"
97,Direct free,97,,26 will be used for shot directly from a free kick. 97 only used with Opta GoalData (game system 4) but not with full data.,Pattern of Play,"13, 14, 15, 16"
98,,,,,,
99,,,,,,
100,Six Yard Blocked,100,,Shot blocked on the 6 yard line,Shot Location Descriptors,
101,Saved Off Line,101,,Shot saved on the goal line,Shot Location Descriptors,
102,Goal Mouth Y Coordinate,102,0-100,Y Co-ordinate of where a shot crossed goal line - see Appendix 4,Shot Location Descriptors,
103,Goal Mouth Z Coordinate,103,0-100,Z Co-ordinate for height at which a shot crossed the goal line - see Appendix 4,Shot Location Descriptors,
104,,,,,,
105,,,,,,
106,Attacking Pass,106,,A pass in the opposition’s half of the pitch,Pass Events,1
107,Throw In,107,,Throw-in taken,Pass Events,1
108,Volley,108,,,...,
109,Overhead,109,,,...,
110,Half Volley,110,,,...,
111,Diving Header,111,,,...,
112,Scramble,112,,Goal where there was a scramble for possession of the ball and the defence had an opportunity to clear,Pattern of Play,"13, 14, 15, 16"
113,Strong,113,,Shot was subjectively classed as strong,Shot Descriptors,"13, 14, 15, 16"
114,Weak,114,,Shot was subjectively classed as weak,Shot Descriptors,"13, 14, 15, 16"
115,Rising,115,,Shot was rising in the air,Shot Descriptors,"13, 14, 15, 16"
116,Dipping,116,,Shot was dipping towards the ground,Shot Descriptors,"13, 14, 15, 16"
117,Lob,117,,Shot was an attempt by the attacker to play the ball over the goalkeeper and into the goal,Shot Descriptors,"13, 14, 15, 16"
118,One Bounce,118,,,Shot Descriptors,"13, 14, 15, 16"
119,Few Bounces,119,,,Shot Descriptors,"13, 14, 15, 16"
120,Swerve Left,120,,Shot which swerves to the left - from attackers perspective,Shot Descriptors,"13, 14, 15, 16"
121,Swerve Right,121,,Shot which swerves to the right - from attackers perspective,Shot Descriptors,"13, 14, 15, 16"
122,Swerve Moving,122,,Shot which swerves in several directions,Shot Descriptors,"13, 14, 15, 16"
123,Keeper Throw,123,,Pass event - goalkeeper throws the ball out,Goalkeeper Events,"10, 11, 12"
124,Goal Kick,124,,Pass event – goal kick,Goalkeeper Events,"10, 11, 12"
125,,,,,,
126,,,,,,
127,Direction of play,127,Right to Left,Event type 32 - Actual direction of play in relation to TV camera. X/Y coordinates however are ALWAYS all normalized to Left to Right.,General,
128,Punch,128,,Clearance by goalkeeper where he punches the ball clear,Goalkeeper Events,"10, 11, 12"
129,,,,,,
130,Team Formation,130,Formation ID,See appendix 8,Line Up / Subs / Formation,"32, 34, 35, 36, 40"
131,Team Player Formation,131,1 to 11,Player position within a formation - 'See appendix 8,Line Up / Subs / Formation,"32, 34, 35, 36, 40"
132,Dive,132,,Free kick or card event; player penalised for simulation,Foul & Card Events,4
133,Deflection,133,,Shot deflected off another player,Shot Descriptors,"13, 14, 15, 16"
134,Far Wide Left,134,,,...,
135,Far Wide Right,135,,,...,
136,Keeper Touched,136,,Goal where the goalkeeper got a touch on the ball as it went in,Shot Descriptors,"13, 14, 15, 16"
