,Unnamed: 0,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,0,Borja Bastón,"€ 50,135","€ 2,607,000","€ 2,598,588",F,25,Spain,Alaves,La Liga,2018-2019
1,1,John Guidetti,"€ 34,981","€ 1,819,000","€ 1,813,131",F,26,Sweden,Alaves,La Liga,2018-2019
2,2,Jony,"€ 26,000","€ 1,352,000","€ 1,347,637",F,26,Spain,Alaves,La Liga,2018-2019
3,3,Takashi Inui,"€ 24,769","€ 1,288,000","€ 1,283,844",F,30,Japan,Alaves,La Liga,2018-2019
4,4,Ibai Gómez,"€ 23,962","€ 1,246,000","€ 1,241,980",F,28,Spain,Alaves,La Liga,2018-2019
5,5,Rubén Sobrino,"€ 19,731","€ 1,026,000","€ 1,022,689",F,26,Spain,Alaves,La Liga,2018-2019
6,6,Fernando Pacheco,"€ 19,096","€ 993,000","€ 989,796",K,26,Spain,Alaves,La Liga,2018-2019
7,7,Jonathan Calleri,"€ 18,904","€ 983,000","€ 979,828",F,24,Argentina,Alaves,La Liga,2018-2019
8,8,Daniel Torres,"€ 18,654","€ 970,000","€ 966,870",M,28,Colombia,Alaves,La Liga,2018-2019
9,9,Burgui,"€ 17,635","€ 917,000","€ 914,041",F,24,Spain,Alaves,La Liga,2018-2019
10,10,Mubarak Wakaso,"€ 15,615","€ 812,000","€ 809,380",M,27,Ghana,Alaves,La Liga,2018-2019
11,11,Ximo Navarro,"€ 15,519","€ 807,000","€ 804,396",D,28,Spain,Alaves,La Liga,2018-2019
12,12,Martin Aguirregabiria,"€ 14,558","€ 757,000","€ 754,557",D,22,Spain,Alaves,La Liga,2018-2019
13,13,Rubén Duarte,"€ 14,423","€ 750,000","€ 747,580",D,22,Spain,Alaves,La Liga,2018-2019
14,14,Patrick Twumasi,"€ 14,231","€ 740,000","€ 737,612",F,24,Ghana,Alaves,La Liga,2018-2019
15,15,Tomás Pina,"€ 14,154","€ 736,000","€ 733,625",M,30,Spain,Alaves,La Liga,2018-2019
16,16,Adrián Marín,"€ 13,635","€ 709,000","€ 706,712",D,21,Spain,Alaves,La Liga,2018-2019
17,17,Víctor Laguardia,"€ 13,423","€ 698,000","€ 695,748",D,28,Spain,Alaves,La Liga,2018-2019
18,18,Rodrigo Ely,"€ 13,019","€ 677,000","€ 674,816",D,24,Brazil,Alaves,La Liga,2018-2019
19,19,Carlos Vigaray,"€ 12,769","€ 664,000","€ 661,857",D,23,Spain,Alaves,La Liga,2018-2019
20,20,Guillermo Maripán,"€ 12,519","€ 651,000","€ 648,899",D,24,Chile,Alaves,La Liga,2018-2019
21,21,Manu García,"€ 10,519","€ 547,000","€ 545,235",M,32,Spain,Alaves,La Liga,2018-2019
22,22,Darko Brasanac,"€ 7,500","€ 390,000","€ 388,742",M,26,Serbia,Alaves,La Liga,2018-2019
23,23,Antonio Sivera,"€ 5,615","€ 292,000","€ 291,058",K,21,Spain,Alaves,La Liga,2018-2019
24,24,Álex Blanco,"€ 2,635","€ 137,000","€ 136,558",F,19,Spain,Alaves,La Liga,2018-2019
25,25,Adrián Diéguez,€ 904,"€ 47,000","€ 46,848",D,22,Spain,Alaves,La Liga,2018-2019
26,26,Nando,€ 0,€ 0,€ 0,F,24,Spain,Alaves,La Liga,2018-2019
27,27,Rafa Navarro,€ 0,€ 0,€ 0,D,24,Spain,Alaves,La Liga,2018-2019
28,28,Rafa Páez,€ 0,€ 0,€ 0,D,23,Spain,Alaves,La Liga,2018-2019
29,29,Javi Muñoz,€ 0,€ 0,€ 0,M,23,Spain,Alaves,La Liga,2018-2019
30,30,Ermedin Demirovic,€ 0,€ 0,€ 0,F,20,Bosnia-Herzegovina,Alaves,La Liga,2018-2019
31,31,Diego Rolán,€ 0,€ 0,€ 0,F,25,Uruguay,Alaves,La Liga,2018-2019
32,32,Antonio Perera,€ 0,€ 0,€ 0,M,21,Spain,Alaves,La Liga,2018-2019
33,33,Antonio Cristian,€ 0,€ 0,€ 0,D,22,Spain,Alaves,La Liga,2018-2019
34,34,Anderson Emanuel,€ 0,€ 0,€ 0,F,22,Angola,Alaves,La Liga,2018-2019
35,35,Álex Domínguez,€ 0,€ 0,€ 0,K,19,Spain,Alaves,La Liga,2018-2019
0,0,Iñigo Martínez,"€ 172,481","€ 8,969,000","€ 8,940,060",D,27,Spain,Athletic Club,La Liga,2018-2019
1,1,Raúl García,"€ 111,000","€ 5,772,000","€ 5,753,375",M,31,Spain,Athletic Club,La Liga,2018-2019
2,2,Yuri Berchiche,"€ 87,212","€ 4,535,000","€ 4,520,367",D,28,Spain,Athletic Club,La Liga,2018-2019
3,3,Iñaki Williams,"€ 70,115","€ 3,646,000","€ 3,634,235",F,24,Spain,Athletic Club,La Liga,2018-2019
4,4,Óscar de Marcos,"€ 47,827","€ 2,487,000","€ 2,478,975",D,29,Spain,Athletic Club,La Liga,2018-2019
5,5,Markel Susaeta,"€ 42,788","€ 2,225,000","€ 2,217,821",F,30,Spain,Athletic Club,La Liga,2018-2019
6,6,Iker Muniain,"€ 42,154","€ 2,192,000","€ 2,184,927",F,25,Spain,Athletic Club,La Liga,2018-2019
7,7,Ander Iturraspe,"€ 40,481","€ 2,105,000","€ 2,098,208",M,29,Spain,Athletic Club,La Liga,2018-2019
8,8,Dani García,"€ 33,019","€ 1,717,000","€ 1,711,460",M,28,Spain,Athletic Club,La Liga,2018-2019
9,9,Aritz Aduriz,"€ 30,654","€ 1,594,000","€ 1,588,857",F,37,Spain,Athletic Club,La Liga,2018-2019
10,10,Yeray Álvarez,"€ 29,846","€ 1,552,000","€ 1,546,992",D,23,Spain,Athletic Club,La Liga,2018-2019
11,11,Beñat Etxebarria,"€ 28,981","€ 1,507,000","€ 1,502,137",M,31,Spain,Athletic Club,La Liga,2018-2019
12,12,Mikel Balenziaga,"€ 25,038","€ 1,302,000","€ 1,297,799",D,30,Spain,Athletic Club,La Liga,2018-2019
13,13,Ibai Gómez,"€ 23,962","€ 1,246,000","€ 1,241,980",F,28,Spain,Athletic Club,La Liga,2018-2019
14,14,Unai Simón,"€ 23,442","€ 1,219,000","€ 1,215,067",K,21,Spain,Athletic Club,La Liga,2018-2019
15,15,Sabin Merino,"€ 23,250","€ 1,209,000","€ 1,205,099",F,26,Spain,Athletic Club,La Liga,2018-2019
16,16,Unai Núñez,"€ 22,673","€ 1,179,000","€ 1,175,196",D,21,Spain,Athletic Club,La Liga,2018-2019
17,17,Ander Capa,"€ 22,615","€ 1,176,000","€ 1,172,205",D,26,Spain,Athletic Club,La Liga,2018-2019
18,18,Xabier Etxeita,"€ 22,519","€ 1,171,000","€ 1,167,222",D,30,Spain,Athletic Club,La Liga,2018-2019
19,19,Iñigo Córdoba,"€ 21,500","€ 1,118,000","€ 1,114,393",F,21,Spain,Athletic Club,La Liga,2018-2019
20,20,Iñigo Lekue,"€ 20,308","€ 1,056,000","€ 1,052,593",D,25,Spain,Athletic Club,La Liga,2018-2019
21,21,Mikel San José,"€ 19,173","€ 997,000","€ 993,783",M,29,Spain,Athletic Club,La Liga,2018-2019
22,22,Kenan Kodro,"€ 19,135","€ 995,000","€ 991,789",F,24,Bosnia-Herzegovina,Athletic Club,La Liga,2018-2019
23,23,Mikel Vesga,"€ 19,019","€ 989,000","€ 985,809",M,25,Spain,Athletic Club,La Liga,2018-2019
24,24,Alex Remiro,"€ 18,962","€ 986,000","€ 982,818",K,23,Spain,Athletic Club,La Liga,2018-2019
25,25,Cristian Ganea,"€ 18,731","€ 974,000","€ 970,857",D,26,Romania,Athletic Club,La Liga,2018-2019
26,26,Unai López,"€ 16,827","€ 875,000","€ 872,177",M,22,Spain,Athletic Club,La Liga,2018-2019
27,27,Iago Herrerín,"€ 14,673","€ 763,000","€ 760,538",K,30,Spain,Athletic Club,La Liga,2018-2019
28,28,Mikel Rico,"€ 14,077","€ 732,000","€ 729,638",M,33,Spain,Athletic Club,La Liga,2018-2019
29,29,Gorka Guruzeta,"€ 3,769","€ 196,000","€ 195,368",F,21,Spain,Athletic Club,La Liga,2018-2019
30,30,Peru Nolaskoain,"€ 3,135","€ 163,000","€ 162,474",D,19,Spain,Athletic Club,La Liga,2018-2019
31,31,Iñigo Vicente,€ 0,€ 0,€ 0,F,20,Spain,Athletic Club,La Liga,2018-2019
