club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
Dinamo Moscow,Zvjezdan Misimovic,28,Attacking Midfield,Galatasaray,£4.05m,in,4.05,Premier Liga,2010,2010/2011
Dinamo Moscow,Tomislav Dujmovic,29,Central Midfield,Loko Moscow,£2.70m,in,2.7,Premier Liga,2010,2010/2011
Dinamo Moscow,Marko Lomic,26,Left-Back,Partizan,£1.08m,in,1.08,Premier Liga,2010,2010/2011
Dinamo Moscow,Vladimir Kisenkov,28,Right-Back,Spartak Nalchik,£450k,in,0.45,Premier Liga,2010,2010/2011
Dinamo Moscow,Martin Jakubko,30,Centre-Forward,Saturn,Free Transfer,in,0,Premier Liga,2010,2010/2011
Dinamo Moscow,Boris Rotenberg,24,Right-Back,Zenit II,Free Transfer,in,0,Premier Liga,2010,2010/2011
Dinamo Moscow,Kevin Kuranyi,28,Centre-Forward,FC Schalke 04,Free Transfer,in,0,Premier Liga,2010,2010/2011
Dinamo Moscow,Aleksandr Sapeta,21,Central Midfield,Saturn,Free Transfer,in,0,Premier Liga,2010,2010/2011
Dinamo Moscow,Andrey Karyaka,32,Left Winger,Saturn,Free Transfer,in,0,Premier Liga,2010,2010/2011
Dinamo Moscow,Fedor Smolov,20,Centre-Forward,Feyenoord,"End of loanDec 31, 2010",in,0,Premier Liga,2010,2010/2011
Dinamo Moscow,Yuri Kirillov,20,Defensive Midfield,Alania,"End of loanDec 31, 2010",in,0,Premier Liga,2010,2010/2011
Dinamo Moscow,Viktor Svezhov,19,Central Midfield,Tom Tomsk,"End of loanDec 31, 2010",in,0,Premier Liga,2010,2010/2011
Dinamo Moscow,Artur Yusupov,21,Central Midfield,Dinamo M II,-,in,0,Premier Liga,2010,2010/2011
Dinamo Moscow,Tsvetan Genkov,26,Centre-Forward,Lok. Sofia,"End of loanDec 31, 2010",in,0,Premier Liga,2010,2010/2011
Dinamo Moscow,Luis Aguiar,25,Central Midfield,Braga,"End of loanDec 1, 2010",in,0,Premier Liga,2010,2010/2011
Dinamo Moscow,Aleksandr Dimidko,24,Centre-Back,SKA-Energia,"End of loanJun 30, 2010",in,0,Premier Liga,2010,2010/2011
