,Unnamed: 0,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,0,Serhou Guirassy,"€ 23,077","€ 1,200,000","€ 1,200,000",F,23,France,Amiens,Ligue 1,2019-2020
1,1,Moussa Konaté,"€ 23,077","€ 1,200,000","€ 1,200,000",F,26,Senegal,Amiens,Ligue 1,2019-2020
2,2,Saman Ghoddos,"€ 17,308","€ 900,000","€ 900,000",F,26,Iran,Amiens,Ligue 1,2019-2020
3,3,Chadrac Akolo,"€ 14,423","€ 750,000","€ 750,000",F,24,Democratic Republic of Congo,Amiens,Ligue 1,2019-2020
4,4,Gaël Kakuta,"€ 13,846","€ 720,000","€ 720,000",F,28,Democratic Republic of Congo,Amiens,Ligue 1,2019-2020
5,5,Bongani Zungu,"€ 13,846","€ 720,000","€ 720,000",M,26,South Africa,Amiens,Ligue 1,2019-2020
6,6,Aurélien Chedjou,"€ 12,692","€ 660,000","€ 660,000",D,34,Cameroon,Amiens,Ligue 1,2019-2020
7,7,Prince Gouano,"€ 11,538","€ 600,000","€ 600,000",D,25,France,Amiens,Ligue 1,2019-2020
8,8,Bakaye Dibassy,"€ 11,538","€ 600,000","€ 600,000",D,30,Mali,Amiens,Ligue 1,2019-2020
9,9,Thomas Monconduit,"€ 11,538","€ 600,000","€ 600,000",M,28,France,Amiens,Ligue 1,2019-2020
10,10,Christophe Jallet,"€ 9,808","€ 510,000","€ 510,000",D,35,France,Amiens,Ligue 1,2019-2020
11,11,Alexis Blin,"€ 9,038","€ 470,000","€ 470,000",M,22,France,Amiens,Ligue 1,2019-2020
12,12,Isaac Mbenza,"€ 8,654","€ 450,000","€ 450,000",F,23,Belgium,Amiens,Ligue 1,2019-2020
13,13,Fousseni Diabaté,"€ 8,654","€ 450,000","€ 450,000",F,23,Mali,Amiens,Ligue 1,2019-2020
14,14,Eddy Gnahoré,"€ 7,308","€ 380,000","€ 380,000",M,25,France,Amiens,Ligue 1,2019-2020
15,15,Haitam Aleesami,"€ 7,308","€ 380,000","€ 380,000",D,28,Norway,Amiens,Ligue 1,2019-2020
16,16,Arturo Calabresi,"€ 7,115","€ 370,000","€ 370,000",D,23,Italy,Amiens,Ligue 1,2019-2020
17,17,Nicholas Opoku,"€ 7,115","€ 370,000","€ 370,000",D,22,Ghana,Amiens,Ligue 1,2019-2020
18,18,Stiven Mendoza,"€ 6,923","€ 360,000","€ 360,000",F,27,Colombia,Amiens,Ligue 1,2019-2020
19,19,Juan Ferney Otero,"€ 5,769","€ 300,000","€ 300,000",F,24,Colombia,Amiens,Ligue 1,2019-2020
20,20,Rafal Kurzawa,"€ 5,769","€ 300,000","€ 300,000",M,26,Poland,Amiens,Ligue 1,2019-2020
21,21,Régis Gurtner,"€ 5,769","€ 300,000","€ 300,000",K,32,France,Amiens,Ligue 1,2019-2020
22,22,Jordan Lefort,"€ 4,808","€ 250,000","€ 250,000",D,26,France,Amiens,Ligue 1,2019-2020
23,23,Mathieu Bodmer,"€ 4,615","€ 240,000","€ 240,000",M,36,France,Amiens,Ligue 1,2019-2020
24,24,Matthieu Dreyer,"€ 3,269","€ 170,000","€ 170,000",K,30,France,Amiens,Ligue 1,2019-2020
25,25,Jonathan Bumbu,"€ 2,500","€ 130,000","€ 130,000",M,20,France,Amiens,Ligue 1,2019-2020
26,26,Ulrick Eneme Ella,"€ 2,500","€ 130,000","€ 130,000",F,18,France,Amiens,Ligue 1,2019-2020
27,27,Quentin Cornette,"€ 1,538","€ 80,000","€ 80,000",F,25,France,Amiens,Ligue 1,2019-2020
28,28,Madih Talal,€ 769,"€ 40,000","€ 40,000",M,22,France,Amiens,Ligue 1,2019-2020
29,29,Jayson Papeau,€ 769,"€ 40,000","€ 40,000",F,23,France,Amiens,Ligue 1,2019-2020
30,30,Darell Tokpa,€ 769,"€ 40,000","€ 40,000",F,18,France,Amiens,Ligue 1,2019-2020
31,31,Valentin Gendrey,€ 577,"€ 30,000","€ 30,000",D,19,France,Amiens,Ligue 1,2019-2020
32,32,Boris Essele,€ 577,"€ 30,000","€ 30,000",K,19,Cameroon,Amiens,Ligue 1,2019-2020
33,33,Jack Lahne,€ 577,"€ 30,000","€ 30,000",F,17,Sweden,Amiens,Ligue 1,2019-2020
34,34,Sanasi Sy,€ 577,"€ 30,000","€ 30,000",D,19,France,Amiens,Ligue 1,2019-2020
35,35,Abdoulaye Toure,€ 577,"€ 30,000","€ 30,000",F,18,France,Amiens,Ligue 1,2019-2020
0,0,Stéphane Bahoken,"€ 16,154","€ 840,000","€ 840,000",F,27,Cameroon,Angers,Ligue 1,2019-2020
1,1,Vincent Pajot,"€ 16,154","€ 840,000","€ 840,000",M,29,France,Angers,Ligue 1,2019-2020
2,2,Rachid Alioui,"€ 16,154","€ 840,000","€ 840,000",F,27,Morocco,Angers,Ligue 1,2019-2020
3,3,Baptiste Santamaría,"€ 15,962","€ 830,000","€ 830,000",M,24,France,Angers,Ligue 1,2019-2020
4,4,Thomas Mangani,"€ 15,000","€ 780,000","€ 780,000",M,32,France,Angers,Ligue 1,2019-2020
5,5,Ismaël Traoré,"€ 15,000","€ 780,000","€ 780,000",D,33,Cote d'Ivoire,Angers,Ligue 1,2019-2020
6,6,Casimir Ninga,"€ 13,846","€ 720,000","€ 720,000",F,26,Chad,Angers,Ligue 1,2019-2020
7,7,Souleyman Doumbia,"€ 13,846","€ 720,000","€ 720,000",D,23,Cote d'Ivoire,Angers,Ligue 1,2019-2020
8,8,Ludovic Butelle,"€ 13,269","€ 690,000","€ 690,000",K,36,France,Angers,Ligue 1,2019-2020
9,9,Mathias Pereira Lage,"€ 11,538","€ 600,000","€ 600,000",M,22,Portugal,Angers,Ligue 1,2019-2020
10,10,Angelo Fulgini,"€ 11,538","€ 600,000","€ 600,000",M,23,France,Angers,Ligue 1,2019-2020
11,11,Romain Thomas,"€ 11,538","€ 600,000","€ 600,000",D,31,France,Angers,Ligue 1,2019-2020
12,12,Mateo Pavlovic,"€ 11,538","€ 600,000","€ 600,000",D,29,Croatia,Angers,Ligue 1,2019-2020
13,13,Pierrick Capelle,"€ 10,577","€ 550,000","€ 550,000",M,32,France,Angers,Ligue 1,2019-2020
14,14,Vincent Manceau,"€ 9,231","€ 480,000","€ 480,000",D,30,France,Angers,Ligue 1,2019-2020
15,15,Abdoulaye Bamba,"€ 6,538","€ 340,000","€ 340,000",D,29,Cote d'Ivoire,Angers,Ligue 1,2019-2020
16,16,Farid El Melali,"€ 6,538","€ 340,000","€ 340,000",F,22,Algeria,Angers,Ligue 1,2019-2020
17,17,Sada Thioub,"€ 6,538","€ 340,000","€ 340,000",M,24,Senegal,Angers,Ligue 1,2019-2020
18,18,Ibrahim Cissé,"€ 6,346","€ 330,000","€ 330,000",D,23,France,Angers,Ligue 1,2019-2020
19,19,Théo Pellenard,"€ 5,192","€ 270,000","€ 270,000",D,25,France,Angers,Ligue 1,2019-2020
20,20,Rayan Aït Nouri,"€ 4,615","€ 240,000","€ 240,000",D,18,France,Angers,Ligue 1,2019-2020
21,21,Antonin Bobichon,"€ 4,423","€ 230,000","€ 230,000",M,23,France,Angers,Ligue 1,2019-2020
22,22,Danijel Petkovic,"€ 3,269","€ 170,000","€ 170,000",K,26,Montenegro,Angers,Ligue 1,2019-2020
23,23,Wilfried Kanga,"€ 3,077","€ 160,000","€ 160,000",F,21,France,Angers,Ligue 1,2019-2020
24,24,Haithem Loucif,"€ 1,538","€ 80,000","€ 80,000",D,23,Algeria,Angers,Ligue 1,2019-2020
25,25,Zinédine Ould Khaled,€ 769,"€ 40,000","€ 40,000",D,20,France,Angers,Ligue 1,2019-2020
26,26,Anthony Mandrea,€ 577,"€ 30,000","€ 30,000",K,22,France,Angers,Ligue 1,2019-2020
27,27,Anthony Gomez Mancini,€ 577,"€ 30,000","€ 30,000",M,18,France,Angers,Ligue 1,2019-2020
0,0,Laurent Koscielny,"€ 55,192","€ 2,870,000","€ 2,870,000",D,34,France,Bordeaux,Ligue 1,2019-2020
1,1,Benoît Costil,"€ 41,346","€ 2,150,000","€ 2,150,000",K,32,France,Bordeaux,Ligue 1,2019-2020
