Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
E0,2009-08-15,Aston Villa,Wigan,0,2,A,0,1,A,M Clattenburg,11,14,5,7,15,14,4,6,2,2,0,0,1.67,3.6,5.5,1.65,3.4,5,1.67,3.5,5.25,1.7,3.5,4.9,1.67,3.3,4.5,1.65,3.4,5,1.7,3.4,5.5,1.67,3.6,5.5,1.7,3.4,5,1.62,3.5,5.5,37,1.72,1.66,3.77,3.51,6.05,5.33,32,2.04,1.92,1.91,1.81,21,0,1.28,1.22,4.4,3.99
E0,2009-08-15,Blackburn,Man City,0,2,A,0,1,A,M Dean,17,8,9,5,12,9,5,4,2,1,0,0,3.6,3.25,2.1,3.4,3.15,2,3.4,3.25,2.1,3.2,3.2,2.2,3,3.2,2.1,3.15,3.25,2.1,3.5,3.2,2.15,3.3,3.25,2.2,3.25,3.2,2.2,3.3,3.2,2.2,38,3.78,3.37,3.35,3.24,2.25,2.12,33,2.15,2.04,1.78,1.71,24,0,2.58,2.38,1.6,1.54
E0,2009-08-15,Bolton,Sunderland,0,1,A,0,1,A,A Marriner,11,20,3,13,16,10,4,7,2,1,0,0,2.25,3.25,3.25,2.15,3.15,3.15,2.25,3.25,3.1,2.2,3.2,3.2,2.1,3.2,3,2.25,3.2,2.9,2.3,3.2,3.2,2.3,3.25,3.1,2.25,3.2,3.1,2.2,3.2,3.3,38,2.37,2.24,3.31,3.2,3.4,3.15,33,2.25,2.12,1.7,1.66,23,0,1.68,1.61,2.33,2.23
E0,2009-08-15,Chelsea,Hull,2,1,H,1,1,D,A Wiley,26,7,12,3,13,15,12,4,1,2,0,0,1.17,6.5,21,1.17,6,13,1.2,6,15,1.2,5.5,14,1.17,5.5,12,1.17,5.75,15,1.17,6.5,21,1.18,6.5,17,1.17,6,17,1.2,5.5,19,38,1.2,1.17,7.71,6.26,23.14,16.39,34,1.67,1.58,2.44,2.26,22,0,1.03,1.02,17.05,12.96
E0,2009-08-15,Everton,Arsenal,1,6,A,0,3,A,M Halsey,8,15,5,9,11,13,4,9,0,0,0,0,3.2,3.25,2.3,2.95,3.15,2.25,3,3.25,2.3,3.1,3.1,2.3,2.88,3,2.25,3,3.2,2.2,3.2,3.2,2.3,3.25,3.25,2.25,2.9,3.3,2.3,3.25,3.2,2.2,38,3.34,3.07,3.34,3.21,2.42,2.28,34,2.2,2.06,1.77,1.7,24,0,2.27,2.2,1.73,1.63
E0,2009-08-15,Portsmouth,Fulham,0,1,A,0,1,A,M Atkinson,16,9,4,3,11,18,6,4,3,2,0,0,2.63,3.2,2.75,2.3,3.15,2.85,2.6,3.25,2.6,2.5,3.2,2.7,2.38,3.2,2.6,2.4,3.2,2.7,2.75,3.2,2.6,2.63,3.2,2.7,2.62,3.2,2.62,2.5,3.2,2.75,38,2.81,2.53,3.25,3.18,2.9,2.73,33,2.28,2.12,1.7,1.65,23,0,1.98,1.83,2.05,1.95
E0,2009-08-15,Stoke,Burnley,2,0,H,2,0,H,S Bennett,12,9,5,5,15,10,3,6,2,2,0,0,1.91,3.3,4.33,1.85,3.2,4,1.9,3.3,4,1.9,3.3,3.9,1.91,3.2,3.5,1.9,3.25,3.75,2,3.2,4,1.91,3.25,4.33,1.9,3.25,4,1.91,3.3,4,38,2,1.91,3.47,3.29,4.36,4.02,33,2.25,2.1,1.71,1.67,22,0,1.45,1.39,3.05,2.85
E0,2009-08-15,Wolves,West Ham,0,2,A,0,1,A,C Foy,19,16,11,13,9,5,8,6,0,0,0,0,2.63,3.3,2.7,2.55,3.15,2.55,2.5,3.2,2.75,2.55,3.3,2.55,2.38,3.2,2.6,2.5,3.2,2.6,2.62,3.2,2.7,2.6,3.2,2.75,2.5,3.25,2.62,2.5,3.25,2.7,38,2.78,2.57,3.3,3.19,2.87,2.68,33,2.16,2.03,1.8,1.72,22,0,1.95,1.85,2,1.92
E0,2009-08-16,Man United,Birmingham,1,0,H,1,0,H,L Mason,26,6,17,4,13,7,13,2,1,1,0,0,1.2,6,17,1.2,5.5,12,1.2,6,15,1.2,5.7,12,1.17,5.5,12,1.18,5.5,13,1.2,5.5,19,1.2,6,17,1.17,6,17,1.2,5.5,19,38,1.23,1.19,6.62,5.91,21,14.99,33,1.69,1.62,2.35,2.18,20,0,1.04,1.02,15,11.42
E0,2009-08-16,Tottenham,Liverpool,2,1,H,1,0,H,P Dowd,17,6,11,3,14,16,6,5,3,3,0,0,3.2,3.25,2.3,3.25,3.15,2.1,3.1,3.2,2.25,3.1,3.1,2.3,3,3.2,2.1,3,3.2,2.2,3.2,3.2,2.3,3,3.25,2.2,3,3.25,2.25,3.2,3.2,2.2,36,3.31,3.13,3.4,3.22,2.39,2.23,31,2.07,1.95,1.85,1.79,21,0,2.38,2.24,1.73,1.61
E0,2009-08-18,Sunderland,Chelsea,1,3,A,1,0,H,S Bennett,4,20,3,9,14,10,1,14,2,2,0,0,6.5,4,1.53,6.5,3.85,1.45,7,3.75,1.5,6.7,3.8,1.5,6.5,3.6,1.57,6,3.75,1.5,7.5,3.8,1.5,7,3.75,1.53,6.5,3.5,1.57,7,3.5,1.53,36,7.95,6.88,4.19,3.8,1.57,1.51,32,2.08,1.95,1.88,1.81,23,0,5.5,4.94,1.18,1.15
E0,2009-08-18,Wigan,Wolves,0,1,A,0,1,A,M Jones,18,9,5,3,8,21,4,4,0,3,0,0,1.73,3.6,5.25,1.65,3.4,5,1.7,3.4,5.25,1.75,3.5,4.6,1.73,3.5,5,1.7,3.6,4.2,1.8,3.25,5,1.73,3.5,5,1.67,3.5,5,1.73,3.4,5,37,1.75,1.69,3.82,3.51,6.06,5.2,32,2.26,2.12,1.76,1.68,23,0,1.28,1.25,4.07,3.67
E0,2009-08-19,Birmingham,Portsmouth,1,0,H,0,0,D,L Probert,9,9,5,4,11,20,4,5,0,5,0,0,2,3.3,4,1.9,3.25,3.75,2,3.3,3.6,2.15,3.25,3.25,2.1,3.3,3.5,2,3.25,3.4,2.05,3.25,3.75,2,3.4,3.75,2,3.25,3.5,2.1,3.2,3.5,37,2.1,2.04,3.43,3.27,4.16,3.64,31,2.39,2.21,1.67,1.62,22,0,1.53,1.48,3,2.51
E0,2009-08-19,Burnley,Man United,1,0,H,1,0,H,A Wiley,8,18,2,9,8,12,1,12,2,1,0,0,9.5,5,1.33,9,4.5,1.3,10,4.75,1.3,8.5,4.5,1.35,12,5,1.29,9,4.75,1.28,11,4.5,1.33,11,5,1.3,9.5,4.5,1.33,9,4.75,1.33,37,12,9.79,5.12,4.78,1.37,1.32,31,1.91,1.77,2.1,1.98,22,0,10,7.79,1.08,1.06
E0,2009-08-19,Hull,Tottenham,1,5,A,1,3,A,C Foy,9,18,7,12,23,13,6,5,3,2,0,0,3.75,3.5,2,3.65,3.3,1.9,3.75,3.33,1.95,3.6,3.3,2,4,3.2,2,3.4,3.25,2,4,3.2,2,3.75,3.4,2,3.4,3.25,2,3.75,3.25,2,37,4.24,3.8,3.6,3.35,2,1.96,31,2.04,1.94,1.89,1.81,22,0,3,2.68,1.45,1.42
E0,2009-08-19,Liverpool,Stoke,4,0,H,2,0,H,P Walton,18,6,13,3,10,9,11,5,0,1,0,0,1.25,5.5,13,1.2,5.25,13,1.25,5.5,11,1.22,5.3,13,1.3,4.5,13,1.22,5.25,11,1.25,5,15,1.25,5.5,12,1.29,4.5,11,1.25,5.5,11,37,1.3,1.25,6,5.25,17.3,12.84,31,1.82,1.74,2.21,2.02,22,0,1.06,1.04,11,9.32
E0,2009-08-22,Arsenal,Portsmouth,4,1,H,2,1,H,S Bennett,19,9,16,4,9,10,8,4,1,0,0,0,1.17,7,19,1.15,6,15,1.2,5.75,14,1.2,5.5,14,1.2,6,15,1.17,6,13,1.17,6.5,19,1.18,6.5,15,1.17,6.5,15,1.17,7,17,38,1.2,1.18,7.5,6.41,24.5,15.98,30,1.68,1.62,2.41,2.21,21,0,1.03,1.02,15.71,12
E0,2009-08-22,Birmingham,Stoke,0,0,D,0,0,D,C Foy,8,13,6,3,8,13,3,3,0,3,0,0,2.3,3.2,3.25,2.1,3.2,3.2,2.25,3.25,3.1,2.2,3.2,3.2,2.25,3.25,3.25,2.15,3.2,3.1,2.3,3.2,3.2,2.38,3.25,3,2.1,3.25,3.4,2.3,3.2,3.2,38,2.38,2.23,3.32,3.21,3.66,3.24,30,2.4,2.23,1.68,1.62,21,0,1.65,1.59,2.48,2.29
