id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
227,Robert Lewandowski,31,2763,34,31.196764232590795,4,7.27112489938736,138,36,5,0,F,Bayern Munich,29,27.40788071230054,39.65040745027363,9.743498254567385
65,Timo Werner,34,2825,28,23.448496147990227,8,9.675973629578948,123,53,4,0,F M S,RasenBallsport Leipzig,25,21.175246581435204,35.58640310168266,7.971801660954952
6345,Jadon Sancho,32,2284,17,10.752356511540711,16,11.467584103345871,52,69,2,0,F M S,Borussia Dortmund,17,10.752356511540711,28.81959581375122,11.866171091794968
7052,Wout Weghorst,32,2736,16,17.83846941590309,3,2.214334961026907,85,37,7,0,F S,Wolfsburg,12,14.807362675666809,19.15777320973575,5.003612424246967
7060,Rouwen Hennings,32,2458,15,11.296850249171257,0,1.0592173682525754,73,22,4,0,F S,Fortuna Duesseldorf,11,8.266151413321495,8.532810872420669,1.145246358588338
48,Jhon Córdoba,29,2015,13,8.334681287407875,2,2.022234690375626,60,25,5,0,F S,FC Cologne,13,8.334681287407875,12.444190974347293,3.328171433880925
306,Florian Niederlechner,33,2762,13,14.08519545942545,6,5.8579842848703265,78,29,1,0,F M S,Augsburg,12,12.569642134010792,17.579499386250973,1.623776776716113
1275,Robin Quaison,32,2631,13,11.19670258462429,2,2.761399721726775,71,28,2,0,F M S,Mainz 05,12,10.438925847411156,13.350593319162726,3.494771939702332
8260,Erling Haaland,15,1061,13,8.889345575124025,2,1.5264748334884644,33,9,0,0,F S,Borussia Dortmund,13,8.889345575124025,11.366184580139816,2.9849864905700088
956,Andrej Kramaric,19,1411,12,9.898774584755301,2,4.02412052731961,44,28,3,0,F M S,Hoffenheim,10,8.383221169933677,11.398422569036484,2.765835339203477
993,Serge Gnabry,31,2221,12,14.172493699938059,10,12.498701352626085,95,54,0,0,F M S,Bayern Munich,12,14.172493699938059,33.75042385607958,12.322848245501518
5220,Kai Havertz,30,2467,12,10.05915692448616,6,8.284009255468845,59,58,3,0,F M S,Bayer Leverkusen,11,9.30162325501442,23.020577698946,9.870825476944447
6170,André Silva,25,1575,12,11.537905549630523,3,4.5552298333495855,54,32,1,0,F S,Eintracht Frankfurt,11,10.780128872022033,14.233419068157673,1.5503288619220257
7880,Sebastian Andersson,33,2705,12,13.026014816015959,1,1.8224989920854568,64,23,5,0,F S,Union Berlin,11,11.510461460798979,11.69414970651269,3.058129133656621
319,Marco Reus,19,1505,11,9.104646295309067,5,3.1338243763893843,47,22,1,0,F M S,Borussia Dortmund,10,8.346950024366379,16.012725859880447,6.054590526968241
4248,Nils Petersen,34,2415,11,8.716596767306328,2,3.728947120718658,55,34,1,0,F M S,Freiburg,10,7.958820074796677,12.843627881258726,3.0478851720690727
83,Kevin Volland,27,2060,10,11.828392572700977,7,5.832277292385697,77,34,3,0,D F M S,Bayer Leverkusen,10,11.828392572700977,22.596518989652395,6.917994666844606
1236,Patrik Schick,22,1313,10,8.02419900894165,2,2.9057464860379696,53,20,3,0,F S,RasenBallsport Leipzig,10,8.02419900894165,8.005280604586005,1.839195404201746
3310,Alassane Pléa,27,2159,10,12.699195915833116,10,8.420427052304149,77,39,0,2,F M S,Borussia M.Gladbach,10,11.941499704495072,19.668485451489687,4.572902702726424
5992,Marcus Thuram,31,2225,10,11.053861070424318,8,7.944684397429228,57,31,3,0,F M S,Borussia M.Gladbach,10,11.053861070424318,19.86042218655348,4.331073518842459
208,Lars Stindl,25,1436,9,7.6766631212085485,3,3.8779381532222033,34,27,4,0,F M S,Borussia M.Gladbach,7,6.161109765991569,14.309368342161179,6.691974116489291
