sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
226324,https://sofifa.com/player/226324/carli-lloyd/160002,C. Lloyd,Carli Anne Hollins,"CM, CAM, LM, ST",91,91,,,32,1982-07-16,173,64,,,,,,,,,,95,United States,113009,LCM,10,Right,3,3,5,High/High,Normal (170-185),Yes,,"#Dribbler, #Playmaker, #Engine, #Tactician, #Complete Midfielder",,75,83,83,85,82,84,72,83,71,88,64,86,76,80,87,86,75,75,74,91,77,81,77,92,81,89,84,90,90,86,82,,76,86,79,11,5,13,8,14,,83+3,83+3,83+3,84+3,85+3,85+3,85+3,84+3,86+3,86+3,86+3,84+3,88+3,88+3,88+3,84+3,83+3,86+3,86+3,86+3,83+3,83+3,82+3,82+3,82+3,83+3,19+3,https://cdn.sofifa.com/players/226/324/16_120.png,,,https://cdn.sofifa.com/teams/113009/60.png,https://cdn.sofifa.com/flags/us.png
226328,https://sofifa.com/player/226328/megan-rapinoe/160002,M. Rapinoe,Megan Anna Rapinoe,"LM, CM",90,90,,,29,1985-07-05,170,60,,,,,,,,,,95,United States,113009,LM,15,Left,5,4,5,High/Medium,Normal (170-),Yes,,"#Playmaker, #Crosser",,74,74,90,89,46,68,94,73,65,93,72,92,86,78,91,91,74,74,83,84,69,77,74,84,73,71,35,45,84,86,84,,42,44,46,13,10,12,12,9,,79+3,79+3,79+3,85+3,84+3,84+3,84+3,85+3,86+3,86+3,86+3,87+3,84+3,84+3,84+3,87+3,71+3,68+3,68+3,68+3,71+3,66+3,56+3,56+3,56+3,66+3,19+3,https://cdn.sofifa.com/players/226/328/16_120.png,,,https://cdn.sofifa.com/teams/113009/60.png,https://cdn.sofifa.com/flags/us.png
226334,https://sofifa.com/player/226334/abby-wambach/160002,A. Wambach,Abby Wambach,ST,90,90,,,35,1980-06-02,180,81,,,,,,,,,,95,United States,113009,LS,20,Right,4,3,5,High/Medium,Normal (170-185),Yes,,"#Aerial Threat, #Strength, #Clinical Finisher, #Complete Forward",,72,89,65,80,39,82,53,93,91,71,83,82,53,59,66,83,73,72,56,91,75,86,62,74,94,83,68,35,91,71,86,,39,28,27,10,10,12,12,13,,87+3,87+3,87+3,78+3,83+3,83+3,83+3,78+3,79+3,79+3,79+3,77+3,73+3,73+3,73+3,77+3,57+3,59+3,59+3,59+3,57+3,55+3,55+3,55+3,55+3,55+3,20+3,https://cdn.sofifa.com/players/226/334/16_120.png,,,https://cdn.sofifa.com/teams/113009/60.png,https://cdn.sofifa.com/flags/us.png
226362,https://sofifa.com/player/226362/louisa-necib/160002,L. Nécib,Louisa Nécib,"LM, CAM",90,90,,,28,1987-01-23,168,56,,,,,,,,,,18,France,113003,LM,14,Right,4,4,5,Medium/Medium,Normal (170-),Yes,,"#Dribbler, #Playmaker, #Acrobat","Flair, Playmaker (AI), Technical Dribbler (AI)",84,74,87,90,53,69,84,76,58,91,80,90,78,81,83,92,85,83,91,89,78,72,54,80,68,67,60,52,84,91,85,,51,56,44,11,13,5,13,12,,79+3,79+3,79+3,86+3,85+3,85+3,85+3,86+3,87+3,87+3,87+3,87+3,84+3,84+3,84+3,87+3,73+3,71+3,71+3,71+3,73+3,69+3,61+3,61+3,61+3,69+3,20+3,https://cdn.sofifa.com/players/226/362/16_120.png,,,https://cdn.sofifa.com/teams/113003/60.png,https://cdn.sofifa.com/flags/fr.png
226373,https://sofifa.com/player/226373/nadine-kessler/160002,N. Keßler,Nadine Keßler,CM,89,89,,,27,1988-04-04,169,61,,,,,,,,,,21,Germany,113004,SUB,8,Right,3,4,5,High/Medium,Normal (170-),Yes,,"#Playmaker, #Tactician, #Clinical Finisher","Injury Prone, Playmaker (AI)",74,84,85,83,78,74,76,87,76,90,78,84,75,72,88,85,75,73,73,91,73,80,69,77,73,82,76,86,86,88,82,,68,82,77,11,15,9,9,9,,83+3,83+3,83+3,83+3,85+3,85+3,85+3,83+3,86+3,86+3,86+3,84+3,86+3,86+3,86+3,84+3,81+3,83+3,83+3,83+3,81+3,80+3,79+3,79+3,79+3,80+3,20+3,https://cdn.sofifa.com/players/226/373/16_120.png,,,https://cdn.sofifa.com/teams/113004/60.png,https://cdn.sofifa.com/flags/de.png
226359,https://sofifa.com/player/226359/christine-sinclair/160002,C. Sinclair,Christine Margaret Sinclair,"ST, LW, RW, CAM",88,88,,,32,1983-06-12,175,67,,,,,,,,,,70,Canada,113000,ST,12,Right,4,3,5,High/Medium,Normal (170-185),Yes,,"#Playmaker, #Clinical Finisher","Leadership, Finesse Shot, Team Player",80,86,84,82,37,78,81,87,84,87,84,82,79,74,84,85,79,80,81,85,66,87,74,79,83,86,65,54,86,87,84,,38,17,14,15,7,5,10,6,,85+3,85+3,85+3,84+3,85+3,85+3,85+3,84+3,85+3,85+3,85+3,84+3,80+3,80+3,80+3,84+3,63+3,64+3,64+3,64+3,63+3,59+3,54+3,54+3,54+3,59+3,18+3,https://cdn.sofifa.com/players/226/359/16_120.png,,,https://cdn.sofifa.com/teams/113000/60.png,https://cdn.sofifa.com/flags/ca.png
226890,https://sofifa.com/player/226890/marta-vieira-da-silva/160002,Marta,Marta Vieira da Silva,"ST, CAM",88,88,,,29,1986-02-19,163,56,,,,,,,,,,54,Brazil,112999,RAM,10,Left,4,5,5,High/Medium,Normal (170-),Yes,,"#Dribbler, #Acrobat, #Clinical Finisher","Beat Offside Trap, Leadership, Technical Dribbler (AI)",86,86,80,90,36,73,75,88,76,80,89,91,85,82,76,89,88,85,89,88,90,85,77,84,70,84,68,42,87,84,85,,15,40,32,14,13,9,7,10,,85+3,85+3,85+3,86+2,87+1,87+1,87+1,86+2,86+2,86+2,86+2,85+3,80+3,80+3,80+3,85+3,65+3,62+3,62+3,62+3,65+3,61+3,53+3,53+3,53+3,61+3,19+3,https://cdn.sofifa.com/players/226/890/16_120.png,,,https://cdn.sofifa.com/teams/112999/60.png,https://cdn.sofifa.com/flags/br.png
226315,https://sofifa.com/player/226315/hope-solo/160002,H. Solo,Hope Solo,GK,87,87,,,33,1981-07-30,175,69,,,,,,,,,,95,United States,113009,GK,1,Right,2,1,5,Medium/Medium,Normal (170-185),Yes,,,,,,,,,,14,11,12,19,12,14,16,13,17,15,34,34,36,83,70,21,76,45,41,13,21,20,11,16,24,,14,12,11,84,85,73,85,87,34,23+3,23+3,23+3,22+3,23+3,23+3,23+3,22+3,22+3,22+3,22+3,24+3,23+3,23+3,23+3,24+3,25+3,24+3,24+3,24+3,25+3,25+3,23+3,23+3,23+3,25+3,84+3,https://cdn.sofifa.com/players/226/315/16_120.png,,,https://cdn.sofifa.com/teams/113009/60.png,https://cdn.sofifa.com/flags/us.png
226369,https://sofifa.com/player/226369/lotta-schelin/160002,L. Schelin,Lotta Eva Schelin,ST,87,87,,,31,1984-02-27,179,65,,,,,,,,,,46,Sweden,113008,LS,8,Right,3,3,4,High/Medium,Lean (170-185),Yes,,#Clinical Finisher,,88,87,77,79,41,77,77,90,69,75,88,84,84,75,72,86,86,89,42,86,51,85,41,88,88,83,45,15,87,84,83,,51,41,38,7,11,5,10,5,,85+2,85+2,85+2,83+2,85+2,85+2,85+2,83+2,82+2,82+2,82+2,83+2,76+2,76+2,76+2,83+2,64+2,60+2,60+2,60+2,64+2,61+2,53+2,53+2,53+2,61+2,17+2,https://cdn.sofifa.com/players/226/369/16_120.png,,,https://cdn.sofifa.com/teams/113008/60.png,https://cdn.sofifa.com/flags/se.png
226177,https://sofifa.com/player/226177/becky-sauerbrunn/160002,B. Sauerbrunn,Rebecca Elizabeth Sauerbrunn,CB,86,87,,,30,1985-06-06,170,64,,,,,,,,,,95,United States,113009,RCB,4,Right,2,2,4,Low/High,Normal (170-185),Yes,,#Tackling ,,73,31,49,55,86,85,31,22,81,75,26,49,29,27,46,60,74,73,49,85,68,45,84,85,86,32,84,85,25,33,55,,87,87,86,13,10,5,8,9,,52+2,52+2,52+2,50+2,51+2,51+2,51+2,50+2,52+2,52+2,52+2,54+2,59+2,59+2,59+2,54+2,73+2,76+2,76+2,76+2,73+2,77+2,84+2,84+2,84+2,77+2,18+2,https://cdn.sofifa.com/players/226/177/16_120.png,,,https://cdn.sofifa.com/teams/113009/60.png,https://cdn.sofifa.com/flags/us.png
