sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
226324,https://sofifa.com/player/226324/carli-lloyd/170002,C. Lloyd,Carli Anne Hollins,"CM, CAM, LM, ST",92,92,,,33,1982-07-16,173,64,,,,,,,,,,95,United States,113009,LCM,10,Right,3,3,5,Medium/Medium,Normal (170-185),Yes,,"#Dribbler, #Playmaker, #Tactician ","Leadership, Long Shot Taker (AI), Playmaker (AI), Takes Finesse Free Kicks",75,85,84,85,82,84,72,85,71,88,74,86,79,86,87,86,75,75,74,91,77,81,77,92,81,89,84,90,90,86,88,76,76,86,79,11,5,13,8,14,,83+4,83+4,83+4,84+3,86+3,86+3,86+3,84+3,86+4,86+4,86+4,84+4,88+4,88+4,88+4,84+4,83+4,86+4,86+4,86+4,83+4,83+4,82+4,82+4,82+4,83+4,19+4,https://cdn.sofifa.com/players/226/324/17_120.png,,,https://cdn.sofifa.com/teams/113009/60.png,https://cdn.sofifa.com/flags/us.png
226328,https://sofifa.com/player/226328/megan-rapinoe/170002,M. Rapinoe,Megan Anna Rapinoe,"LM, CM, RM",91,91,,,30,1985-07-05,170,60,,,,,,,,,,95,United States,113009,SUB,15,Left,5,4,5,High/Low,Normal (170-),Yes,,"#Playmaker, #Crosser","Technical Dribbler (AI), Set Play Specialist",74,74,90,89,46,68,94,73,65,93,72,92,86,78,91,91,74,74,83,84,69,77,74,84,73,71,35,45,84,86,84,82,42,44,46,13,10,12,12,9,,79+4,79+4,79+4,85+3,84+3,84+3,84+3,85+3,86+4,86+4,86+4,87+4,84+4,84+4,84+4,87+4,71+4,68+4,68+4,68+4,71+4,66+4,56+4,56+4,56+4,66+4,19+4,https://cdn.sofifa.com/players/226/328/17_120.png,,,https://cdn.sofifa.com/teams/113009/60.png,https://cdn.sofifa.com/flags/us.png
226359,https://sofifa.com/player/226359/christine-sinclair/170002,C. Sinclair,Christine Margaret Sinclair,"ST, LW, RW, CAM",89,89,,,33,1983-06-12,175,67,,,,,,,,,,70,Canada,113000,LW,12,Right,4,3,5,High/Medium,Stocky (170-185),Yes,,"#Playmaker, #Clinical Finisher","Leadership, Finesse Shot, Team Player, Backs Into Player, Takes Finesse Free Kicks",75,87,85,82,37,78,81,89,84,87,84,82,79,74,84,85,73,77,81,85,66,87,74,79,84,86,65,54,86,90,84,85,38,17,14,15,7,5,10,6,,85+4,85+4,85+4,84+3,85+3,85+3,85+3,84+3,85+4,85+4,85+4,83+4,81+4,81+4,81+4,83+4,63+4,64+4,64+4,64+4,63+4,58+4,54+4,54+4,54+4,58+4,18+4,https://cdn.sofifa.com/players/226/359/17_120.png,,,https://cdn.sofifa.com/teams/113000/60.png,https://cdn.sofifa.com/flags/ca.png
226890,https://sofifa.com/player/226890/marta-vieira-da-silva/170002,Marta,Marta Vieira da Silva,"CAM, ST",89,89,,,30,1986-02-19,163,56,,,,,,,,,,54,Brazil,112999,CAM,10,Left,4,5,5,High/Medium,Normal (170-),Yes,,"#Dribbler, #Acrobat, #Clinical Finisher","Beat Offside Trap, Leadership, Technical Dribbler (AI), Takes Finesse Free Kicks",86,86,80,90,36,73,75,87,76,80,89,91,85,82,76,89,87,85,88,87,90,85,77,84,70,84,68,42,85,84,85,90,15,40,32,14,13,9,7,10,,85+4,85+4,85+4,86+3,86+3,86+3,86+3,86+3,85+4,85+4,85+4,85+4,80+4,80+4,80+4,85+4,65+4,62+4,62+4,62+4,65+4,61+4,53+4,53+4,53+4,61+4,19+4,https://cdn.sofifa.com/players/226/890/17_120.png,,,https://cdn.sofifa.com/teams/112999/60.png,https://cdn.sofifa.com/flags/br.png
227310,https://sofifa.com/player/227310/ada-stolsmo-hegerberg/170002,A. Stolsmo Hegerberg,Ada Martine Stolsmo Hegerberg,ST,88,94,,,20,1995-07-10,177,70,,,,,,,,,,36,Norway,113007,LS,21,Right,4,4,4,High/Medium,Normal (170-185),Yes,,"#Dribbler, #Clinical Finisher",Beat Offside Trap,82,86,73,85,24,73,68,93,88,77,81,89,75,74,67,86,79,85,64,83,76,75,81,72,78,82,59,23,89,74,82,83,14,16,15,15,7,12,10,14,,85+3,85+3,85+3,83+2,84+2,84+2,84+2,83+2,82+3,82+3,82+3,81+3,73+3,73+3,73+3,81+3,55+3,52+3,52+3,52+3,55+3,51+3,45+3,45+3,45+3,51+3,19+3,https://cdn.sofifa.com/players/227/310/17_120.png,,,https://cdn.sofifa.com/teams/113007/60.png,https://cdn.sofifa.com/flags/no.png
227318,https://sofifa.com/player/227318/amandine-henry/170002,A. Henry,Amandine Chantal Henry,CDM,88,90,,,26,1989-09-28,171,64,,,,,,,,,,18,France,113003,RDM,6,Right,3,3,3,Medium/High,Normal (170-185),Yes,,,Long Shot Taker (AI),72,65,76,74,84,86,61,56,68,86,51,68,50,51,83,85,73,71,72,89,62,78,72,90,84,76,89,85,65,79,64,81,84,88,82,9,11,13,12,5,,72+2,72+2,72+2,73+1,74+1,74+1,74+1,73+1,77+2,77+2,77+2,75+2,82+2,82+2,82+2,75+2,81+2,86+2,86+2,86+2,81+2,81+2,83+2,83+2,83+2,81+2,18+2,https://cdn.sofifa.com/players/227/318/17_120.png,,,https://cdn.sofifa.com/teams/113003/60.png,https://cdn.sofifa.com/flags/fr.png
226177,https://sofifa.com/player/226177/becky-sauerbrunn/170002,B. Sauerbrunn,Rebecca Elizabeth Sauerbrunn,CB,87,87,,,31,1985-06-06,170,64,,,,,,,,,,95,United States,113009,LCB,4,Right,2,2,4,Low/High,Normal (170-185),Yes,,#Tackling ,,73,31,49,55,86,85,31,22,81,75,26,49,29,27,46,60,74,73,49,85,68,45,84,85,86,32,84,85,25,33,55,69,87,87,86,13,10,5,8,9,,52+3,52+3,52+3,50+2,51+2,51+2,51+2,50+2,52+3,52+3,52+3,54+3,59+3,59+3,59+3,54+3,73+3,76+3,76+3,76+3,73+3,77+3,84+3,84+3,84+3,77+3,18+3,https://cdn.sofifa.com/players/226/177/17_120.png,,,https://cdn.sofifa.com/teams/113009/60.png,https://cdn.sofifa.com/flags/us.png
226301,https://sofifa.com/player/226301/alex-morgan/170002,A. Morgan,Alexandra Morgan Carrasco,ST,86,90,,,26,1989-07-02,170,62,,,,,,,,,,95,United States,113009,ST,13,Left,3,3,5,High/Low,Lean (170-),Yes,,#Clinical Finisher,"Beat Offside Trap, Finesse Shot, Target Forward",83,83,71,82,42,71,67,86,84,77,80,83,66,68,65,84,82,83,74,83,66,78,73,83,73,80,51,61,84,71,90,83,36,27,25,9,9,8,8,9,,82+4,82+4,82+4,80+3,82+3,82+3,82+3,80+3,80+4,80+4,80+4,79+4,74+4,74+4,74+4,79+4,64+4,61+4,61+4,61+4,64+4,61+4,55+4,55+4,55+4,61+4,17+4,https://cdn.sofifa.com/players/226/301/17_120.png,,,https://cdn.sofifa.com/teams/113009/60.png,https://cdn.sofifa.com/flags/us.png
226302,https://sofifa.com/player/226302/alexandra-popp/170002,A. Popp,Alexandra Popp,"ST, LM",86,91,,,25,1991-04-06,174,65,,,,,,,,,,21,Germany,113004,ST,9,Right,5,3,3,Medium/Medium,Normal (170-185),Yes,,"#Poacher, #Clinical Finisher",,80,87,67,76,33,82,67,88,87,74,87,76,67,71,55,77,82,78,69,85,68,87,87,74,85,83,82,33,86,62,85,64,21,30,21,10,12,11,5,12,,84+2,84+2,84+2,78+1,80+1,80+1,80+1,78+1,76+2,76+2,76+2,76+2,69+2,69+2,69+2,76+2,57+2,55+2,55+2,55+2,57+2,54+2,53+2,53+2,53+2,54+2,18+2,https://cdn.sofifa.com/players/226/302/17_120.png,,,https://cdn.sofifa.com/teams/113004/60.png,https://cdn.sofifa.com/flags/de.png
226308,https://sofifa.com/player/226308/dzsenifer-marozsan/170002,D. Marozsán,Dzsenifer Marozsán,"CAM, LM",86,91,,,24,1992-04-18,173,50,,,,,,,,,,21,Germany,113004,RDM,10,Right,4,4,4,High/Medium,Normal (170-185),Yes,,"#Playmaker, #FK Specialist","Long Shot Taker (AI), Playmaker (AI), Takes Finesse Free Kicks",73,81,87,83,51,73,85,74,59,90,85,81,90,92,80,90,75,72,76,81,78,86,59,78,73,86,72,69,80,86,91,77,44,44,51,6,8,13,7,10,,78+3,78+3,78+3,82+2,82+2,82+2,82+2,82+2,83+3,83+3,83+3,82+3,82+3,82+3,82+3,82+3,72+3,71+3,71+3,71+3,72+3,68+3,61+3,61+3,61+3,68+3,16+3,https://cdn.sofifa.com/players/226/308/17_120.png,,,https://cdn.sofifa.com/teams/113004/60.png,https://cdn.sofifa.com/flags/de.png
