sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
226328,https://sofifa.com/player/226328/megan-rapinoe/200002,M. Rapinoe,Megan Anna Rapinoe,"LW, LM",93,93,,,33,1985-07-05,170,60,,,,,,,,,,95,United States,113009,LW,15,Right,4,4,5,High/Low,Lean (170-),Yes,,"#Crosser, #FK Specialist, #Acrobat, #Clinical Finisher","Long Throw-in, Leadership, Technical Dribbler (AI)",76,88,93,91,49,69,94,91,76,93,74,94,93,88,92,92,77,75,87,87,71,82,76,72,67,88,67,47,90,92,90,93,46,46,48,15,12,14,14,11,,86+3,86+3,86+3,90,89,89,89,90,90+3,90+3,90+3,89+3,86+3,86+3,86+3,89+3,71+3,70+3,70+3,70+3,71+3,67+3,61+3,61+3,61+3,67+3,21+3,https://cdn.sofifa.com/players/226/328/20_120.png,,,https://cdn.sofifa.com/teams/113009/60.png,https://cdn.sofifa.com/flags/us.png
227125,https://sofifa.com/player/227125/samantha-kerr/200002,S. Kerr,Samantha May Kerr,"ST, LW",92,95,,,25,1993-09-10,167,55,,,,,,,,,,195,Australia,112998,ST,20,Right,4,4,4,High/Medium,Normal (170-),Yes,,"#Aerial Threat, #Dribbler, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward","Flair, Speed Dribbler (AI), Outside Foot Shot",86,90,71,89,39,80,74,95,92,77,79,88,76,63,70,94,89,84,88,86,82,92,87,87,78,84,75,24,95,61,68,92,36,38,23,7,12,8,16,13,,90+3,90+3,90+3,86,87,87,87,86,83+3,83+3,83+3,84+3,76+3,76+3,76+3,84+3,63+3,60+3,60+3,60+3,63+3,60+3,55+3,55+3,55+3,60+3,20+3,https://cdn.sofifa.com/players/227/125/20_120.png,,,https://cdn.sofifa.com/teams/112998/60.png,https://cdn.sofifa.com/flags/au.png
227316,https://sofifa.com/player/227316/wendie-renard/200002,W. Renard,Wéndèleine Thérèse Renard,CB,92,92,,,28,1990-07-20,187,70,,,,,,,,,,18,France,113003,LCB,3,Right,2,2,4,High/Medium,Lean (185+),Yes,,"#Aerial Threat, #Tackling, #Tactician, #Strength, #Complete Defender","Leadership, Power Header",68,70,61,72,90,89,25,70,94,80,41,69,49,58,78,85,69,68,56,82,44,85,94,77,94,63,89,86,70,55,60,80,90,91,88,7,14,17,11,15,,77+3,77+3,77+3,68,74,74,74,68,72+3,72+3,72+3,69+3,76+3,76+3,76+3,69+3,75+3,84+3,84+3,84+3,75+3,78+3,89+3,89+3,89+3,78+3,20+3,https://cdn.sofifa.com/players/227/316/20_120.png,,,https://cdn.sofifa.com/teams/113003/60.png,https://cdn.sofifa.com/flags/fr.png
226308,https://sofifa.com/player/226308/dzsenifer-marozsan/200002,D. Marozsán,Dzsenifer Marozsán,"CAM, LM, CM",91,92,,,27,1992-04-18,171,67,,,,,,,,,,21,Germany,113004,RCM,10,Right,4,5,4,High/Medium,Normal (170-185),Yes,,"#Dribbler, #Playmaker, #Distance Shooter, #Crosser, #FK Specialist, #Complete Midfielder","Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI)",80,85,90,88,55,76,89,79,61,92,88,88,93,94,82,92,81,80,79,88,79,89,61,83,75,90,74,71,82,91,93,89,51,46,53,8,10,15,9,12,,82+3,82+3,82+3,87,86,86,86,87,88+3,88+3,88+3,87+3,85+3,85+3,85+3,87+3,76+3,74+3,74+3,74+3,76+3,72+3,64+3,64+3,64+3,72+3,19+3,https://cdn.sofifa.com/players/226/308/20_120.png,,,https://cdn.sofifa.com/teams/113004/60.png,https://cdn.sofifa.com/flags/de.png
227318,https://sofifa.com/player/227318/amandine-henry/200002,A. Henry,Amandine Chantal Henry,"CDM, CM",91,91,,,29,1989-09-28,171,64,,,,,,,,,,18,France,113003,RDM,6,Right,3,4,4,High/High,Normal (170-185),Yes,,"#Engine, #Tactician ","Leadership, Long Shot Taker (AI)",74,73,78,79,89,89,63,70,70,88,53,74,60,62,85,88,75,73,74,91,64,80,77,91,89,82,91,89,68,80,69,84,94,92,84,11,13,15,14,7,,77+3,77+3,77+3,77,79,79,79,77,80+3,80+3,80+3,79+3,84+3,84+3,84+3,79+3,84+3,89+2,89+2,89+2,84+3,84+3,87+3,87+3,87+3,84+3,20+3,https://cdn.sofifa.com/players/227/318/20_120.png,,,https://cdn.sofifa.com/teams/113003/60.png,https://cdn.sofifa.com/flags/fr.png
227331,https://sofifa.com/player/227331/eugenie-le-sommer/200002,E. Le Sommer,Eugénie Anne Claudine Le Sommer,"ST, LW, CAM",91,91,,,30,1989-05-18,161,58,,,,,,,,,,18,France,113003,LAM,9,Right,5,4,4,Medium/High,Normal (170-),Yes,,"#Poacher, #Distance Shooter, #Clinical Finisher","Long Shot Taker (AI), Outside Foot Shot",81,92,72,83,45,68,56,94,91,80,89,82,81,65,66,86,78,83,81,88,82,92,81,71,70,91,58,33,90,79,85,79,52,36,25,17,9,13,12,14,,88+3,88+3,88+3,82,86,86,86,82,83+3,83+3,83+3,80+3,76+3,76+3,76+3,80+3,60+3,61+3,61+3,61+3,60+3,58+3,56+3,56+3,56+3,58+3,21+3,https://cdn.sofifa.com/players/227/331/20_120.png,,,https://cdn.sofifa.com/teams/113003/60.png,https://cdn.sofifa.com/flags/fr.png
226301,https://sofifa.com/player/226301/alex-morgan/200002,A. Morgan,Alexandra Morgan Carrasco,ST,90,90,,,29,1989-07-02,170,62,,,,,,,,,,95,United States,113009,ST,13,Left,4,4,5,High/Low,Unique,Yes,,#Clinical Finisher,"Leadership, Finesse Shot, Outside Foot Shot",85,87,74,84,43,71,71,89,86,80,87,85,68,70,67,87,84,86,76,81,68,85,76,75,76,82,53,63,90,74,89,91,34,29,27,11,11,10,10,11,,86+3,86+3,86+3,83,85,85,85,83,82+3,82+3,82+3,81+3,76+3,76+3,76+3,81+3,65+3,62+3,62+3,62+3,65+3,61+3,56+3,56+3,56+3,61+3,18+3,https://cdn.sofifa.com/players/226/301/20_120.png,,,https://cdn.sofifa.com/teams/113009/60.png,https://cdn.sofifa.com/flags/us.png
226330,https://sofifa.com/player/226330/tobin-heath/200002,T. Heath,Tobin Powell Heath,"RW, CAM, LW",90,90,,,31,1988-05-29,168,59,,,,,,,,,,95,United States,113009,RW,17,Right,5,5,4,Medium/High,Lean (170-),Yes,,"#Dribbler, #Playmaker, #Crosser, #Acrobat, #Complete Midfielder","Flair, Technical Dribbler (AI)",77,79,89,93,36,64,93,79,63,88,81,95,88,79,87,94,78,76,88,87,80,75,58,70,61,77,65,23,88,90,82,92,31,38,39,12,7,7,16,8,,81+3,81+3,81+3,88,86,86,86,88,88+2,88+2,88+2,87+3,82+3,82+3,82+3,87+3,65+3,63+3,63+3,63+3,65+3,60+3,50+3,50+3,50+3,60+3,19+3,https://cdn.sofifa.com/players/226/330/20_120.png,,,https://cdn.sofifa.com/teams/113009/60.png,https://cdn.sofifa.com/flags/us.png
227102,https://sofifa.com/player/227102/caroline-graham-hansen/200002,C. Graham Hansen,Caroline Graham Hansen,"RM, CAM, ST",90,95,,,24,1995-02-18,173,66,,,,,,,,,,36,Norway,113007,RM,10,Right,4,4,4,High/Medium,Normal (170-185),Yes,,"#Dribbler, #Crosser, #Clinical Finisher, #Complete Forward","Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",87,83,86,90,45,75,88,86,75,87,82,92,86,77,84,90,86,88,85,87,75,79,68,84,74,82,66,24,86,85,80,84,45,50,46,17,11,15,13,9,,84+3,84+3,84+3,88,87,87,87,88,87+3,87+3,87+3,88+3,82+3,82+3,82+3,88+3,69+3,66+3,66+3,66+3,69+3,66+3,58+3,58+3,58+3,66+3,21+3,https://cdn.sofifa.com/players/227/102/20_120.png,,,https://cdn.sofifa.com/teams/113007/60.png,https://cdn.sofifa.com/flags/no.png
233746,https://sofifa.com/player/233746/vivianne-miedema/200002,V. Miedema,Vivianne Miedema,ST,90,95,,,22,1996-07-15,175,65,,,,,,,,,,34,Netherlands,113011,ST,9,Right,4,4,4,High/Low,Normal (170-185),Yes,,"#Distance Shooter, #Clinical Finisher",Outside Foot Shot,79,90,73,85,32,79,67,92,82,81,88,86,76,71,67,89,78,79,77,86,73,89,73,79,85,90,66,27,94,68,78,91,22,30,23,14,16,17,14,17,,88+3,88+3,88+3,83,86,86,86,83,83+3,83+3,83+3,81+3,75+3,75+3,75+3,81+3,59+3,58+3,58+3,58+3,59+3,55+3,51+3,51+3,51+3,55+3,23+3,https://cdn.sofifa.com/players/233/746/20_120.png,,,https://cdn.sofifa.com/teams/113011/60.png,https://cdn.sofifa.com/flags/nl.png
