club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
CSKA Moscow,Rolan Gusev,24,Right Midfield,Dinamo Moscow,£2.70m,in,2.7,Premier Liga,2001,2001/2002
CSKA Moscow,Dmitri Kirichenko,24,Centre-Forward,Rostselmash,£675k,in,0.675,Premier Liga,2001,2001/2002
CSKA Moscow,Veniamin Mandrykin,19,Goalkeeper,Alania,£675k,in,0.675,Premier Liga,2001,2001/2002
CSKA Moscow,Bohdan Shershun,20,Centre-Back,Dnipro,£630k,in,0.63,Premier Liga,2001,2001/2002
CSKA Moscow,Elvir Rahimic,25,Defensive Midfield,Anzhi,£360k,in,0.36,Premier Liga,2001,2001/2002
CSKA Moscow,Aleksey Berezutski,19,Centre-Back,Torpedo-ZiL,£54k,in,0.054,Premier Liga,2001,2001/2002
CSKA Moscow,Vasili Berezutski,19,Centre-Back,Torpedo-ZiL,£54k,in,0.054,Premier Liga,2001,2001/2002
CSKA Moscow,Andrey Solomatin,26,Left-Back,Loko Moscow,Free Transfer,in,0,Premier Liga,2001,2001/2002
CSKA Moscow,Igor Piyuk,19,Centre-Forward,Torpedo-ZiL,?,in,NA,Premier Liga,2001,2001/2002
CSKA Moscow,Igor Yanovski,26,Defensive Midfield,Paris SG,?,in,NA,Premier Liga,2001,2001/2002
CSKA Moscow,Vladimir Kuzmichev,21,Left Winger,Dynamo Kyiv,?,in,NA,Premier Liga,2001,2001/2002
CSKA Moscow,Artur Tlisov,19,Central Midfield,Chernomorets N.,?,in,NA,Premier Liga,2001,2001/2002
CSKA Moscow,Aleksey Triputen,19,Defensive Midfield,Torpedo-ZiL,?,in,NA,Premier Liga,2001,2001/2002
CSKA Moscow,Roman Monarev,21,Centre-Forward,ZSKA Kyiv,?,in,NA,Premier Liga,2001,2001/2002
CSKA Moscow,Aleksandr Berketov,25,Centre-Back,Rotor Volgograd,?,in,NA,Premier Liga,2001,2001/2002
CSKA Moscow,Dmitri Kramarenko,27,Goalkeeper,Dinamo Moscow,?,in,NA,Premier Liga,2001,2001/2002
CSKA Moscow,Vyacheslav Daev,29,Centre-Back,Torpedo Moscow,?,in,NA,Premier Liga,2001,2001/2002
CSKA Moscow,Spartak Gogniev,20,Centre-Forward,Dinamo Moscow,?,in,NA,Premier Liga,2001,2001/2002
CSKA Moscow,Deividas Semberas,23,Defensive Midfield,Dinamo Moscow,?,in,NA,Premier Liga,2001,2001/2002
CSKA Moscow,Predrag Randjelovic,24,Centre-Forward,Anzhi,?,in,NA,Premier Liga,2001,2001/2002
CSKA Moscow,Konstantin Kaynov,24,Central Midfield,Torpedo-ZiL,"End of loanDec 1, 2001",in,0,Premier Liga,2001,2001/2002
CSKA Moscow,Oleg Kornaukhov,26,Left-Back,Torpedo-ZiL,£90k,out,0.09,Premier Liga,2001,2001/2002
CSKA Moscow,Maksim Bokov,28,Centre-Back,Uralan,?,out,NA,Premier Liga,2001,2001/2002
CSKA Moscow,Predrag Randjelovic,25,Centre-Forward,Zenit S-Pb,?,out,NA,Premier Liga,2001,2001/2002
CSKA Moscow,Konstantin Kaynov,24,Central Midfield,Khimki,?,out,NA,Premier Liga,2001,2001/2002
CSKA Moscow,Stanislav Lysenko,29,Defensive Midfield,Kuban Krasnodar,?,out,NA,Premier Liga,2001,2001/2002
CSKA Moscow,Andrey Novosadov,29,Goalkeeper,Torpedo-ZiL,?,out,NA,Premier Liga,2001,2001/2002
CSKA Moscow,Igor Aksenov,24,Defensive Midfield,Anzhi,?,out,NA,Premier Liga,2001,2001/2002
CSKA Moscow,Davranjon Fayziev,25,Right-Back,Alania,?,out,NA,Premier Liga,2001,2001/2002
CSKA Moscow,Ulugbek Bakaev,22,Centre-Forward,Torpedo-ZiL,?,out,NA,Premier Liga,2001,2001/2002
CSKA Moscow,Konstantin Kaynov,24,Central Midfield,Torpedo-ZiL,Loan,out,0,Premier Liga,2001,2001/2002
CSKA Moscow,Sergey Filippenkov,30,Right Winger,Chernomorets N.,?,out,NA,Premier Liga,2001,2001/2002
CSKA Moscow,Valeri Minko,30,Centre-Back,Kuban Krasnodar,?,out,NA,Premier Liga,2001,2001/2002
CSKA Moscow,Artem Enin,25,Central Midfield,Shinnik,?,out,NA,Premier Liga,2001,2001/2002
CSKA Moscow,Aleksey Saveljev,24,Attacking Midfield,Saturn,?,out,NA,Premier Liga,2001,2001/2002
CSKA Moscow,Mikhail Lunin,23,Attacking Midfield,Fakel Voronezh,?,out,NA,Premier Liga,2001,2001/2002
CSKA Moscow,Serhiy Perkhun,23,Goalkeeper,Retired,-,out,0,Premier Liga,2001,2001/2002
CSKA Moscow,Vladimir Kulik,29,Centre-Forward,Career break,-,out,0,Premier Liga,2001,2001/2002
Lokomotiv Moscow,Narvik Sirkhaev,27,Attacking Midfield,Anzhi,£900k,in,0.9,Premier Liga,2001,2001/2002
Lokomotiv Moscow,Bennett Mnguni,27,Left Midfield,Sundowns,£450k,in,0.45,Premier Liga,2001,2001/2002
Lokomotiv Moscow,Nemanja Vucicevic,21,Left Winger,OFK Beograd,Free Transfer,in,0,Premier Liga,2001,2001/2002
Lokomotiv Moscow,Oleg Pashinin,27,Centre-Back,Sanf. Hiroshima,Free Transfer,in,0,Premier Liga,2001,2001/2002
Lokomotiv Moscow,Sergey Ovchinnikov,31,Goalkeeper,FC Porto,?,in,NA,Premier Liga,2001,2001/2002
Lokomotiv Moscow,Giorgi Demetradze,25,Centre-Forward,Real Sociedad,?,in,NA,Premier Liga,2001,2001/2002
Lokomotiv Moscow,Andrey Lavrik,27,Defensive Midfield,Dinamo S-Pb,£63k,out,0.063,Premier Liga,2001,2001/2002
Lokomotiv Moscow,Andrey Solomatin,26,Left-Back,CSKA Moscow,Free Transfer,out,0,Premier Liga,2001,2001/2002
Lokomotiv Moscow,Ruslan Nigmatullin,27,Goalkeeper,Hellas Verona,Free Transfer,out,0,Premier Liga,2001,2001/2002
Lokomotiv Moscow,Zaza Janashia,25,Centre-Forward,Lokomotivi,Free Transfer,out,0,Premier Liga,2001,2001/2002
Lokomotiv Moscow,Albert Sarkisyan,26,Right Midfield,Torpedo Moscow,?,out,NA,Premier Liga,2001,2001/2002
Lokomotiv Moscow,Igor Cherevchenko,27,Centre-Back,Torpedo Moscow,?,out,NA,Premier Liga,2001,2001/2002
Lokomotiv Moscow,Igor Chugaynov,31,Centre-Back,Uralan,?,out,NA,Premier Liga,2001,2001/2002
Lokomotiv Moscow,Evgeni Kharlachev,27,Left Midfield,Dinamo Moscow,?,out,NA,Premier Liga,2001,2001/2002
Spartak Moscow,Roman Vasilyuk,22,Centre-Forward,Slavia,£900k,in,0.9,Premier Liga,2001,2001/2002
Spartak Moscow,Moisés Moura,22,Centre-Back,EC Vitória,£540k,in,0.54,Premier Liga,2001,2001/2002
Spartak Moscow,Maksym Levitsky,28,Goalkeeper,Saint-Étienne,£450k,in,0.45,Premier Liga,2001,2001/2002
Spartak Moscow,Ibra Kébé,22,Left-Back,Jeanne d'Arc,£50k,in,0.05,Premier Liga,2001,2001/2002
Spartak Moscow,Dmitri Kudryashov,18,Central Midfield,Saint-Étienne B,Free Transfer,in,0,Premier Liga,2001,2001/2002
Spartak Moscow,Vladimir Beschastnykh,27,Centre-Forward,Racing,Free Transfer,in,0,Premier Liga,2001,2001/2002
Spartak Moscow,Goran Maznov,20,Centre-Forward,FC Shkupi,£36k,in,0.036,Premier Liga,2001,2001/2002
Spartak Moscow,Predrag Ristovic,25,Goalkeeper,Zemun,?,in,NA,Premier Liga,2001,2001/2002
Spartak Moscow,Kakhaber Mzhavanadze,22,Right-Back,Dinamo Batumi,?,in,NA,Premier Liga,2001,2001/2002
Spartak Moscow,Okon Flo Essien,19,Centre-Forward,Dolphin FC,?,in,NA,Premier Liga,2001,2001/2002
Spartak Moscow,Valerijus Mizigurskis,18,Centre-Forward,Zalgiris,?,in,NA,Premier Liga,2001,2001/2002
Spartak Moscow,Andrii Popov,15,Left Midfield,Lausanne-S. U19,?,in,NA,Premier Liga,2001,2001/2002
Spartak Moscow,Dmitri Goncharov,26,Goalkeeper,Fakel Voronezh,?,in,NA,Premier Liga,2001,2001/2002
Spartak Moscow,Marco Villaseca,26,Central Midfield,Colo Colo,?,in,NA,Premier Liga,2001,2001/2002
Spartak Moscow,Lawrence Adjei,22,Midfielder,Asante Kotoko,?,in,NA,Premier Liga,2001,2001/2002
Spartak Moscow,Aleksandr Danishevski,17,Centre-Forward,Spartak II,-,in,0,Premier Liga,2001,2001/2002
Spartak Moscow,Aleksandr Shirko,24,Centre-Forward,Torpedo Moscow,£405k,out,0.405,Premier Liga,2001,2001/2002
Spartak Moscow,Aleksandr Filimonov,27,Goalkeeper,Dynamo Kyiv,Free Transfer,out,0,Premier Liga,2001,2001/2002
Spartak Moscow,Jafar Irismetov,24,Centre-Forward,Slavia,?,out,NA,Premier Liga,2001,2001/2002
Spartak Moscow,Lawrence Adjei,22,Midfielder,Arm. Bielefeld,Loan,out,0,Premier Liga,2001,2001/2002
