Rank,Club,Country,Level,Elo,From,To
None,Aston Villa,ENG,1,1551.14025879,1946-07-07,1946-08-31
None,Aston Villa,ENG,1,1540.92285156,1946-09-01,1946-09-02
None,Aston Villa,ENG,1,1530.57446289,1946-09-03,1946-09-07
None,Aston Villa,ENG,1,1541.5065918,1946-09-08,1946-09-11
None,Aston Villa,ENG,1,1552.18041992,1946-09-12,1946-09-14
None,Aston Villa,ENG,1,1536.08068848,1946-09-15,1946-09-16
None,Aston Villa,ENG,1,1545.30981445,1946-09-17,1946-09-21
None,Aston Villa,ENG,1,1540.65869141,1946-09-22,1946-09-28
None,Aston Villa,ENG,1,1550.94189453,1946-09-29,1946-09-29
None,Aston Villa,ENG,1,1567.94189453,1946-09-30,1946-10-03
None,Aston Villa,ENG,1,1573.94189453,1946-10-04,1946-10-05
None,Aston Villa,ENG,1,1583.90600586,1946-10-06,1946-10-12
None,Aston Villa,ENG,1,1580.70300293,1946-10-13,1946-10-19
None,Aston Villa,ENG,1,1591.96179199,1946-10-20,1946-10-26
None,Aston Villa,ENG,1,1583.5736084,1946-10-27,1946-11-02
None,Aston Villa,ENG,1,1581.2166748,1946-11-03,1946-11-09
None,Aston Villa,ENG,1,1584.29724121,1946-11-10,1946-11-16
None,Aston Villa,ENG,1,1596.76293945,1946-11-17,1946-11-23
None,Aston Villa,ENG,1,1610.58654785,1946-11-24,1946-11-30
None,Aston Villa,ENG,1,1604.67810059,1946-12-01,1946-12-07
None,Aston Villa,ENG,1,1621.77429199,1946-12-08,1946-12-14
None,Aston Villa,ENG,1,1625.8170166,1946-12-15,1946-12-21
None,Aston Villa,ENG,1,1617.75646973,1946-12-22,1946-12-25
None,Aston Villa,ENG,1,1613.08898926,1946-12-26,1946-12-26
None,Aston Villa,ENG,1,1605.51611328,1946-12-27,1946-12-28
None,Aston Villa,ENG,1,1617.12988281,1946-12-29,1947-01-01
None,Aston Villa,ENG,1,1606.9083252,1947-01-02,1947-01-04
None,Aston Villa,ENG,1,1614.21875,1947-01-05,1947-01-18
None,Aston Villa,ENG,1,1627.80761719,1947-01-19,1947-01-25
None,Aston Villa,ENG,1,1623.95690918,1947-01-26,1947-02-01
None,Aston Villa,ENG,1,1635.85668945,1947-02-02,1947-02-15
