club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
Cardiff City,Kevin Nugent,28,Forward,Bristol City,£72k,in,0.072,Championship,1997,1997/1998
Cardiff City,Andy Saville,32,Centre-Forward,Wigan,£60k,in,0.06,Championship,1997,1997/1998
Cardiff City,Danny Hill,23,Midfielder,Spurs,Loan,in,0,Championship,1997,1997/1998
Cardiff City,Glen Crowe,19,Centre-Forward,Wolves,Loan,in,0,Championship,1997,1997/1998
Cardiff City,Jon Hallworth,31,Goalkeeper,Oldham Athletic,Free Transfer,in,0,Championship,1997,1997/1998
Cardiff City,Wayne O'Sullivan,23,Right Midfield,Swindon Town,?,in,NA,Championship,1997,1997/1998
Cardiff City,Dave Penney,32,Midfielder,Swansea,?,in,NA,Championship,1997,1997/1998
Cardiff City,Chris Greenacre,19,Centre-Forward,Man City,Loan,in,0,Championship,1997,1997/1998
Cardiff City,Christian Roberts,17,Centre-Forward,Cardiff U18,-,in,0,Championship,1997,1997/1998
Cardiff City,Jimmy Rollo,21,Centre-Back,Ebbw Vale,"End of loanMay 1, 1998",in,0,Championship,1997,1997/1998
Cardiff City,Pat Mountain,20,Goalkeeper,Barry Town,"End of loanJun 30, 1997",in,0,Championship,1997,1997/1998
Cardiff City,Steve Williams,22,Goalkeeper,Dundalk FC,Free Transfer,out,0,Championship,1997,1997/1998
Cardiff City,Jimmy Rollo,21,Centre-Back,Ebbw Vale,Loan,out,0,Championship,1997,1997/1998
Cardiff City,Pat Mountain,21,Goalkeeper,Barry Town,?,out,NA,Championship,1997,1997/1998
Cardiff City,Danny Hill,23,Midfielder,Spurs,"End of loanMar 1, 1998",out,0,Championship,1997,1997/1998
Cardiff City,Glen Crowe,19,Centre-Forward,Wolves,"End of loanDec 1, 1997",out,0,Championship,1997,1997/1998
Cardiff City,Chris Greenacre,19,Centre-Forward,Man City,"End of loanOct 1, 1997",out,0,Championship,1997,1997/1998
Fulham FC,Chris Coleman,27,Centre-Back,Blackburn,£3.31m,in,3.31,Championship,1997,1997/1998
Fulham FC,Paul Peschisolido,26,Centre-Forward,West Brom,£1.49m,in,1.49,Championship,1997,1997/1998
Fulham FC,Tony Thorpe,23,Centre-Forward,Luton Town,£1.08m,in,1.08,Championship,1997,1997/1998
Fulham FC,Maik Taylor,26,Goalkeeper,Southampton,£945k,in,0.945,Championship,1997,1997/1998
Fulham FC,Paul Trollope,25,Attacking Midfield,Derby,£810k,in,0.81,Championship,1997,1997/1998
Fulham FC,Wayne Collins,28,Midfielder,Sheff Wed,£540k,in,0.54,Championship,1997,1997/1998
Fulham FC,André Arendse,30,Goalkeeper,Cape Town Spurs,£450k,in,0.45,Championship,1997,1997/1998
Fulham FC,Alan Neilson,25,Centre-Back,Southampton,£338k,in,0.338,Championship,1997,1997/1998
Fulham FC,Paul Moody,30,Forward,Oxford United,£203k,in,0.203,Championship,1997,1997/1998
Fulham FC,Steven Hayward,25,Midfielder,Carlisle United,£197k,in,0.197,Championship,1997,1997/1998
Fulham FC,Steve McAnespie,25,Right-Back,Bolton,£135k,in,0.135,Championship,1997,1997/1998
Fulham FC,Aidan Newhouse,25,Forward,Wimbledon FC,£114k,in,0.114,Championship,1997,1997/1998
Fulham FC,Jimmy Aggrey,18,Defender,Chelsea,Free Transfer,in,0,Championship,1997,1997/1998
Fulham FC,Leon McKenzie,19,Centre-Forward,Crystal Palace,Loan,in,0,Championship,1997,1997/1998
Fulham FC,Kyle Lightbourne,29,Forward,Coventry,Loan,in,0,Championship,1997,1997/1998
Fulham FC,Shaun Maher,19,Centre-Back,Bohemians,£45k,in,0.045,Championship,1997,1997/1998
Fulham FC,Matt Brazier,21,Midfielder,QPR,?,in,NA,Championship,1997,1997/1998
Fulham FC,Paul Bracewell,34,Central Midfield,Sunderland,?,in,NA,Championship,1997,1997/1998
Fulham FC,Andy Arnott,23,Defensive Midfield,Leyton Orient,?,in,NA,Championship,1997,1997/1998
Fulham FC,Peter Beardsley,37,Second Striker,Bolton,Loan,in,0,Championship,1997,1997/1998
Fulham FC,Neil Smith,25,Midfielder,Gillingham FC,?,in,NA,Championship,1997,1997/1998
Fulham FC,Steve McAnespie,26,Right-Back,Bradford,"End of loanMay 3, 1998",in,0,Championship,1997,1997/1998
Fulham FC,Danny Cullip,20,Centre-Back,Brentford,£113k,out,0.113,Championship,1997,1997/1998
Fulham FC,Paul Watson,22,Right-Back,Brentford,£63k,out,0.063,Championship,1997,1997/1998
Fulham FC,Aidan Newhouse,25,Forward,Swansea,Free Transfer,out,0,Championship,1997,1997/1998
Fulham FC,Mark Walton,28,Goalkeeper,Gillingham FC,£41k,out,0.041,Championship,1997,1997/1998
Fulham FC,Steve McAnespie,26,Right-Back,Bradford,Loan,out,0,Championship,1997,1997/1998
Fulham FC,Terry Angus,31,Centre-Back,Slough Town,?,out,NA,Championship,1997,1997/1998
Fulham FC,Nicholas Cusack,31,Midfielder,Swansea,?,out,NA,Championship,1997,1997/1998
Fulham FC,Glenn Cockerill,38,Central Midfield,Brentford,?,out,NA,Championship,1997,1997/1998
Fulham FC,Andy Arnott,23,Defensive Midfield,Rush. & Diamon.,?,out,NA,Championship,1997,1997/1998
Fulham FC,John Marshall,33,Right Midfield,Retired,-,out,0,Championship,1997,1997/1998
Fulham FC,Kyle Lightbourne,29,Forward,Coventry,"End of loanFeb 1, 1998",out,0,Championship,1997,1997/1998
Fulham FC,Leon McKenzie,19,Centre-Forward,Crystal Palace,"End of loanNov 1, 1997",out,0,Championship,1997,1997/1998
Huddersfield Town,Wayne Allison,28,Centre-Forward,Swindon Town,£1.04m,in,1.04,Championship,1997,1997/1998
Huddersfield Town,Lee Richardson,28,Midfielder,Oldham Athletic,£72k,in,0.072,Championship,1997,1997/1998
Huddersfield Town,Alex Smith,21,Defender,Swindon Town,Loan,in,0,Championship,1997,1997/1998
Huddersfield Town,Lee Martin,29,Left-Back,Bristol Rovers,Loan,in,0,Championship,1997,1997/1998
Huddersfield Town,Steve Harper,22,Goalkeeper,Newcastle,Loan,in,0,Championship,1997,1997/1998
Huddersfield Town,Barry Horne,35,Defensive Midfield,Birmingham,?,in,NA,Championship,1997,1997/1998
Huddersfield Town,Grant Johnson,25,Left Midfield,Dundee United,?,in,NA,Championship,1997,1997/1998
Huddersfield Town,Sean Hessey,19,Centre-Back,Wigan,?,in,NA,Championship,1997,1997/1998
