team_name,league_name,league_country
AC Milan,Seria A,Italy
Alaves,La Liga,Spain
Almeria,La Liga,Spain
Amiens,Ligue 1,France
Angers,Ligue 1,France
Arsenal,Premier League,England
Aston Villa,Premier League,England
Atalanta,Seria A,Italy
Athletic Club,La Liga,Spain
Atletico Madrid,La Liga,Spain
Augsburg,Bundesliga,Germany
Barcelona,La Liga,Spain
Bayer Leverkusen,Bundesliga,Germany
Bayern Munich,Bundesliga,Germany
Benevento,Seria A,Italy
Bologna,Seria A,Italy
Bordeaux,Ligue 1,France
Borussia Dortmund,Bundesliga,Germany
Borussia M.Gladbach,Bundesliga,Germany
Bournemouth,Premier League,England
Brescia,Seria A,Italy
Brest,Seria A,Italy
Brighton,Premier League,England
Burnley,Premier League,England
Caen,Ligue 1,France
Cagliari,Seria A,Italy
Cardiff,Premier League,England
Carpi,Seria A,Italy
Celta Vigo,La Liga,Spain
Cesena,Seria A,Italy
Chelsea,Premier League,England
Chievo,Seria A,Italy
Cordoba,La Liga,Spain
Crotone,Seria A,Italy
Crystal Palace,Premier League,England
Darmstadt,Bundesliga,Germany
Deportivo La Coruna,La Liga,Spain
Dijon,Ligue 1,France
Eibar,La Liga,Spain
Eintracht Frankfurt,Bundesliga,Germany
Elche,La Liga,Spain
Empoli,Seria A,Italy
Espanyol,La Liga,Spain
Everton,Premier League,England
Evian Thonon Gaillard,Ligue 1,France
FC Cologne,Bundesliga,Germany
Fiorentina,Seria A,Italy
Fortuna Duesseldorf,Bundesliga,Germany
Freiburg,Bundesliga,Germany
Frosinone,Ligue 1,France
Fulham,Premier League,England
Genoa,Seria A,Italy
Getafe,La Liga,Spain
GFC Ajaccio,Ligue 1,France
Girona,La Liga,Spain
Granada,La Liga,Spain
Guingamp,Ligue 1,France
Hamburger SV,Bundesliga,Germany
Hannover 96,Bundesliga,Germany
Hertha Berlin,Bundesliga,Germany
Hoffenheim,Bundesliga,Germany
Huddersfield,Premier League,England
Hull,Premier League,England
Ingolstadt,Bundesliga,Germany
Inter,Seria A,Italy
Juventus,Seria A,Italy
Las Palmas,La Liga,Spain
Lazio,Seria A,Italy
Lecce,La Liga,Spain
Leganes,La Liga,Spain
Leicester,Premier League,England
Lens,Ligue 1,France
Levante,La Liga,Spain
Lille,Ligue 1,France
Liverpool,Premier League,England
Lorient,Ligue 1,France
Lyon,Ligue 1,France
Mainz 05,Bundesliga,Germany
Malaga,La Liga,Spain
Mallorca,La Liga,Spain
Manchester City,Premier League,England
Manchester United,Premier League,England
Marseille,Ligue 1,France
Metz,Ligue 1,France
Middlesbrough,Premier League,England
Monaco,Ligue 1,France
Montpellier,Ligue 1,France
Nancy,Ligue 1,France
Nantes,Ligue 1,France
Napoli,Seria A,Italy
Newcastle United,Premier League,England
Nice,Ligue 1,France
Nimes,Ligue 1,France
Norwich,Premier League,England
Nuernberg,Bundesliga,Germany
Osasuna,La Liga,Spain
Paderborn,Bundesliga,Germany
Palermo,Seria A,Italy
Paris Saint Germain,Ligue 1,France
Parma,Seria A,Italy
Parma Calcio 1913,Seria A,Italy
Pescara,Seria A,Italy
Queens Park Rangers,Premier League,England
RasenBallsport Leipzig,Bundesliga,Germany
Rayo Vallecano,La Liga,Spain
Real Betis,La Liga,Spain
Real Madrid,La Liga,Spain
Real Sociedad,La Liga,Spain
Real Valladolid,La Liga,Spain
Reims,Ligue 1,France
Rennes,Ligue 1,France
Roma,Seria A,Italy
Saint-Etienne,Ligue 1,France
Sampdoria,Seria A,Italy
Sassuolo,Seria A,Italy
SC Bastia,Ligue 1,France
Schalke 04,Bundesliga,Germany
SD Huesca,La Liga,Spain
Sevilla,La Liga,Spain
Sheffield United,Premier League,England
Southampton,Premier League,England
SPAL 2013,Seria A,Italy
Sporting Gijon,La Liga,Spain
Stoke,Premier League,England
Strasbourg,Bundesliga,Germany
Sunderland,Premier League,England
Swansea,Premier League,England
Torino,Seria A,Italy
Tottenham,Premier League,England
Toulouse,Ligue 1,France
Troyes,Ligue 1,France
Udinese,Seria A,Italy
Union Berlin,Bundesliga,Germany
Valencia,La Liga,Spain
Verona,Seria A,Italy
VfB Stuttgart,Bundesliga,Germany
Villarreal,La Liga,Spain
Watford,Premier League,England
Werder Bremen,Bundesliga,Germany
West Bromwich Albion,Premier League,England
West Ham,Premier League,England
Wolfsburg,Bundesliga,Germany
Wolverhampton Wanderers,Premier League,England
Arminia Bielefeld,Bundesliga,Germany
Cadiz,Ligue 1,France
Leeds,Premier League,England
Spezia,Seria A,Italy
