Club,Country
Besa Kavaje,ALB
Bylis Ballsh,ALB
Dinamo Tirana,ALB
Elbasani,ALB
Flamurtari,ALB
Kukesi,ALB
Laci,ALB
Luftetari,ALB
Partizani Tirana,ALB
Skenderbeu,ALB
Teuta Durres,ALB
Tirana,ALB
Tomori Berat,ALB
Vllaznia,ALB
CE Principat,AND
Constelacio Esportiva,AND
Encamp,AND
Engordany,AND
Escaldes,AND
Escale,AND
FC Rangers,AND
Lusitanos,AND
Matecosa Sant Julia,AND
Santa Coloma,AND
Alashkert,ARM
Ararat,ARM
Ararat-Armenia,ARM
Banants,ARM
FC Yerevan,ARM
Gandzasar Kapan,ARM
MIKA,ARM
Noah,ARM
Pyunik,ARM
Shirak,ARM
Spartak Yerevan,ARM
Ulisses,ARM
Zvartnots,ARM
Admira,AUT
Altach,AUT
Austria Kaernten,AUT
Austria Wien,AUT
Bregenz,AUT
FCK Kaernten,AUT
GAK,AUT
Groedig,AUT
Hartberg,AUT
Kapfenberg,AUT
Klagenfurt,AUT
LASK,AUT
Lustenau,AUT
Mattersburg,AUT
Pasching,AUT
Rapid Wien,AUT
Ried,AUT
Salzburg,AUT
St Poelten,AUT
Sturm Graz,AUT
Wacker Innsbruck,AUT
Wattens,AUT
Wiener Neustadt,AUT
Wolfsberg,AUT
AZAL Baku,AZE
FK Baku,AZE
FK Karvan Evlakh,AZE
Gabala,AZE
Inter Baku,AZE
Kapaz Ganca,AZE
Karabakh Agdam,AZE
Khazar,AZE
MKT Araz Imishli,AZE
Neftchi,AZE
Sabail,AZE
Shafa,AZE
Shamkir,AZE
Simurq Zaqatala,AZE
Sumqayit,AZE
Zira,AZE
Aalst,BEL
Anderlecht,BEL
Antwerp,BEL
Beerschot AC,BEL
Bergen,BEL
Beveren,BEL
Brugge,BEL
Cercle Brugge,BEL
Charleroi,BEL
Dender,BEL
Eupen,BEL
FC Brussels,BEL
Geel,BEL
Genk,BEL
Gent,BEL
Harelbeke,BEL
Heusden Zolder,BEL
Kortrijk,BEL
Leuven,BEL
Lierse,BEL
Lokeren,BEL
Lommel,BEL
Louvieroise,BEL
Mechelen,BEL
Molenbeek,BEL
Mouscron,BEL
Oostende,BEL
Roeselare,BEL
Seraing,BEL
St Gillis,BEL
St Truiden,BEL
Standard,BEL
Tubize,BEL
Westerlo,BEL
Zulte Waregem,BEL
Borac Banja Luka,BHZ
Brotnjo Citluk,BHZ
Buduchnost Banovici,BHZ
FK Sarajevo,BHZ
Leotar Trebinje,BHZ
Modrica Maksima,BHZ
Olimpik Sarajevo,BHZ
Orasje,BHZ
Radnik Bijeljina,BHZ
Siroki Brijeg,BHZ
Slavija Istocno,BHZ
Sloboda Tuzla,BHZ
Velez Mostar,BHZ
Zeljeznicar,BHZ
Zepce Limorad,BHZ
Zrinjski Mostar,BHZ
BATE,BLR
Bobruisk,BLR
Darida,BLR
Dinamo Brest,BLR
Dinamo Minsk,BLR
Dnepr Mogilev,BLR
FK Minsk,BLR
FK Vitebsk,BLR
Gomel,BLR
Gorodeya,BLR
Granit Mikashevichy,BLR
Isloch,BLR
Kamunalnik,BLR
Krumkachy,BLR
Lida,BLR
Lok Minsk,BLR
Luch Minsk,BLR
MTZ-RIPO,BLR
Maladzyechna,BLR
Neman Grodno,BLR
Novopolotsk,BLR
Rukh Brest,BLR
Savit,BLR
Slavia Mozyr,BLR
Slutsk,BLR
Smolevichi,BLR
Smorgon,BLR
Soligorsk,BLR
Sputnik,BLR
Svisloch-Krovlya,BLR
Torpedo Minsk,BLR
Torpedo Mogilev,BLR
Torpedo Zhodino,BLR
Vedrych,BLR
Zvyazda BDU,BLR
Akademik Sofia,BUL
Arda,BUL
Belasitsa Petrich,BUL
Beroe Stara Zagora,BUL
Blagoevgrad,BUL
Botev Plovdiv,BUL
Botev Vratsa,BUL
CSKA 1948 Sofia,BUL
CSKA Sofia,BUL
Cherno More,BUL
Chernomorets Burgas,BUL
Dobrudzha,BUL
Dunav Ruse,BUL
Etar,BUL
Gotse Delchev,BUL
Haskovo,BUL
Hebar,BUL
Kaliakra Kavarna,BUL
Levski,BUL
Litex,BUL
Lok Gorna,BUL
Lok Plovdiv,BUL
Lok Sofia,BUL
Lyubimets,BUL
Marek Dupnitza,BUL
Mezdra,BUL
Minyor Pernik,BUL
Montana 1921,BUL
N Burgas,BUL
Nesebar,BUL
Pirin 1922,BUL
Razgrad,BUL
Rodopa Smolian,BUL
Samakov,BUL
Septemvri Sofia,BUL
Sevlievo,BUL
Shumen,BUL
Slavia Sofia,BUL
Sliven,BUL
Spartak Pleven,BUL
Spartak Varna,BUL
Svetkavitsa,BUL
Svoge,BUL
Tsarsko Selo,BUL
Velbazhd,BUL
Vereya,BUL
Vihren Sandanski,BUL
Vitosha Bistritsa,BUL
Cakovec,CRO
Cibalia Vinkovci,CRO
Croatia Sesvete,CRO
Dinamo Zagreb,CRO
Dragovoljac,CRO
HNK Gorica,CRO
Hajduk,CRO
Inter Zapresic,CRO
Istra,CRO
Istra 1961,CRO
Kamen Ingrad,CRO
Karlovac,CRO
Lok Zagreb,CRO
Lucko,CRO
Marsonia,CRO
Medjimurje,CRO
NK Zagreb,CRO
Osijek,CRO
Pomorac,CRO
Rijeka,CRO
Rudes Zagreb,CRO
Sibenik,CRO
Slaven Belupo,CRO
Split 1912,CRO
Topolovac,CRO
Varazdin,CRO
Varteks,CRO
Vukovar 91,CRO
Zadar,CRO
Artmedia,CSR
Banik Ostrava,CSR
Banska Bystrica,CSR
Bohemians Praha,CSR
Brno,CSR
Ceske Budejovice,CSR
Dunajska,CSR
Hradec Kralove,CSR
Inter Bratislava,CSR
Jablonec,CSR
Kladno,CSR
Kosice,CSR
Nitra,CSR
Pardubice,CSR
Pribram,CSR
Sigma Olomouc,CSR
Slavia Praha,CSR
Slovan Bratislava,CSR
Slovan Liberec,CSR
Sparta Praha,CSR
Teplice,CSR
Tescoma Zlin,CSR
Trencin,CSR
Trnava,CSR
Usti nad Labem,CSR
Viktoria Plzen,CSR
Zilina,CSR
AEL Limassol,CYP
APOEL,CYP
APOP,CYP
Achnas,CYP
Anorthosis,CYP
Apollon Lemesos,CYP
Ermis,CYP
Larnaca,CYP
Olympiakos Nikosia,CYP
Omonia,CYP
Banik Ostrava,CZE
Blsany,CZE
Bohemians Praha,CZE
Brno,CZE
Ceske Budejovice,CZE
Chmel Blsany,CZE
Drnovice,CZE
Dukla,CZE
FK SIAD Most,CZE
Hradec Kralove,CZE
Jablonec,CZE
Jihlava,CZE
Karvina,CZE
Kladno,CZE
Mlada Boleslav,CZE
Opava,CZE
Pardubice,CZE
Pribram,CZE
Sigma Olomouc,CZE
Slavia Praha,CZE
Slovacko,CZE
Slovan Liberec,CZE
Sparta Praha,CZE
Strizkov,CZE
Teplice,CZE
Tescoma Zlin,CZE
Usti nad Labem,CZE
Viktoria Plzen,CZE
Viktoria Zizkov,CZE
Znojmo,CZE
Aalborg,DEN
Aarhus,DEN
Akademisk,DEN
Brondby,DEN
Esbjerg,DEN
FC Kobenhavn,DEN
Frem,DEN
HB Koge,DEN
Helsingor,DEN
Herfolge,DEN
Hobro,DEN
Horsens,DEN
Koge,DEN
Lyngby,DEN
Midtjylland,DEN
Nordsjaelland,DEN
Odense,DEN
Randers,DEN
Silkeborg,DEN
SonderjyskE,DEN
Vejle,DEN
Vendsyssel,DEN
Vestsjaelland,DEN
Viborg,DEN
Arsenal,ENG
Aston Villa,ENG
Barnsley,ENG
Birmingham,ENG
Blackburn,ENG
Blackpool,ENG
Bolton,ENG
Bournemouth,ENG
Bradford,ENG
Brentford,ENG
Brighton,ENG
Bristol City,ENG
Burnley,ENG
Burton,ENG
Cardiff,ENG
Charlton,ENG
Chelsea,ENG
Colchester,ENG
Coventry,ENG
Crewe,ENG
Crystal Palace,ENG
Derby,ENG
Doncaster,ENG
Everton,ENG
Forest,ENG
Fulham,ENG
Gillingham,ENG
Grimsby,ENG
Huddersfield,ENG
Hull,ENG
Ipswich,ENG
Leeds,ENG
Leicester,ENG
Liverpool,ENG
Luton,ENG
MK Dons,ENG
Man City,ENG
Man United,ENG
Middlesbrough,ENG
Millwall,ENG
Newcastle,ENG
Norwich,ENG
Peterboro,ENG
Plymouth,ENG
Port Vale,ENG
Portsmouth,ENG
Preston,ENG
QPR,ENG
Reading,ENG
Rotherham,ENG
Scunthorpe,ENG
Sheffield United,ENG
Sheffield Weds,ENG
Southampton,ENG
Southend,ENG
Stockport,ENG
Stoke,ENG
Sunderland,ENG
Swansea,ENG
Swindon,ENG
Tottenham,ENG
Tranmere,ENG
Walsall,ENG
Watford,ENG
West Brom,ENG
West Ham,ENG
Wigan,ENG
Wimbledon,ENG
Wolves,ENG
Wycombe,ENG
Yeovil,ENG
Alaves,ESP
Albacete,ESP
Alcorcon,ESP
Alcoyano,ESP
Algeciras,ESP
Alicante,ESP
Almeria,ESP
Amorebieta,ESP
Atletico,ESP
Atletico B,ESP
Badajoz,ESP
Barcelona,ESP
Barcelona B,ESP
Betis,ESP
Bilbao,ESP
Bilbao B,ESP
Burgos,ESP
Cadiz,ESP
Cartagena,ESP
Castellon,ESP
Celta,ESP
Ciudad de Murcia,ESP
Compostela,ESP
Cordoba,ESP
Depor,ESP
Eibar,ESP
Elche,ESP
Espanyol,ESP
Extremadura,ESP
Ferrol,ESP
Fuenlabrada,ESP
Getafe,ESP
Gijon,ESP
Girona,ESP
Granada,ESP
Granada 74,ESP
Guadalajara,ESP
Hercules,ESP
Huesca,ESP
Ibiza Eivissa,ESP
Jaen,ESP
Las Palmas,ESP
Leganes,ESP
Leonesa,ESP
Levante,ESP
Llagostera,ESP
Lleida,ESP
Logrones,ESP
Lorca,ESP
Lorca FC,ESP
Lugo,ESP
Majadahonda,ESP
Malaga,ESP
Malaga B,ESP
Mallorca,ESP
Merida,ESP
Mirandes,ESP
Murcia,ESP
Numancia,ESP
Osasuna,ESP
Oviedo,ESP
Poli Ejido,ESP
Ponferradina,ESP
Pontevedra,ESP
Rayo Vallecano,ESP
Real Madrid,ESP
Real Madrid B,ESP
Real Union,ESP
Recreativo,ESP
Reus Deportiu,ESP
Sabadell,ESP
Salamanca,ESP
Santander,ESP
Sevilla,ESP
Sevilla B,ESP
Sociedad,ESP
Sociedad B,ESP
Tarragona,ESP
Tenerife,ESP
Terrassa,ESP
Toledo,ESP
UCAM Murcia,ESP
Uni Las Palmas,ESP
Valencia,ESP
Valladolid,ESP
Vecindario,ESP
Villarreal,ESP
Villarreal B,ESP
Xerez,ESP
Zaragoza,ESP
FC Infonet,EST
Flora Tallinn,EST
Lantana Tallinn,EST
Levadia Tallinn,EST
Nomme Kalju,EST
Paide Linnameeskond,EST
Santos Tartu,EST
Sillamaee Kalev,EST
TVMK Tallinn,EST
Trans Narva,EST
Viljandi Tulevik,EST
B 36 Torshavn,FAR
Fuglafjoerdur,FAR
Gota,FAR
HB Torshavn,FAR
Klaksvik,FAR
Runavik,FAR
Skala,FAR
Streymur,FAR
Toftir,FAR
Vagur,FAR
Allianssi,FIN
HJK Helsinki,FIN
Haka,FIN
Honka Espoo,FIN
Ilves Tampere,FIN
Inter Turku,FIN
Jokerit,FIN
Jyvaeskylae,FIN
Kuopio,FIN
Lahti,FIN
Mariehamn,FIN
MyPa,FIN
Rovaniemi,FIN
Seinajoki,FIN
TPS Turku,FIN
Tampere,FIN
Vaasa,FIN
Ajaccio,FRA
Amiens,FRA
Angers,FRA
Arles-Avignon,FRA
Auxerre,FRA
Bastia,FRA
Beauvais,FRA
Besancon,FRA
Beziers,FRA
Bordeaux,FRA
Boulogne,FRA
Bourg-Peronnas,FRA
Brest,FRA
CA Bastia,FRA
Caen,FRA
Cannes,FRA
Chambly Oise,FRA
Chateauroux,FRA
Clermont,FRA
Creteil,FRA
Cuiseaux-Louhans,FRA
Dijon,FRA
Dunkerque,FRA
Evian TG,FRA
Gazelec,FRA
Grenoble,FRA
Gueugnon,FRA
Guingamp,FRA
Istres,FRA
Laval,FRA
Le Havre,FRA
Le Mans,FRA
Lens,FRA
Libourne,FRA
Lille,FRA
Lorient,FRA
Lyon,FRA
Marseille,FRA
Martigues,FRA
Metz,FRA
Monaco,FRA
Montpellier,FRA
Nancy,FRA
Nantes,FRA
Nice,FRA
Nimes,FRA
Niort,FRA
Orleans,FRA
Paris FC,FRA
Paris SG,FRA
Pau,FRA
Red Star,FRA
Reims,FRA
Rennes,FRA
Rodez,FRA
Rouen,FRA
Saint-Etienne,FRA
Sedan,FRA
Sete,FRA
Sochaux,FRA
Strasbourg,FRA
Toulouse,FRA
Tours,FRA
Troyes,FRA
US Quevilly,FRA
Valence,FRA
Valenciennes,FRA
Vannes,FRA
Wasquehal,FRA
Aachen,FRG
Augsburg,FRG
Bayern,FRG
Bielefeld,FRG
Bochum,FRG
Braunschweig,FRG
Darmstadt,FRG
Dortmund,FRG
Duesseldorf,FRG
Duisburg,FRG
Essen,FRG
FSV Frankfurt,FRG
Fortuna Koeln,FRG
Frankfurt,FRG
Freiburg,FRG
Fuerth,FRG
Gladbach,FRG
Hamburg,FRG
Hannover,FRG
Hertha,FRG
Holstein,FRG
Ingolstadt,FRG
Karlsruhe,FRG
Koblenz,FRG
Koeln,FRG
Lautern,FRG
Leverkusen,FRG
Luebeck,FRG
Mainz,FRG
Muenchen 60,FRG
Nuernberg,FRG
Oberhausen,FRG
Offenbach,FRG
Osnabrueck,FRG
Regensburg,FRG
Reutlingen,FRG
Saarbruecken,FRG
Schalke,FRG
Schweinfurt,FRG
Siegen,FRG
St Kickers,FRG
St Pauli,FRG
Stuttgart,FRG
TeBe,FRG
Trier,FRG
Ulm,FRG
Unterhaching,FRG
Waldhof,FRG
Werder,FRG
Wolfsburg,FRG
Wuerzburg,FRG
Aue,GDR
Babelsberg,GDR
Chemnitz,GDR
Cottbus,GDR
Dresden,GDR
Erfurt,GDR
Jena,GDR
Magdeburg,GDR
Rostock,GDR
Union Berlin,GDR
Ameri Tbilisi,GEO
Batumi,GEO
Chikhura,GEO
Dila Gori,GEO
Dinamo Tbilisi,GEO
FC Samtredia,GEO
FC Tbilisi,GEO
Gagra,GEO
Lok Tbilisi,GEO
Rustavi,GEO
Saburtalo,GEO
Sioni Bolnisi,GEO
Torpedo Kutaisi,GEO
Tskhinvali,GEO
WIT Georgia,GEO
Zestafoni,GEO
Aachen,GER
Aalen,GER
Ahlen,GER
Aue,GER
Augsburg,GER
Babelsberg,GER
Bayern,GER
Bielefeld,GER
Bochum,GER
Braunschweig,GER
Burghausen,GER
Chemnitz,GER
Cottbus,GER
Darmstadt,GER
Dortmund,GER
Dresden,GER
Duesseldorf,GER
Duisburg,GER
Erfurt,GER
Essen,GER
FSV Frankfurt,GER
Fortuna Koeln,GER
Frankfurt,GER
Freiburg,GER
Fuerth,GER
Gladbach,GER
Hamburg,GER
Hannover,GER
Heidenheim,GER
Hertha,GER
Hoffenheim,GER
Holstein,GER
Ingolstadt,GER
Jena,GER
Karlsruhe,GER
Koblenz,GER
Koeln,GER
Lautern,GER
Leverkusen,GER
Luebeck,GER
Magdeburg,GER
Mainz,GER
Muenchen 60,GER
Nuernberg,GER
Oberhausen,GER
Offenbach,GER
Osnabrueck,GER
Paderborn,GER
RB Leipzig,GER
Regensburg,GER
Reutlingen,GER
Rostock,GER
