match_minute,match_second,position_x,position_y,play_type,BodyPart,Number_Intervening_Opponents,Number_Intervening_Teammates,Interference_on_Shooter,outcome
7,24,3.24,-0.75,Open Play,Head,1,0,Low,Goal
34,55,24.94,0.75,Open Play,Left,3,0,Medium,Missed
60,33,3.74,-0.5,Open Play,Right,1,0,Low,Missed
68,42,21.45,-8.48,Direct freekick,Left,4,2,Low,Blocked
18,0,10.23,4.99,Open Play,Head,1,0,Low,Missed
31,26,24.19,0.75,Open Play,Right,3,1,Medium,Missed
18,57,8.48,14.22,Open Play,Right,1,0,Low,Saved
12,27,22.94,-9.23,Open Play,Right,3,0,Low,Missed
52,50,10.23,8.48,Open Play,Left,3,0,Low,Missed
83,7,21.7,0,Open Play,Right,3,0,Low,Saved
94,27,21.7,-11.47,Open Play,Right,3,0,Medium,Blocked
13,9,13.97,0.25,Open Play,Right,5,2,High,Saved
77,52,5.99,-7.23,Open Play,Right,2,0,High,Missed
17,8,17.46,-10.23,Open Play,Right,1,0,Low,Missed
45,49,6.48,6.98,Open Play,Head,1,0,Medium,Missed
3,0,7.73,4.74,Open Play,Head,1,0,Low,Missed
56,6,14.22,9.98,Open Play,Right,1,0,Low,Missed
87,23,9.23,-10.97,Open Play,Right,1,0,Low,GoalFrame
6,41,11.22,3.99,Open Play,Left,1,0,Medium,Missed
87,4,18.21,6.98,Open Play,Right,4,0,High,Missed
1,38,9.73,-9.73,Open Play,Right,2,0,High,Saved
41,5,14.22,-5.49,Open Play,Right,2,0,Low,GoalFrame
34,35,23.94,-2.49,Open Play,Left,4,3,Low,Blocked
22,41,6.48,-5.24,Open Play,Right,1,0,Low,Missed
18,17,9.23,-2,Open Play,Right,1,0,Low,Goal
12,53,3.74,1.25,Open Play,Left,2,0,Medium,Goal
32,20,3.24,-5.99,Open Play,Left,1,0,,owngoal
69,2,6.98,-3.49,Open Play,Head,2,0,Medium,Goal
52,42,18.95,-9.73,Open Play,Left,2,0,Medium,Blocked
9,50,9.23,4.24,Open Play,Head,6,2,Medium,Missed
10,48,8.23,-2.74,Open Play,Right,2,0,Low,Missed
15,15,6.48,18.7,Open Play,Left,3,0,Medium,Saved
72,39,21.2,5.24,Open Play,Right,2,0,Medium,Saved
68,55,11.47,0.5,Open Play,Other,5,1,High,Missed
20,3,13.72,-1.25,Open Play,Head,6,2,Medium,Blocked
63,16,9.73,-11.47,Open Play,Right,1,0,Low,Blocked
78,8,17.21,12.97,Open Play,Left,3,0,Low,Missed
21,9,19.45,8.98,Open Play,Right,4,1,Medium,Missed
79,20,10.97,5.74,Open Play,Right,2,0,High,Blocked
0,39,13.47,-11.22,Open Play,Right,2,0,High,Blocked
79,0,2,2.74,Open Play,Left,1,0,Low,Goal
83,27,3.49,-3.99,Open Play,Right,0,0,Low,Goal
78,5,22.44,5.24,Open Play,Right,2,0,Medium,Goal
12,22,20.7,-14.96,Open Play,Left,2,0,Medium,Saved
91,15,10.97,13.72,Open Play,Left,3,0,Medium,Blocked
38,27,23.94,-4.49,Open Play,Right,2,1,Low,Missed
66,9,6.98,5.24,Open Play,Right,1,0,Low,Goal
79,59,3.24,-5.49,Open Play,Right,0,0,Low,Goal
20,39,12.72,-2.99,Open Play,Head,2,1,Low,Goal
24,19,11.97,-15.96,Open Play,Right,2,0,Low,Goal
39,39,12.97,0.25,Open Play,Head,2,0,Low,Missed
91,41,22.94,11.22,Open Play,Right,3,1,Low,Missed
23,12,10.47,-7.73,Open Play,Right,1,0,High,Saved
76,13,9.98,13.47,Open Play,Left,1,0,Medium,Saved
15,21,7.23,11.22,Open Play,Head,2,1,Medium,Missed
24,7,14.96,10.23,Open Play,Right,2,0,Low,Blocked
24,35,12.22,6.48,Open Play,Left,5,1,Medium,Blocked
8,53,8.48,-0.75,Open Play,Head,2,0,High,GoalFrame
66,53,10.72,5.49,Open Play,Head,3,0,Low,Missed
25,45,22.44,11.47,Open Play,Left,6,3,Low,Missed
70,25,4.99,4.49,Open Play,Head,3,0,Medium,Missed
31,22,14.71,-8.98,Open Play,Right,5,2,Low,Missed
51,52,11.47,2.24,Open Play,Left,4,3,Low,Saved
62,24,27.18,5.24,Open Play,Right,4,1,Medium,Blocked
45,46,7.73,0.5,Open Play,Right,2,0,Medium,Missed
45,12,17.21,14.71,Open Play,Right,3,1,High,Saved
32,41,7.98,-5.74,Open Play,Head,2,0,High,Missed
51,51,8.98,-16.21,Open Play,Right,2,0,Medium,Saved
9,43,7.73,0.5,Open Play,Head,3,0,High,Missed
93,6,10.72,-13.97,Open Play,Left,3,0,Medium,Goal
55,1,14.71,-10.23,Open Play,Right,1,0,Medium,Saved
51,20,6.48,3.99,Open Play,Head,2,0,High,Saved
61,25,9.98,-5.24,Open Play,Head,3,1,High,Missed
29,28,28.18,-6.24,Open Play,Right,3,1,Medium,Missed
8,48,13.22,-3.24,Open Play,Right,3,1,High,Saved
19,26,17.71,-0.75,Open Play,Right,4,2,Low,Saved
88,56,1.75,8.23,Open Play,Left,2,0,Low,Missed
12,18,16.21,1.25,Open Play,Left,3,0,Medium,Missed
17,41,25.69,6.24,Direct freekick,Left,7,2,Low,Missed
89,57,8.23,4.24,Open Play,Right,2,0,Medium,Missed
73,55,25.19,-4.24,Open Play,Right,3,1,Medium,Blocked
52,24,25.94,-6.24,Open Play,Right,3,0,Medium,Missed
53,30,6.98,8.23,Open Play,Right,1,0,Low,Goal
40,57,25.44,-7.48,Direct freekick,Right,3,0,Low,Missed
37,10,25.44,-4.74,Open Play,Right,4,1,Medium,Missed
9,20,24.94,3.49,Open Play,Left,2,0,Medium,Saved
54,16,21.95,4.24,Open Play,Right,2,0,Medium,Missed
67,24,14.46,-7.23,Open Play,Left,3,0,Medium,Missed
83,29,7.23,1.25,Open Play,Head,1,1,,owngoal
82,5,7.98,2.49,Open Play,Left,2,0,Medium,Missed
56,54,8.98,1.25,Open Play,Head,1,0,Medium,Missed
80,9,7.23,8.23,Open Play,Head,2,0,Medium,Missed
68,44,6.73,-6.98,Open Play,Right,2,0,Medium,Missed
82,4,22.2,4.49,Open Play,Left,4,0,Medium,Blocked
5,56,12.47,-9.98,Open Play,Right,1,0,Medium,Missed
17,27,7.48,17.96,Open Play,Right,2,0,Medium,Missed
6,44,2.74,-7.23,Open Play,Right,1,0,Medium,Goal
19,7,25.19,8.98,Open Play,Left,3,0,Low,Saved
73,11,25.19,5.24,Direct freekick,Right,6,1,Low,Saved
41,41,24.19,9.73,Direct freekick,Right,5,0,Low,Saved
89,58,6.73,-13.22,Open Play,Right,3,0,Medium,Missed
45,4,23.19,15.46,Open Play,Left,2,0,Low,Missed
57,20,13.47,2.24,Open Play,Right,2,0,Medium,Blocked
43,25,12.47,2.99,Open Play,Left,1,0,Medium,Goal
11,32,19.95,2.24,Open Play,Right,4,0,Low,Saved
90,26,28.93,0.25,Open Play,Right,7,2,Low,Blocked
26,35,6.98,-13.22,Open Play,Right,3,0,Medium,Blocked
87,0,28.93,-2.49,Open Play,Right,4,1,Low,Missed
12,37,28.68,-8.48,Direct freekick,Left,7,1,Low,GoalFrame
55,15,0.75,6.73,Open Play,Left,1,0,Medium,Saved
38,32,17.71,-7.98,Open Play,Right,3,0,Medium,Missed
54,11,8.23,-1,Open Play,Head,3,0,High,Missed
52,52,18.45,-1,Open Play,Left,2,0,Medium,Missed
14,56,26.93,2.99,Open Play,Right,4,1,Low,Saved
65,42,19.2,7.73,Open Play,Right,3,0,Medium,Missed
21,39,18.45,15.71,Open Play,Right,3,0,Medium,Missed
17,21,21.45,6.48,Open Play,Left,3,0,Medium,Missed
48,44,18.45,-4.49,Open Play,Right,3,0,Medium,Saved
31,15,22.69,6.73,Open Play,Left,3,1,Low,Saved
19,53,18.7,1.5,Open Play,Right,3,1,Medium,Blocked
31,13,25.44,0.75,Open Play,Right,4,2,High,Blocked
92,14,16.96,1.25,Open Play,Left,1,0,Low,Saved
53,16,11.47,-4.49,Open Play,Head,3,0,Medium,Saved
55,21,24.94,-6.73,Open Play,Right,2,0,Medium,Missed
31,19,2.99,0.75,Open Play,Left,1,0,Low,Goal
81,2,7.73,3.74,Open Play,Left,1,0,Low,Goal
73,43,8.73,1.75,Open Play,Head,3,0,High,Missed
66,49,6.24,10.47,Open Play,Head,4,0,Medium,Missed
25,0,24.69,-9.98,Direct freekick,Left,5,2,Low,Missed
62,43,24.94,-0.5,Open Play,Right,2,0,Medium,Saved
69,7,3.49,6.73,Open Play,Right,1,0,High,Blocked
75,45,4.74,-6.73,Open Play,Left,2,0,Low,Blocked
22,51,8.73,14.96,Open Play,Left,2,0,High,Missed
92,23,26.68,5.24,Open Play,Left,3,1,Medium,Missed
18,48,27.18,-0.5,Open Play,Right,3,0,Medium,Missed
81,31,15.46,-6.24,Open Play,Right,3,1,Low,Missed
10,25,13.22,-14.46,Open Play,Left,3,0,Medium,Missed
20,1,33.92,4.49,Open Play,Right,4,1,Medium,Missed
56,14,21.7,10.23,Open Play,Right,3,0,Medium,Missed
37,50,9.73,-6.98,Open Play,Head,2,0,High,GoalFrame
51,40,11.97,-8.23,Open Play,Left,3,0,Medium,Missed
68,19,22.44,-8.73,Open Play,Right,3,1,High,Missed
61,27,3.24,0.5,Open Play,Head,1,0,Low,Goal
9,11,11.72,7.73,Open Play,Right,1,0,Low,Missed
29,18,8.98,-16.46,Open Play,Right,2,0,Medium,Missed
1,57,31.42,8.98,Open Play,Left,2,0,Medium,Missed
0,9,11.22,5.99,Open Play,Head,3,2,High,Missed
77,54,11.97,14.22,Open Play,Right,2,0,Medium,Missed
36,54,19.7,10.23,Open Play,Left,3,0,Low,Blocked
12,3,10.23,-6.98,Open Play,Left,3,0,High,Blocked
18,46,22.69,5.99,Open Play,Right,3,0,Low,Saved
18,27,6.98,1.75,Open Play,Left,1,0,Medium,Missed
27,27,13.47,7.73,Open Play,Right,1,0,Medium,Saved
7,5,9.73,-13.47,Open Play,Right,1,0,Medium,Saved
71,6,21.2,-9.23,Open Play,Left,3,0,Medium,Saved
40,32,21.7,-11.22,Open Play,Left,4,1,Low,Missed
16,56,17.46,-0.75,Open Play,Left,2,0,Medium,Missed
11,53,13.72,-3.74,Open Play,Right,2,0,Medium,Saved
73,4,18.7,11.47,Open Play,Right,2,1,Medium,Missed
87,23,9.48,7.23,Open Play,Right,1,0,Low,Saved
56,27,8.73,-4.74,Open Play,Head,2,0,Low,Missed
31,23,7.73,2,Open Play,Head,2,0,Medium,Missed
79,49,14.46,9.23,Open Play,Right,4,1,Low,Saved
23,40,20.7,-4.99,Direct freekick,Left,7,3,Low,Blocked
35,54,1,2.49,Open Play,Left,0,0,Low,Goal
28,10,8.48,11.47,Open Play,Right,3,0,Medium,Saved
94,14,7.23,-18.21,Open Play,Right,1,0,Medium,Blocked
26,48,8.73,14.71,Open Play,Left,2,0,Medium,Saved
10,30,8.73,-4.24,Open Play,Right,2,0,Medium,Blocked
76,4,19.95,5.49,Direct freekick,Right,8,1,Low,Blocked
91,43,15.46,-9.23,Open Play,Left,3,1,Low,Missed
72,24,13.97,-1.5,Open Play,Left,2,0,Medium,Blocked
79,51,9.73,5.99,Open Play,Left,4,1,High,Blocked
25,46,13.22,-4.49,Open Play,Left,3,0,Medium,Blocked
32,29,2.99,7.73,Open Play,Left,1,0,Low,Missed
69,7,24.94,11.72,Open Play,Right,1,0,Low,Missed
39,56,11.22,4.24,Open Play,Head,2,0,Medium,Missed
47,18,4.49,3.24,Open Play,Left,3,0,High,Goal
67,26,8.23,6.24,Open Play,Head,3,0,Low,Goal
6,0,9.73,7.48,Open Play,Left,2,0,Medium,Missed
68,46,12.47,8.23,Open Play,Right,3,0,Medium,Missed
51,3,21.7,5.49,Open Play,Right,6,1,Medium,Missed
35,5,27.68,3.24,Open Play,Right,3,1,Low,Missed
83,5,24.94,-4.24,Open Play,Left,3,1,Low,Missed
69,6,18.7,9.48,Open Play,Right,2,0,Medium,Saved
45,43,11.72,-13.22,Open Play,Right,2,0,Medium,Missed
16,14,8.73,-3.24,Open Play,Head,1,0,Low,Missed
70,7,30.43,4.24,Direct freekick,Right,6,1,Low,Missed
81,38,7.73,4.99,Open Play,Left,2,0,High,Missed
50,54,10.47,13.97,Open Play,Left,3,0,High,Missed
86,13,20.7,3.49,Open Play,Right,7,2,Low,Blocked
8,2,7.48,11.22,Open Play,Left,3,0,Medium,Missed
43,6,14.71,2.49,Open Play,Right,2,0,Low,Saved
78,52,18.7,0.25,Open Play,Left,2,0,Medium,Missed
65,2,10.97,0,Penalty,Right,1,0,Low,Saved
61,2,8.98,-2.49,Open Play,Head,2,0,High,Missed
26,37,10.97,0,Open Play,Right,1,0,Medium,Goal
41,57,9.73,-10.47,Open Play,Right,2,0,High,Missed
4,41,8.48,4.24,Open Play,Right,2,0,Medium,Missed
74,22,23.44,14.22,Open Play,Right,3,2,Low,Missed
52,11,26.68,-8.73,Open Play,Right,3,1,Low,Missed
8,52,8.23,-1,Open Play,Head,2,1,Medium,Missed
45,55,7.98,-2.74,Open Play,Head,1,0,Low,Saved
83,36,14.22,-5.24,Open Play,Right,2,0,Medium,Goal
26,4,8.73,3.74,Open Play,Left,2,0,Low,Goal
8,46,22.69,-3.49,Open Play,Right,3,0,Medium,Goal
27,16,10.72,9.48,Open Play,Right,5,2,Low,Missed
92,16,22.94,11.72,Open Play,Right,3,1,Low,Missed
88,35,13.97,-17.71,Open Play,Right,2,0,Low,Blocked
