Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles.Tkl,Tackles.TklW,Tackles.Def 3rd,Tackles.Mid 3rd,Tackles.Att 3rd,Vs Dribbles.Tkl,Vs Dribbles.Att,Vs Dribbles.Tkl%,Vs Dribbles.Past,Pressures.Press,Pressures.Succ,Pressures.%,Pressures.Def 3rd,Pressures.Mid 3rd,Pressures.Att 3rd,Blocks.Blocks,Blocks.Sh,Blocks.ShSv,Blocks.Pass,Int,Clr,Err
96,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,7.1,0.99,0.14,0.85,0.14,0.00,0.70,0.85,83.3,0.14,3.24,1.27,39.1,2.82,0.42,0.00,1.55,0.56,0.00,0.99,0.99,7.18,0.00
97,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,20,1998,3.1,2.58,1.29,1.29,1.29,0.00,1.61,2.58,62.5,0.97,13.2,3.23,24.4,8.39,4.19,0.65,2.90,1.29,0.00,1.61,0.97,4.84,0.00
98,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,7.0,1.86,0.86,0.71,1.00,0.14,0.29,1.29,22.2,1.00,16.3,4.29,26.3,7.71,7.14,1.43,3.14,1.00,0.00,2.14,1.43,4.43,0.14
99,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,15.2,1.64,0.79,0.53,0.79,0.33,0.26,1.84,14.3,1.58,20.0,4.67,23.4,6.64,10.3,3.03,1.84,0.20,0.00,1.64,1.71,1.18,0.07
100,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,21,1998,1.4,0.71,0.71,0.00,0.71,0.00,0.00,1.43,0.0,1.43,17.9,5.71,32.0,0.00,7.86,10.0,0.71,0.71,0.00,0.00,0.00,0.71,0.00
101,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,17.2,1.10,0.64,0.52,0.58,0.00,0.47,1.22,38.1,0.76,7.44,2.91,39.1,4.24,2.91,0.29,2.09,1.22,0.00,0.87,1.28,6.63,0.00
102,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,24.0,1.33,0.79,0.29,0.67,0.38,0.42,2.21,18.9,1.79,18.4,5.33,29.0,2.88,7.79,7.75,1.17,0.08,0.00,1.08,0.54,0.71,0.00
103,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,16.7,1.08,0.78,0.06,0.66,0.36,0.48,1.38,34.8,0.90,19.1,4.61,24.1,2.22,9.22,7.66,0.84,0.12,0.00,0.72,0.60,1.14,0.00
104,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,13.2,2.20,0.83,0.83,0.83,0.53,0.83,2.42,34.4,1.59,14.3,4.17,29.1,5.76,6.59,1.97,1.67,0.45,0.00,1.21,1.21,1.44,0.08
105,Leander Dendoncker\Leander-Dendoncker,be BEL,DFMF,Wolves,24,1995,25.3,2.33,1.38,1.42,0.63,0.28,0.79,2.02,39.2,1.23,19.0,5.34,28.1,8.26,8.54,2.17,1.62,0.47,0.00,1.15,1.34,3.56,0.08
106,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,25,1994,23.4,1.24,0.90,0.64,0.34,0.26,0.56,2.82,19.7,2.26,21.8,5.68,26.0,4.83,8.89,8.12,0.68,0.00,0.00,0.68,1.03,0.26,0.00
107,Eric Dier\Eric-Dier,eng ENG,MFDF,Tottenham,25,1994,9.9,2.32,1.31,1.11,1.01,0.20,0.61,2.02,30.0,1.41,16.5,4.24,25.8,6.67,8.18,1.62,1.92,0.81,0.00,1.11,0.91,5.05,0.00
108,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,24.9,2.61,1.00,1.69,0.68,0.24,1.04,2.13,49.1,1.08,15.0,3.78,25.2,6.99,5.06,2.93,1.65,0.20,0.00,1.45,1.41,3.98,0.04
109,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,29.0,0.97,0.66,0.66,0.28,0.03,0.21,0.48,42.9,0.28,3.72,1.34,36.1,2.45,0.97,0.31,0.86,0.41,0.00,0.45,0.90,7.45,0.03
110,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,21.7,1.34,0.65,0.97,0.37,0.00,0.60,1.24,48.1,0.65,9.03,2.81,31.1,5.81,2.95,0.28,1.89,0.88,0.00,1.01,1.71,6.64,0.14
111,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,10.3,2.82,1.75,1.75,0.58,0.49,0.78,2.23,34.8,1.46,25.7,7.67,29.8,6.50,11.7,7.57,2.33,0.19,0.00,2.14,0.97,1.17,0.00
112,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,23.9,1.97,0.88,1.17,0.67,0.13,0.75,1.59,47.4,0.84,12.2,3.47,28.5,5.77,4.44,1.97,1.88,0.21,0.00,1.67,1.34,2.59,0.04
113,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,27.2,2.32,1.62,1.03,1.03,0.26,0.51,1.95,26.4,1.43,27.9,6.80,24.3,8.13,13.9,5.92,1.58,0.15,0.00,1.43,0.92,1.32,0.00
114,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,0.7,2.86,2.86,1.43,1.43,0.00,0.00,1.43,0.0,1.43,32.9,7.14,21.7,14.3,14.3,4.29,1.43,0.00,0.00,1.43,1.43,0.00,0.00
115,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,3.10,1.72,2.07,0.69,0.34,0.34,4.48,7.7,4.14,36.6,7.59,20.8,12.4,20.0,4.14,1.03,0.00,0.00,1.03,1.72,1.38,0.34
116,Josip Drmić\Josip-Drmic,ch SUI,FWMF,Norwich City,26,1992,2.4,1.25,0.83,0.83,0.00,0.42,0.42,2.92,14.3,2.50,27.9,7.92,28.4,6.25,8.75,12.9,1.67,0.00,0.00,1.67,0.00,0.83,0.00
117,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,29.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.0,0.03,0.28,0.00,0.0,0.28,0.00,0.00,0.07,0.00,0.00,0.07,0.03,0.03,0.10
118,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,24,1994,6.5,2.46,1.85,1.23,0.77,0.46,1.08,2.77,38.9,1.69,25.1,6.46,25.8,6.00,14.5,4.62,2.31,0.31,0.00,2.00,0.77,1.08,0.00
119,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,11.9,1.18,0.67,0.76,0.34,0.08,0.34,1.51,22.2,1.18,7.82,2.77,35.5,5.63,2.02,0.17,1.43,0.59,0.00,0.84,1.68,8.66,0.00
120,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,13.7,2.04,0.44,1.31,0.44,0.29,0.88,1.46,60.0,0.58,11.9,2.92,24.5,7.08,4.23,0.58,3.07,0.73,0.00,2.34,1.39,5.26,0.00
121,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,27.0,1.19,0.85,0.78,0.41,0.00,0.33,1.11,30.0,0.78,7.07,3.07,43.5,4.56,2.11,0.41,1.96,0.89,0.07,1.07,1.59,4.33,0.04
122,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,24.1,0.04,0.04,0.04,0.00,0.00,0.04,0.08,50.0,0.04,0.17,0.00,0.0,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.04,0.12
123,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,26.9,1.41,0.86,1.04,0.37,0.00,0.59,1.23,48.5,0.63,8.62,3.05,35.3,5.95,2.45,0.22,1.97,1.00,0.00,0.97,1.56,7.62,0.15
124,Harvey Elliot\Harvey-Elliot,eng ENG,FW,Liverpool,,,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0
125,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,31,1987,8.5,2.35,1.53,1.76,0.47,0.12,0.94,1.88,50.0,0.94,9.53,2.47,25.9,5.65,2.82,1.06,1.18,0.59,0.00,0.59,1.18,3.18,0.00
126,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,24,1994,16.1,0.56,0.25,0.43,0.12,0.00,0.31,0.68,45.5,0.37,5.03,1.80,35.8,3.35,1.61,0.06,1.61,1.18,0.00,0.43,1.80,6.89,0.12
127,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,27,1992,12.1,1.57,0.99,0.99,0.50,0.08,0.41,1.90,21.7,1.49,21.5,4.55,21.2,6.86,10.4,4.21,1.57,0.08,0.00,1.49,0.91,0.91,0.00
128,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,28.6,1.26,0.84,0.87,0.38,0.00,0.73,1.19,61.8,0.45,7.03,2.83,40.3,4.83,1.64,0.56,1.57,0.63,0.00,0.94,1.40,7.55,0.10
129,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,14.5,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.0,0.21,0.69,0.14,20.0,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.14,0.14
130,Fabinho\Fabinho,br BRA,MF,Liverpool,25,1993,16.0,3.31,2.19,1.19,1.50,0.63,1.19,3.25,36.5,2.06,20.6,6.31,30.6,7.25,10.6,2.75,1.75,0.06,0.00,1.69,1.56,1.88,0.00
131,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
132,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,28,1991,17.0,2.65,1.35,1.88,0.59,0.18,0.94,2.94,32.0,2.00,17.6,4.35,24.7,9.82,6.18,1.65,1.35,0.06,0.00,1.29,1.65,2.94,0.06
133,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,24,1994,5.0,1.60,1.00,0.60,0.40,0.60,0.40,3.20,12.5,2.80,24.4,5.40,22.1,5.00,12.8,6.60,1.40,0.00,0.00,1.40,0.80,1.40,0.00
134,Gedson Fernandes\Gedson-Fernandes,pt POR,MFDF,Tottenham,20,1999,0.4,2.50,2.50,2.50,0.00,0.00,0.00,0.00,,0.00,32.5,10.0,30.8,17.5,12.5,2.50,2.50,0.00,0.00,2.50,0.00,0.00,0.00
135,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,30,1989,20.1,2.24,1.34,1.79,0.40,0.05,1.19,2.29,52.2,1.09,9.60,2.79,29.0,6.87,2.14,0.60,2.04,0.90,0.00,1.14,0.65,7.51,0.00
136,Fernandinho\Fernandinho,br BRA,DF,Manchester City,34,1985,22.2,1.67,0.90,1.17,0.50,0.00,0.77,1.71,44.7,0.95,7.66,3.11,40.6,3.87,3.20,0.59,1.35,0.59,0.00,0.77,0.99,4.01,0.05
137,Roberto Firmino\Roberto-Firmino,br BRA,FWMF,Liverpool,27,1991,26.9,1.08,0.78,0.22,0.45,0.41,0.37,1.08,34.5,0.71,22.3,6.62,29.7,1.86,10.1,10.3,1.45,0.19,0.00,1.26,0.19,0.59,0.00
138,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,27,1991,24.3,1.36,0.86,0.62,0.49,0.25,0.62,2.51,24.6,1.89,19.8,5.14,26.0,5.31,10.3,4.16,1.73,0.12,0.00,1.60,0.82,0.91,0.00
139,Phil Foden\Phil-Foden,eng ENG,MFFW,Manchester City,19,2000,3.9,2.82,1.28,0.77,1.79,0.26,1.28,2.82,45.5,1.54,43.6,11.3,25.9,6.67,20.8,16.2,1.79,0.00,0.00,1.79,0.51,0.26,0.00
140,Pablo Fornals\Pablo-Fornals,es ESP,MF,West Ham,23,1996,16.3,1.96,1.29,0.86,0.86,0.25,0.86,2.94,29.2,2.09,29.0,6.69,23.1,7.18,13.5,8.28,2.27,0.06,0.00,2.21,0.92,0.49,0.00
141,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,29.0,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.0,0.10,0.28,0.00,0.0,0.28,0.00,0.00,0.03,0.00,0.00,0.03,0.00,0.03,0.03
142,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFDF,Watford,26,1993,0.6,1.67,1.67,1.67,0.00,0.00,0.00,1.67,0.0,1.67,30.0,10.0,33.3,10.0,15.0,5.00,3.33,0.00,0.00,3.33,3.33,1.67,0.00
143,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,21,1998,0.7,10.0,5.71,7.14,1.43,1.43,2.86,4.29,66.7,1.43,20.0,7.14,35.7,14.3,5.71,0.00,2.86,0.00,0.00,2.86,2.86,5.71,0.00
144,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,34,1985,10.7,1.59,1.12,1.21,0.37,0.00,1.03,2.34,44.0,1.31,10.0,2.71,27.1,6.64,2.24,1.12,2.71,1.31,0.00,1.40,1.87,8.50,0.19
145,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,25,1994,22.9,0.39,0.35,0.13,0.13,0.13,0.17,0.74,23.5,0.57,13.0,2.84,21.8,3.45,5.33,4.24,1.22,0.13,0.09,1.09,0.70,0.79,0.00
146,Fred\Fred,br BRA,MF,Manchester Utd,26,1993,22.5,3.20,2.09,1.60,1.38,0.22,1.16,4.18,27.7,3.02,30.2,8.36,27.6,12.3,14.0,3.87,2.76,0.31,0.00,2.44,1.60,1.11,0.00
147,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,26,1992,18.8,3.56,1.86,2.55,0.59,0.43,1.44,2.93,49.1,1.49,13.8,4.10,29.6,8.09,3.88,1.86,1.76,0.43,0.05,1.33,0.96,3.51,0.00
148,Luke Freeman\Luke-Freeman,eng ENG,MF,Sheffield Utd,27,1992,3.6,1.39,1.11,0.28,0.56,0.56,0.56,2.50,22.2,1.94,25.0,6.39,25.6,8.33,10.6,6.11,2.50,0.00,0.00,2.50,2.22,1.67,0.00
149,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,33,1986,7.0,1.86,1.29,1.00,0.86,0.00,1.14,2.71,42.1,1.57,17.0,5.57,32.8,10.3,6.14,0.57,3.86,0.43,0.00,3.43,1.86,5.29,0.00
150,Eric García\Eric-Garcia,es ESP,DF,Manchester City,18,2001,3.0,2.00,0.67,1.33,0.67,0.00,1.00,1.00,100.0,0.00,9.33,2.67,28.6,6.00,3.33,0.00,2.33,0.00,0.00,2.33,1.67,6.67,0.00
151,James Garner\James-Garner,eng ENG,MF,Manchester Utd,18,2001,0.1,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.0,10.0,20.0,0.00,0.0,0.00,20.0,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00
152,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,28,1990,4.2,1.19,1.19,0.00,1.19,0.00,0.24,0.48,50.0,0.24,12.9,4.29,33.3,1.67,5.95,5.24,0.95,0.00,0.00,0.95,0.24,0.48,0.00
153,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,17.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.06,0.00,0.0,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
154,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Everton,23,1995,1.5,3.33,2.67,1.33,0.67,1.33,0.67,2.67,25.0,2.00,19.3,8.67,44.8,8.67,7.33,3.33,1.33,0.00,0.00,1.33,0.67,4.00,0.00
155,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,29.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.03,0.00,0.0,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.07
156,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FWMF,Aston Villa,24,1995,18.7,0.80,0.48,0.48,0.27,0.05,0.27,0.91,29.4,0.64,15.9,3.53,22.2,2.99,7.22,5.67,0.86,0.05,0.00,0.80,0.48,0.43,0.00
157,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MFFW,Wolves,19,2000,1.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,16.4,5.00,30.4,3.57,8.57,4.29,1.43,0.00,0.00,1.43,0.71,0.00,0.00
158,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,18,2001,1.1,1.82,1.82,0.91,0.91,0.00,0.91,1.82,50.0,0.91,13.6,5.45,40.0,4.55,8.18,0.91,1.82,0.00,0.00,1.82,0.91,0.00,0.00
159,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,32,1986,4.9,0.20,0.20,0.00,0.20,0.00,0.00,1.02,0.0,1.02,21.4,6.94,32.4,1.02,11.2,9.18,1.63,1.02,0.00,0.61,0.20,1.02,0.00
160,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Norwich City,21,1998,20.4,1.13,0.74,0.98,0.10,0.05,0.39,0.93,42.1,0.54,7.65,2.75,35.9,5.39,2.11,0.15,1.67,1.08,0.00,0.59,0.88,5.88,0.15
161,André Gomes\Andre-Gomes,pt POR,MF,Everton,26,1993,8.8,2.16,1.59,0.80,1.02,0.34,0.57,4.09,13.9,3.52,22.7,6.25,27.5,6.25,13.2,3.30,1.36,0.00,0.00,1.36,0.34,0.80,0.00
162,Angel Gomes\Angel-Gomes,eng ENG,MF,Manchester Utd,18,2000,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,55.0,5.00,9.1,30.0,20.0,5.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00
163,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,22,1997,14.2,1.41,0.85,0.92,0.49,0.00,0.49,0.99,50.0,0.49,7.18,2.75,38.2,4.65,2.39,0.14,1.27,0.42,0.00,0.85,1.55,4.30,0.07
164,Anthony Gordon\Anthony-Gordon,eng ENG,MFFW,Everton,18,2001,0.7,1.43,0.00,1.43,0.00,0.00,1.43,4.29,33.3,2.86,42.9,7.14,16.7,11.4,22.9,8.57,2.86,0.00,0.00,2.86,2.86,0.00,0.00
165,Dan Gosling\Dan-Gosling,eng ENG,MF,Bournemouth,29,1990,9.8,2.04,1.43,1.43,0.31,0.31,0.51,2.04,25.0,1.53,23.5,5.92,25.2,8.37,10.2,4.90,2.65,0.71,0.00,1.94,1.22,2.35,0.00
166,Andre Gray\Andre-Gray,eng ENG,FW,Watford,28,1991,8.0,0.63,0.63,0.00,0.13,0.50,0.13,0.13,100.0,0.00,19.4,5.38,27.7,1.63,7.38,10.4,0.38,0.13,0.00,0.25,0.13,0.25,0.00
167,Demarai Gray\Demarai-Gray,eng ENG,MFFW,Leicester City,23,1996,4.6,1.52,0.87,1.30,0.22,0.00,0.43,1.96,22.2,1.52,22.8,6.30,27.6,5.65,11.3,5.87,1.96,0.00,0.00,1.96,0.87,0.22,0.00
168,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,23,1995,25.9,1.12,0.89,0.42,0.39,0.31,0.19,0.93,20.8,0.73,17.5,4.52,25.8,4.83,7.14,5.52,1.78,0.42,0.00,1.35,0.62,0.39,0.04
169,Mason Greenwood\Mason-Greenwood,eng ENG,FWMF,Manchester Utd,17,2001,7.2,1.67,1.25,0.56,0.42,0.69,0.42,1.39,30.0,0.97,17.5,5.69,32.5,3.47,7.78,6.25,1.11,0.00,0.00,1.11,0.42,0.28,0.00
170,Arnaut Groeneveld\Arnaut-Groeneveld,nl NED,MF,Bournemouth,22,1997,4.5,0.44,0.22,0.00,0.44,0.00,0.22,1.33,16.7,1.11,12.9,5.11,39.7,4.22,4.89,3.78,0.22,0.00,0.00,0.22,1.56,1.33,0.00
171,Pascal Groß\Pascal-Gross,de GER,MFFW,Brighton,28,1991,16.6,1.57,0.96,0.24,0.90,0.42,0.42,1.57,26.9,1.14,19.6,5.30,27.1,3.98,9.40,6.20,1.27,0.06,0.00,1.20,0.30,0.54,0.00
172,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,27.0,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.0,0.04,0.07,0.04,50.0,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
173,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Arsenal,20,1999,17.7,1.30,0.68,0.62,0.45,0.23,0.56,1.98,28.6,1.41,20.8,5.82,28.0,8.70,9.38,2.71,2.15,0.34,0.00,1.81,1.53,2.54,0.00
174,Frederic Guilbert\Frederic-Guilbert,fr FRA,DF,Aston Villa,24,1994,21.1,3.65,1.80,2.27,1.00,0.38,1.56,3.41,45.8,1.85,18.9,5.21,27.6,10.3,6.11,2.42,2.94,0.62,0.00,2.32,2.09,4.03,0.05
175,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,28,1990,17.7,1.13,0.79,0.17,0.56,0.40,0.34,2.20,15.4,1.86,12.2,3.50,28.7,2.99,6.61,2.60,1.24,0.23,0.00,1.02,1.58,0.68,0.00
176,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.0,0.10,0.30,0.10,33.3,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
177,Sébastien Haller\Sebastien-Haller,fr FRA,FW,West Ham,25,1994,23.9,0.71,0.59,0.29,0.33,0.08,0.13,1.13,11.1,1.00,23.3,4.94,21.1,1.67,12.5,9.21,1.42,0.29,0.00,1.13,0.33,0.92,0.04
178,Grant Hanley\Grant-Hanley,sco SCO,DF,Norwich City,27,1991,14.0,1.93,1.21,1.14,0.79,0.00,0.79,1.36,57.9,0.57,10.2,3.57,35.0,6.93,3.07,0.21,2.43,1.43,0.00,1.00,2.14,7.36,0.07
179,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,24,1995,11.0,2.09,1.64,1.82,0.09,0.18,0.91,1.73,52.6,0.82,12.5,4.91,39.4,7.91,3.64,0.91,3.27,1.64,0.09,1.64,1.18,6.55,0.36
180,Isaac Hayden\Isaac-Hayden,eng ENG,MF,Newcastle Utd,24,1995,21.9,2.42,1.46,1.28,0.82,0.32,0.50,2.01,25.0,1.51,19.5,4.75,24.4,8.90,8.04,2.51,1.55,0.37,0.00,1.19,1.51,1.32,0.05
181,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,19.9,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.0,0.10,0.15,0.00,0.0,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00
182,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,27.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.04,0.00,0.00,0.04,0.00,0.04,0.00
183,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,29,1990,21.0,2.71,1.67,0.95,1.38,0.38,1.05,2.62,40.0,1.57,22.6,7.33,32.5,5.95,12.1,4.52,1.52,0.14,0.00,1.38,1.10,1.24,0.00
184,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Burnley,27,1992,21.5,0.84,0.47,0.33,0.33,0.19,0.09,1.40,6.7,1.30,16.4,3.21,19.5,3.86,8.05,4.51,1.63,0.33,0.00,1.30,0.88,0.93,0.00
185,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,32,1987,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
186,Javier Hernández\Javier-Hernandez,mx MEX,FW,West Ham,31,1988,1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.0,0.83,21.7,5.00,23.1,0.00,5.83,15.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00
187,Onel Hernández\Onel-Hernandez,cu CUB,FWMF,Norwich City,26,1993,8.4,2.98,2.26,1.19,0.83,0.95,0.83,1.55,53.8,0.71,16.7,6.43,38.6,6.55,5.83,4.29,1.55,0.12,0.12,1.43,1.19,0.71,0.00
188,Son Heung-min\Son-Heung-min,kr KOR,FW,Tottenham,27,1992,19.4,1.29,0.82,0.57,0.62,0.10,0.46,2.68,17.3,2.22,21.5,5.26,24.5,4.95,9.69,6.86,0.72,0.00,0.00,0.72,0.52,0.72,0.00
189,Rob Holding\Rob-Holding,eng ENG,DFFW,Arsenal,23,1995,1.0,3.00,2.00,2.00,1.00,0.00,0.00,1.00,0.0,1.00,16.0,7.00,43.8,13.0,3.00,0.00,3.00,0.00,0.00,3.00,3.00,2.00,0.00
190,José Holebas\Jose-Holebas,gr GRE,DF,Watford,35,1984,11.2,2.14,0.98,1.70,0.45,0.00,0.54,2.14,25.0,1.61,15.5,5.27,33.9,8.04,5.54,1.96,2.05,0.27,0.00,1.79,0.18,3.48,0.00
191,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,22,1996,19.2,2.24,1.20,1.56,0.68,0.00,0.89,1.67,53.1,0.78,10.9,3.70,34.0,6.56,3.70,0.63,1.30,0.68,0.05,0.63,1.20,6.35,0.00
192,Nathan Holland\Nathan-Holland,eng ENG,MF,West Ham,21,1998,0.3,3.33,0.00,3.33,0.00,0.00,0.00,0.00,,0.00,43.3,13.3,30.8,16.7,13.3,13.3,3.33,0.00,0.00,3.33,0.00,0.00,0.00
193,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,28,1991,10.5,1.43,0.86,0.19,0.95,0.29,0.67,1.81,36.8,1.14,15.1,2.67,17.6,4.57,6.57,4.00,1.52,0.29,0.00,1.24,0.67,1.43,0.00
194,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FW,Chelsea,18,2000,8.6,0.81,0.47,0.47,0.23,0.12,0.12,1.16,10.0,1.05,12.8,2.79,21.8,2.21,6.51,4.07,1.51,0.00,0.00,1.51,0.12,0.70,0.00
195,Will Hughes\Will-Hughes,eng ENG,MF,Watford,24,1995,16.8,3.21,1.79,1.25,1.37,0.60,1.19,4.17,28.6,2.98,28.6,6.85,23.9,8.45,13.7,6.49,2.86,0.36,0.00,2.50,1.31,1.19,0.00
196,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,23,1995,27.2,2.83,1.80,1.29,1.36,0.18,1.07,3.27,32.6,2.21,21.7,7.17,33.1,7.06,11.6,3.01,2.21,0.18,0.00,2.02,1.43,2.79,0.07
197,Jordon Ibe\Jordon-Ibe,eng ENG,DF,Bournemouth,23,1995,0.5,6.00,6.00,6.00,0.00,0.00,0.00,0.00,,0.00,22.0,6.00,27.3,10.0,10.0,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
198,Adam Idah\Adam-Idah,ie IRL,FW,Norwich City,18,2001,0.8,3.75,3.75,2.50,1.25,0.00,1.25,1.25,100.0,0.00,12.5,5.00,40.0,3.75,7.50,1.25,1.25,0.00,0.00,1.25,0.00,1.25,0.00
199,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,30,1989,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,23.3,3.33,14.3,6.67,6.67,10.0,3.33,3.33,0.00,0.00,0.00,0.00,0.00
