club_name,player_name,age,position,club_involved_name,fee,transfer_movement,fee_cleaned,league_name,year,season
Cardiff City,David Hughes,23,Left-Back,Shrewsbury,£630k,in,0.63,Championship,2000,2000/2001
Cardiff City,Rhys Weston,20,Right-Back,Arsenal,£405k,in,0.405,Championship,2000,2000/2001
Cardiff City,Gavin Gordon,21,Centre-Forward,Lincoln City,£360k,in,0.36,Championship,2000,2000/2001
Cardiff City,Danny Gabbidon,21,Centre-Back,West Brom,£234k,in,0.234,Championship,2000,2000/2001
Cardiff City,Andy Thompson,32,Defender,Tranmere Rovers,Free Transfer,in,0,Championship,2000,2000/2001
Cardiff City,Kyle Lightbourne,32,Forward,Stoke City,Loan,in,0,Championship,2000,2000/2001
Cardiff City,Mark Walton,31,Goalkeeper,Brighton,Free Transfer,in,0,Championship,2000,2000/2001
Cardiff City,James Harper,20,Central Midfield,Arsenal,Loan,in,0,Championship,2000,2000/2001
Cardiff City,Paul Brayson,22,Forward,Reading,Free Transfer,in,0,Championship,2000,2000/2001
Cardiff City,Ian Feuer,29,Goalkeeper,Colorado,Free Transfer,in,0,Championship,2000,2000/2001
Cardiff City,Andy Jordan,20,Defender,Bristol City,£33k,in,0.033,Championship,2000,2000/2001
Cardiff City,Scott McCulloch,24,Left-Back,Dundee United,?,in,NA,Championship,2000,2000/2001
Cardiff City,David Greene,26,Defender,Colchester Utd.,?,in,NA,Championship,2000,2000/2001
Cardiff City,Gethin Jones,18,Centre-Back,Cardiff U18,-,in,0,Championship,2000,2000/2001
Cardiff City,Christian Roberts,20,Centre-Forward,Exeter City,Free Transfer,out,0,Championship,2000,2000/2001
Cardiff City,Jon Hallworth,35,Goalkeeper,Newport County,Free Transfer,out,0,Championship,2000,2000/2001
Cardiff City,Russell Perrett,27,Centre-Back,Luton Town,Free Transfer,out,0,Championship,2000,2000/2001
Cardiff City,Ian Feuer,29,Goalkeeper,West Ham,Free Transfer,out,0,Championship,2000,2000/2001
Cardiff City,Richard Carpenter,27,Central Midfield,Brighton,Free Transfer,out,0,Championship,2000,2000/2001
Cardiff City,David Greene,27,Defender,Cambridge Utd.,?,out,NA,Championship,2000,2000/2001
Cardiff City,Winston Faerber,29,Right-Back,FC Den Bosch,?,out,NA,Championship,2000,2000/2001
Cardiff City,Jörn Schwinkendorf,29,Centre-Back,VfL Osnabrück,?,out,NA,Championship,2000,2000/2001
Cardiff City,James Harper,20,Central Midfield,Arsenal,"End of loanJan 25, 2001",out,0,Championship,2000,2000/2001
Cardiff City,Kyle Lightbourne,32,Forward,Stoke City,"End of loanMar 1, 2001",out,0,Championship,2000,2000/2001
Fulham FC,Alain Goma,28,Centre-Back,Newcastle,£5.40m,in,5.4,Championship,2000,2000/2001
Fulham FC,Louis Saha,21,Centre-Forward,FC Metz,£2.84m,in,2.84,Championship,2000,2000/2001
Fulham FC,Andrejs Stolcers,26,Attacking Midfield,Shakhtar D.,£2.70m,in,2.7,Championship,2000,2000/2001
Fulham FC,John Collins,32,Left Midfield,Everton,£2.48m,in,2.48,Championship,2000,2000/2001
Fulham FC,Bjarne Goldbaek,32,Central Midfield,Chelsea,£878k,in,0.878,Championship,2000,2000/2001
Fulham FC,Kieran McAnespie,20,Left-Back,St. Johnstone,£108k,in,0.108,Championship,2000,2000/2001
Fulham FC,Fabrice Fernandes,20,Left Winger,Stade Rennais,Loan,in,0,Championship,2000,2000/2001
Fulham FC,Luís Boa Morte,22,Left Midfield,Southampton,Loan,in,0,Championship,2000,2000/2001
Fulham FC,Nicolas Sahnoun,20,Defensive Midfield,G. Bordeaux,Loan,in,0,Championship,2000,2000/2001
Fulham FC,Glyn Thompson,19,Goalkeeper,Shrewsbury,"End of loanFeb 1, 2001",in,0,Championship,2000,2000/2001
Fulham FC,Luke Cornwall,20,Centre-Forward,Grimsby Town,"End of loanMay 8, 2001",in,0,Championship,2000,2000/2001
Fulham FC,Calum Willock,18,Centre-Forward,Fulham U18,-,in,0,Championship,2000,2000/2001
Fulham FC,Kieran McAnespie,21,Left-Back,Heart of Midl.,"End of loanMay 1, 2001",in,0,Championship,2000,2000/2001
Fulham FC,Elvis Hammond,19,Centre-Forward,Fulham U18,-,in,0,Championship,2000,2000/2001
Fulham FC,Paul Peschisolido,29,Centre-Forward,Sheffield Utd.,"End of loanMar 1, 2001",in,0,Championship,2000,2000/2001
Fulham FC,Paul Peschisolido,29,Centre-Forward,Norwich,"End of loanMay 1, 2001",in,0,Championship,2000,2000/2001
Fulham FC,Geoff Horsfield,26,Centre-Forward,Birmingham,£3.04m,out,3.04,Championship,2000,2000/2001
Fulham FC,Dirk Lehmann,28,Attacking Midfield,Hibernian FC,Free Transfer,out,0,Championship,2000,2000/2001
Fulham FC,André Arendse,33,Goalkeeper,Oxford United,Free Transfer,out,0,Championship,2000,2000/2001
Fulham FC,Paul Peschisolido,29,Centre-Forward,Sheffield Utd.,Loan,out,0,Championship,2000,2000/2001
Fulham FC,Paul Peschisolido,29,Centre-Forward,Norwich,Loan,out,0,Championship,2000,2000/2001
Fulham FC,Shaun Maher,22,Centre-Back,Bohemians,Free Transfer,out,0,Championship,2000,2000/2001
Fulham FC,Glyn Thompson,19,Goalkeeper,Shrewsbury,Loan,out,0,Championship,2000,2000/2001
Fulham FC,Paul Brooker,23,Attacking Midfield,Brighton,£34k,out,0.034,Championship,2000,2000/2001
Fulham FC,Steve McAnespie,28,Right-Back,Cambridge Utd.,?,out,NA,Championship,2000,2000/2001
Fulham FC,Steven Hayward,29,Midfielder,Barnsley FC,?,out,NA,Championship,2000,2000/2001
Fulham FC,Kevin Ball,35,Midfielder,Burnley,?,out,NA,Championship,2000,2000/2001
Fulham FC,Kieran McAnespie,21,Left-Back,Heart of Midl.,Loan,out,0,Championship,2000,2000/2001
Fulham FC,Guus Uhlenbeek,29,Right-Back,Sheffield Utd.,?,out,NA,Championship,2000,2000/2001
Fulham FC,Luke Cornwall,20,Centre-Forward,Grimsby Town,Loan,out,0,Championship,2000,2000/2001
Fulham FC,Fabrice Fernandes,21,Left Winger,Stade Rennais,"End of loanMar 1, 2001",out,0,Championship,2000,2000/2001
Fulham FC,Luís Boa Morte,23,Left Midfield,Southampton,"End of loanMay 1, 2001",out,0,Championship,2000,2000/2001
Fulham FC,Nicolas Sahnoun,20,Defensive Midfield,G. Bordeaux,"End of loanMay 1, 2001",out,0,Championship,2000,2000/2001
Huddersfield Town,Andy Booth,27,Centre-Forward,Sheff Wed,£270k,in,0.27,Championship,2000,2000/2001
Huddersfield Town,Adie Moses,25,Centre-Back,Barnsley FC,£270k,in,0.27,Championship,2000,2000/2001
Huddersfield Town,Chris Hay,26,Forward,Swindon Town,Free Transfer,in,0,Championship,2000,2000/2001
Huddersfield Town,Lee Morris,20,Centre-Forward,Derby,Loan,in,0,Championship,2000,2000/2001
Huddersfield Town,Kevin Kyle,19,Centre-Forward,Sunderland,Loan,in,0,Championship,2000,2000/2001
Huddersfield Town,Jim Brennan,23,Left Midfield,Nottm Forest,Loan,in,0,Championship,2000,2000/2001
Huddersfield Town,Kevin Gallen,24,Forward,QPR,Free Transfer,in,0,Championship,2000,2000/2001
Huddersfield Town,Rob Kozluk,23,Right-Back,Sheffield Utd.,Loan,in,0,Championship,2000,2000/2001
Huddersfield Town,Martin Smith,25,Centre-Forward,Sheffield Utd.,?,in,NA,Championship,2000,2000/2001
Huddersfield Town,Nat Brown,19,Centre-Back,Huddersf. U18,-,in,0,Championship,2000,2000/2001
Huddersfield Town,Kevin Gray,28,Centre-Back,Stockport,"End of loanSep 1, 2000",in,0,Championship,2000,2000/2001
Huddersfield Town,David Beresford,23,Midfielder,Port Vale,"End of loanOct 15, 2000",in,0,Championship,2000,2000/2001
Huddersfield Town,Wayne Allison,31,Centre-Forward,Tranmere Rovers,£374k,out,0.374,Championship,2000,2000/2001
Huddersfield Town,Kiatisuk Senamuang,26,Centre-Forward,Rajpracha FC,Free Transfer,out,0,Championship,2000,2000/2001
Huddersfield Town,Kevin Gray,28,Centre-Back,Stockport,Loan,out,0,Championship,2000,2000/2001
Huddersfield Town,Mark Farren,18,Centre-Forward,Finn Harps,Free Transfer,out,0,Championship,2000,2000/2001
Huddersfield Town,David Beresford,23,Midfielder,Port Vale,Loan,out,0,Championship,2000,2000/2001
Huddersfield Town,Rob Edwards,30,Left-Back,Chesterfield FC,£21k,out,0.021,Championship,2000,2000/2001
Huddersfield Town,Grant Johnson,28,Left Midfield,Clydebank FC,?,out,NA,Championship,2000,2000/2001
Huddersfield Town,Scott Sellars,35,Left Midfield,Aarhus GF,?,out,NA,Championship,2000,2000/2001
Huddersfield Town,Rob Kozluk,23,Right-Back,Sheffield Utd.,"End of loanNov 1, 2000",out,0,Championship,2000,2000/2001
Huddersfield Town,Ken Monkou,36,Centre-Back,Retired,-,out,0,Championship,2000,2000/2001
Huddersfield Town,Lee Morris,21,Centre-Forward,Derby,"End of loanMay 1, 2001",out,0,Championship,2000,2000/2001
Huddersfield Town,Georgios Donis,30,Right Winger,Retired,-,out,0,Championship,2000,2000/2001
Huddersfield Town,Kevin Kyle,19,Centre-Forward,Sunderland,"End of loanOct 1, 2000",out,0,Championship,2000,2000/2001
Huddersfield Town,Jim Brennan,23,Left Midfield,Nottm Forest,"End of loanMay 1, 2001",out,0,Championship,2000,2000/2001
Leeds United,Rio Ferdinand,22,Centre-Back,West Ham,£23.40m,in,23.4,Championship,2000,2000/2001
Leeds United,Olivier Dacourt,25,Defensive Midfield,Lens,£9.45m,in,9.45,Championship,2000,2000/2001
Leeds United,Mark Viduka,24,Centre-Forward,Celtic,£8.24m,in,8.24,Championship,2000,2000/2001
Leeds United,Dominic Matteo,26,Left-Back,Liverpool,£6.41m,in,6.41,Championship,2000,2000/2001
Leeds United,Jacob Burns,22,Defensive Midfield,Parra. Power,£338k,in,0.338,Championship,2000,2000/2001
Leeds United,Jamie McMaster,17,Central Midfield,NSWIS,Free Transfer,in,0,Championship,2000,2000/2001
Leeds United,Chad Harpur,17,Goalkeeper,Chelsea U18,Free Transfer,in,0,Championship,2000,2000/2001
Leeds United,Robbie Keane,20,Centre-Forward,Inter,Loan,in,0,Championship,2000,2000/2001
Leeds United,Shane Cansdell-Sherriff,17,Centre-Back,NSWIS,?,in,NA,Championship,2000,2000/2001
Leeds United,Harpal Singh,18,Left Midfield,Leeds U18,-,in,0,Championship,2000,2000/2001
Leeds United,Darren Huckerby,24,Right Winger,Man City,£3.42m,out,3.42,Championship,2000,2000/2001
Leeds United,David Hopkin,29,Right Midfield,Bradford,£3.38m,out,3.38,Championship,2000,2000/2001
Leeds United,Alf-Inge Haland,27,Defensive Midfield,Man City,£3.38m,out,3.38,Championship,2000,2000/2001
Leeds United,Robert Molenaar,31,Centre-Back,Bradford,£612k,out,0.612,Championship,2000,2000/2001
Leeds United,Lee Matthews,22,Central Midfield,Bristol City,£135k,out,0.135,Championship,2000,2000/2001
Leeds United,Warren Feeney,20,Centre-Forward,Bournemouth,Free Transfer,out,0,Championship,2000,2000/2001
Leeds United,Martin Hiden,27,Centre-Back,Austria Vienna,Free Transfer,out,0,Championship,2000,2000/2001
Leeds United,Tommy Knarvik,20,Central Midfield,SK Brann,?,out,NA,Championship,2000,2000/2001
Leeds United,Alan Cawley,18,Central Midfield,Sheff Wed,?,out,NA,Championship,2000,2000/2001
West Bromwich Albion,Jason Roberts,22,Centre-Forward,Bristol Rovers,£2.70m,in,2.7,Championship,2000,2000/2001
West Bromwich Albion,Michael Appleton,25,Midfielder,Preston NE,£1.04m,in,1.04,Championship,2000,2000/2001
West Bromwich Albion,Phil Gilchrist,26,Centre-Back,Leicester,£675k,in,0.675,Championship,2000,2000/2001
West Bromwich Albion,Russell Hoult,28,Goalkeeper,Portsmouth,£630k,in,0.63,Championship,2000,2000/2001
West Bromwich Albion,Derek McInnes,28,Defensive Midfield,Rangers,£608k,in,0.608,Championship,2000,2000/2001
West Bromwich Albion,Jordão,28,Defensive Midfield,Braga,£405k,in,0.405,Championship,2000,2000/2001
West Bromwich Albion,Igor Balis,30,Right-Back,Slo. Bratislava,£225k,in,0.225,Championship,2000,2000/2001
West Bromwich Albion,Fernando Derveld,24,Left-Back,Norwich,Loan,in,0,Championship,2000,2000/2001
West Bromwich Albion,Uwe Rösler,32,Centre-Forward,Southampton,Loan,in,0,Championship,2000,2000/2001
West Bromwich Albion,Ruel Fox,32,Right Winger,Spurs,?,in,NA,Championship,2000,2000/2001
West Bromwich Albion,Mickey Evans,27,Centre-Forward,Bristol Rovers,"End of loanSep 1, 2000",in,0,Championship,2000,2000/2001
West Bromwich Albion,Mickey Evans,27,Centre-Forward,Bristol Rovers,£270k,out,0.27,Championship,2000,2000/2001
West Bromwich Albion,Danny Gabbidon,21,Centre-Back,Cardiff,£234k,out,0.234,Championship,2000,2000/2001
West Bromwich Albion,Daryl Burgess,30,Defender,Northampt. Town,Free Transfer,out,0,Championship,2000,2000/2001
West Bromwich Albion,Sean Flynn,32,Midfielder,Tranmere Rovers,Free Transfer,out,0,Championship,2000,2000/2001
West Bromwich Albion,Mickey Evans,27,Centre-Forward,Bristol Rovers,Loan,out,0,Championship,2000,2000/2001
West Bromwich Albion,Georges Santos,29,Centre-Back,Sheffield Utd.,Free Transfer,out,0,Championship,2000,2000/2001
West Bromwich Albion,Paul Raven,29,Defender,Grimsby Town,Free Transfer,out,0,Championship,2000,2000/2001
West Bromwich Albion,Mark Angel,25,Left Winger,Darlington,?,out,NA,Championship,2000,2000/2001
West Bromwich Albion,Richard Sneekes,32,Midfielder,Stockport,?,out,NA,Championship,2000,2000/2001
West Bromwich Albion,Fabian de Freitas,28,Forward,Cambuur L.,?,out,NA,Championship,2000,2000/2001
West Bromwich Albion,Andy Townsend,36,Central Midfield,Retired,-,out,0,Championship,2000,2000/2001
Derby County,Giorgi Kinkladze,26,Attacking Midfield,Ajax,£4.50m,in,4.5,Championship,2000,2000/2001
Derby County,Bjørn Otto Bragstad,29,Centre-Back,Rosenborg BK,£2.70m,in,2.7,Championship,2000,2000/2001
Derby County,Danny Higginbotham,21,Centre-Back,Man Utd,£2.70m,in,2.7,Championship,2000,2000/2001
Derby County,Brian O'Neil,28,Centre-Back,VfL Wolfsburg,£675k,in,0.675,Championship,2000,2000/2001
Derby County,Taribo West,26,Left-Back,Milan,Loan fee:£675k,in,0.675,Championship,2000,2000/2001
Derby County,Youl Mawéné,21,Centre-Back,Lens,£630k,in,0.63,Championship,2000,2000/2001
Derby County,Adam Bolder,19,Midfielder,Hull City,£113k,in,0.113,Championship,2000,2000/2001
Derby County,Con Blatsis,22,Centre-Back,South Melbourne,Free Transfer,in,0,Championship,2000,2000/2001
Derby County,Thórdur Gudjónsson,27,Right Winger,UD Las Palmas,Loan,in,0,Championship,2000,2000/2001
Derby County,Simo Valakari,27,Defensive Midfield,Motherwell FC,Free Transfer,in,0,Championship,2000,2000/2001
Derby County,Matt O'Halloran,17,Midfielder,Unknown,?,in,NA,Championship,2000,2000/2001
Derby County,Lilian Martin,29,Right-Back,Marseille,?,in,NA,Championship,2000,2000/2001
Derby County,Lewis Hunt,17,Right-Back,Derby U18,-,in,0,Championship,2000,2000/2001
Derby County,Gary Twigg,16,Centre-Forward,Derby U18,-,in,0,Championship,2000,2000/2001
Derby County,Tonton Zola Moukoko,16,Midfielder,Derby U18,-,in,0,Championship,2000,2000/2001
Derby County,Lee Morris,21,Centre-Forward,Huddersfield,"End of loanMay 1, 2001",in,0,Championship,2000,2000/2001
Derby County,Esteban Fuertes,27,Centre-Forward,Lens,£5.40m,out,5.4,Championship,2000,2000/2001
Derby County,Dean Sturridge,27,Centre-Forward,Leicester,£540k,out,0.54,Championship,2000,2000/2001
