"","Player","Nation","Team","League","Season","TeamElo","AgeDuringSeason","CurrentAge","Position","PlayStyle","Min","Starts","PercentLeftFooted","PercentRightFooted","Footedness","DAVIES","DAVIESPer90","xGoalsAdded","xGoalsAddedAbovePlayStyle","xGoalsAddedPer90","Salary($)","xSalary($)","CurrentMarketValue(€)","xMarketValue(€)","xGAM"
"1899","Yan Valery","FRA","Southampton","Premier League","2018-2019","1673.84","19","21","DF,MF","DefensiveWideProgressor","1712","20","4.23","95.77","Right","1.5","0","2.53","-0.2","0.13","137210","1077718","6300000","",""
"1900","Kiko Olivas","ESP","Valladolid","La Liga","2019-2020","1653.63","30","32","DF","LowBlockCentralDefender","2943","33","12.45","87.55","Right","1.5","-0.01","3.99","1.55","0.12","632195","2042332","1500000","3443938",""
"1901","Issa Diop","FRA","West Ham","Premier League","2018-2019","1729.39","21","23","DF","LowBlockCentralDefender","2970","33","14.81","85.19","Right","1.5","-0.02","3.56","1.13","0.11","4596546","2903251","28000000","",""
"1902","Ashley Young","ENG","Manchester Utd","Premier League","2017-2018","1880.94","32","35","DF","OffensiveWideProgressor","2442","28","16.76","83.24","Right","1.5","0.01","5.16","1.99","0.19","","","3000000","",""
"1903","Toni Kroos","GER","Real Madrid","La Liga","2018-2019","1837.72","28","30","MF","AttackingCentralProgressor","2221","26","13.6","86.4","Right","1.49","0.02","4.64","1.89","0.19","22618800","14680189","50000000","",""
"1904","Luca Cigarini","ITA","Cagliari","Serie A","2018-2019","1531.8","32","34","MF","DefensiveCentralProgressor","1682","20","10.89","89.11","Right","1.49","0.07","3.5","1.52","0.19","1256474","1415973","800000","",""
"1905","Mario Mandzukic","CRO","Juventus","Serie A","2017-2018","1958.95","31","34","FW","Finisher","2324","27","12.58","87.42","Right","1.49","-0.04","5.31","1.9","0.21","","","","",""
"1906","Samuel Piette","CAN","Montreal","MLS","2018","","23","26","MF","DefensiveCentralProgressor","2998","34","12.6","87.4","Right","1.49","-0.02","3.45","1.47","0.1","129234","250286","1500000","","211931"
"1907","Diego Farias","BRA","Empoli","Serie A","2018-2019","1547.51","28","30","FW","Finisher","1193","16","13.21","86.79","Right","1.49","0.14","5.05","1.64","0.38","1023501","2741839","","",""
"1908","Moussa Niakhate","FRA","Mainz 05","Bundesliga","2018-2019","1650.15","22","24","DF","PossessionOrientedCentralDefender","2789","32","84.46","15.54","Left","1.49","-0.02","4.03","1.23","0.13","901359","1143844","11000000","",""
"1909","Florent Mollet","FRA","Montpellier","Ligue 1","2018-2019","1617.81","26","29","MF,FW","Playmaker","2564","31","14.93","85.07","Right","1.49","-0.04","5.4","1.72","0.19","406007","1139160","7000000","",""
"1910","Wilfred Ndidi","NGA","Leicester City","Premier League","2019-2020","1762.14","22","24","MF","DefensiveCentralProgressor","2674","29","11.83","88.17","Right","1.49","0","3.44","1.46","0.12","5145387","2967423","45000000","36415583",""
"1911","Mame Biram Diouf","SEN","Stoke City","Premier League","2017-2018","1625.11","29","33","FW,MF","Finisher","2596","30","19.18","80.82","Right","1.48","-0.07","5.04","1.63","0.17","","","","",""
"1912","Steven Nzonzi","FRA","Sevilla","La Liga","2017-2018","1762.39","28","32","MF","DefensiveCentralProgressor","2216","26","8.33","91.67","Right","1.48","0.02","3.52","1.54","0.14","","","","",""
"1913","Fabian Schar","SUI","Newcastle Utd","Premier League","2018-2019","1715.6","26","29","DF","PossessionOrientedCentralDefender","1999","22","11.85","88.15","Right","1.48","0.05","4.56","1.76","0.21","2744206","3698954","13000000","",""
"1914","Dani Carvajal","ESP","Real Madrid","La Liga","2018-2019","1837.72","26","28","DF","OffensiveWideProgressor","2107","23","7.44","92.56","Right","1.48","0.03","4.95","1.78","0.21","","","","",""
"1915","Pedro","ESP","Chelsea","Premier League","2018-2019","1883.25","31","33","FW","Dribbler","1778","21","27.35","72.65","Right","1.48","0.03","5.54","2.55","0.28","6846003","7613741","9500000","",""
"1916","Joelinton","BRA","Newcastle Utd","Premier League","2019-2020","1681.85","22","24","FW","Finisher","2683","32","20.59","79.41","Right","1.48","-0.1","4.44","1.03","0.15","","","20000000","18398197",""
"1917","Nicolas Nkoulou","CMR","Torino","Serie A","2017-2018","1677.54","27","30","DF","LowBlockCentralDefender","3258","37","9.25","90.75","Right","1.48","-0.02","3.97","1.54","0.11","","","","",""
"1918","Pedro Mendes","POR","Montpellier","Ligue 1","2018-2019","1617.81","27","30","DF","PossessionOrientedCentralDefender","2667","31","12.42","87.58","Right","1.48","0","4.56","1.76","0.15","878740","1065243","4800000","",""
"1919","Kingsley Ehizibue","NED","Koln","Bundesliga","2019-2020","1600.18","24","25","DF","DefensiveWideProgressor","2329","29","8.13","91.87","Right","1.48","0.01","4.42","1.69","0.17","","","","",""
"1920","Ilkay Gundogan","GER","Manchester City","Premier League","2018-2019","2037.31","27","30","MF","AttackingCentralProgressor","2137","23","26.78","73.22","Right","1.48","0.03","4.62","1.88","0.19","9604722","4808880","","",""
"1921","Ruben Perez","ESP","Leganes","La Liga","2017-2018","1633.34","28","31","MF","DefensiveCentralProgressor","2513","29","8.08","91.92","Right","1.48","0","3.51","1.53","0.13","","","","",""
"1922","Ashley Westwood","ENG","Burnley","Premier League","2018-2019","1681.7","28","30","MF","AttackingCentralProgressor","2824","31","7.1","92.9","Right","1.48","-0.02","4.62","1.87","0.15","2126760","3779694","5500000","",""
"1923","Christophe Herelle","MTQ","Troyes","Ligue 1","2017-2018","1461.59","24","28","DF","LowBlockCentralDefender","2958","34","12.08","87.92","Right","1.48","-0.01","3.96","1.53","0.12","","","","",""
"1924","Salomon Rondon","VEN","West Brom","Premier League","2017-2018","1617.33","27","31","FW","Finisher","2767","32","17.59","82.41","Right","1.47","-0.08","5.03","1.62","0.16","","","","",""
"1925","Jonathan Tah","GER","Leverkusen","Bundesliga","2019-2020","1795.39","23","24","DF","PossessionOrientedCentralDefender","2092","22","18.09","81.91","Right","1.47","0.03","4.01","1.21","0.17","3381511","2736630","24000000","39065933",""
"1926","Jack Stephens","ENG","Southampton","Premier League","2017-2018","1649.49","23","26","DF","LowBlockCentralDefender","1980","22","8.11","91.89","Right","1.47","0.03","3.54","1.1","0.16","","","5500000","",""
"1927","Justin Kluivert","NED","Roma","Serie A","2018-2019","1747.43","19","21","FW","Dribbler","1341","14","14.45","85.55","Right","1.47","-0.03","3.19","0.2","0.21","3769423","2847132","20000000","",""
"1928","Shkodran Mustafi","GER","Arsenal","Premier League","2017-2018","1818.72","25","28","DF","PossessionOrientedCentralDefender","2273","25","4.5","95.5","Right","1.47","0.02","4.54","1.75","0.18","","","15000000","",""
"1929","Alberto Grassi","ITA","SPAL","Serie A","2017-2018","1554.81","22","25","MF","AttackingCentralProgressor","2253","26","17.79","82.21","Right","1.47","0","4.07","1.33","0.16","","","","",""
"1930","Gio Reyna","USA","Dortmund","Bundesliga","2020-2021","1824.33","18.13","18","FW,MF","Dribbler","887","10","12.37","87.63","Right","1.47","0.08","3.19","0.19","0.32","","","","",""
"1931","Issa Diop","FRA","West Ham","Premier League","2019-2020","1689.95","22","23","DF","LowBlockCentralDefender","2766","31","15.93","84.07","Right","1.46","-0.02","3.53","1.1","0.11","4596546","3022753","28000000","13468617",""
"1932","Sokratis Papastathopoulos","GRE","Dortmund","Bundesliga","2017-2018","1737.74","29","32","DF","PossessionOrientedCentralDefender","2373","28","4.58","95.42","Right","1.46","0.02","4.54","1.74","0.17","","","","",""
"1933","Edgar Castillo","USA","New England","MLS","2019","","32","34","DF","DefensiveWideProgressor","1689","20","86.8","13.2","Left","1.46","0.05","3.82","1.09","0.2","250000","355906","","","234659"
"1934","Salih Ozcan","GER","Koln","Bundesliga","2017-2018","1543.68","19","22","MF","DefensiveCentralProgressor","1670","19","19.09","80.91","Right","1.46","0.02","2.38","0.4","0.13","","","","",""
"1935","Laurent Ciman","BEL","Los Angeles FC","MLS","2018","","32","35","DF","LowBlockCentralDefender","1980","22","23.33","76.67","Right","1.46","0.05","4.11","1.68","0.19","","","","","252474"
"1936","Gustav Svensson","SWE","Seattle","MLS","2018","","30","33","MF,DF","DefensiveCentralProgressor","2072","23","8.37","91.63","Right","1.46","0.03","3.5","1.52","0.15","367500","376552","600000","","215002"
"1937","Diego Godin","URU","Atletico Madrid","La Liga","2017-2018","1929.46","31","34","DF","LowBlockCentralDefender","2554","28","19.46","80.54","Right","1.46","0.01","4.11","1.68","0.14","","","","",""
"1938","Joseba Zaldua","ESP","Real Sociedad","La Liga","2019-2020","1739.98","27","28","DF","DefensiveWideProgressor","2545","29","8.26","91.74","Right","1.46","-0.01","4.4","1.67","0.16","1085702","1299836","10000000","10783977",""
"1939","Troy Deeney","ENG","Watford","Premier League","2019-2020","1649.85","31","32","FW","Finisher","2225","26","6.15","93.85","Right","1.46","-0.04","5.27","1.87","0.21","4459335","4503101","6500000","5732155",""
"1940","Mark Noble","ENG","West Ham","Premier League","2019-2020","1689.95","32","33","MF","AttackingCentralProgressor","2674","32","7.31","92.69","Right","1.46","-0.02","4.03","1.29","0.14","3430258","3855853","4800000","4504317",""
"1941","Bernardo Espinosa","COL","Girona","La Liga","2017-2018","1662.4","28","31","DF","LowBlockCentralDefender","2868","32","14.9","85.1","Right","1.46","-0.01","3.95","1.51","0.12","","","","",""
"1942","Dominique Heintz","GER","Freiburg","Bundesliga","2019-2020","1660.59","25","27","DF","LowBlockCentralDefender","2434","27","84.97","15.03","Left","1.46","0.02","3.95","1.51","0.15","901359","1226023","8000000","8208933",""
"1943","Domenico Criscito","ITA","Genoa","Serie A","2019-2020","1536.21","32","34","DF","DefensiveWideProgressor","2053","24","87.16","12.84","Left","1.45","0.01","3.82","1.09","0.17","2512949","2999598","2200000","1919134",""
"1944","Anwar El Ghazi","NED","Aston Villa","Premier League","2019-2020","1622.7","24","25","FW,MF","Dribbler","2051","26","17.43","82.57","Right","1.45","-0.04","4.65","1.65","0.2","","","8000000","9286143",""
"1945","Yeray Alvarez","ESP","Athletic Club","La Liga","2019-2020","1720.37","24","25","DF","PossessionOrientedCentralDefender","2810","32","7.1","92.9","Right","1.45","-0.01","4.53","1.73","0.15","1755219","1595866","24000000","21976483",""
"1946","Didac Vila","ESP","Espanyol","La Liga","2019-2020","1607.97","30","31","DF","DefensiveWideProgressor","2492","28","87.28","12.72","Left","1.45","0","4.39","1.66","0.16","934156","1355584","","",""
"1947","Issiaga Sylla","GUI","Toulouse","Ligue 1","2018-2019","1491.43","24","26","DF,MF","DefensiveWideProgressor","1994","23","87.8","12.2","Left","1.45","0.04","4.39","1.66","0.2","612969","959510","2800000","",""
"1948","Leandro Trossard","BEL","Brighton","Premier League","2019-2020","1658.11","24","26","FW,MF","Playmaker","2011","22","22.99","77.01","Right","1.45","0.01","5.36","1.68","0.24","","","13000000","12450530",""
"1949","Jean-Paul Boetius","NED","Mainz 05","Bundesliga","2019-2020","1652.84","25","26","MF","AttackingCentralProgressor","2266","26","16.8","83.2","Right","1.45","0.02","4.59","1.85","0.18","882133","1514255","4800000","6474080",""
"1950","Imran Louza","FRA","Nantes","Ligue 1","2019-2020","1569.26","20","21","MF,FW","AttackingCentralProgressor","2009","22","82.57","17.43","Left","1.45","0.02","4.05","1.3","0.18","","","10000000","11480480",""
"1951","Daniel Baier","GER","Augsburg","Bundesliga","2018-2019","1591.47","34","36","MF","DefensiveCentralProgressor","2815","33","7.45","92.55","Right","1.45","-0.01","3.45","1.47","0.11","2253963","2831082","","",""
"1952","Bakaye Dibassy","MLI","Amiens","Ligue 1","2017-2018","1530.84","27","31","DF","PossessionOrientedCentralDefender","2778","31","84.17","15.83","Left","1.45","-0.01","4.52","1.72","0.15","","","2000000","",""
"1953","Angel Rodriguez","ESP","Getafe","La Liga","2018-2019","1757.47","31","33","FW","Finisher","1819","20","15.48","84.52","Right","1.45","0.01","5.26","1.85","0.26","1031417","4278365","4000000","",""
"1954","Dalbert Henrique","BRA","Fiorentina","Serie A","2019-2020","1633.43","25","27","DF","OffensiveWideProgressor","2484","29","89.57","10.43","Left","1.45","-0.01","4.91","1.74","0.18","","","","",""
"1955","Anthony Caci","FRA","Strasbourg","Ligue 1","2018-2019","1552.1","21","23","DF","DefensiveWideProgressor","2298","26","29.64","70.36","Right","1.45","0","4.05","1.32","0.16","291783","1075948","3200000","",""
"1956","Benjamin Stambouli","FRA","Schalke 04","Bundesliga","2017-2018","1735.62","26","30","DF,MF","PossessionOrientedCentralDefender","2197","24","21.3","78.7","Right","1.44","0.03","4.52","1.72","0.19","","","8000000","",""
"1957","Kerem Demirbay","GER","Leverkusen","Bundesliga","2019-2020","1795.39","26","27","MF","AttackingCentralProgressor","1573","18","82.6","17.4","Left","1.44","0.1","4.59","1.84","0.26","","","24000000","43642700",""
"1958","Camillo Ciano","ITA","Frosinone","Serie A","2018-2019","1453.52","28","30","FW,MF","Playmaker","2454","28","74.84","25.16","Left","1.44","-0.04","5.36","1.67","0.2","1047250","1853950","","",""
"1959","Pavel Kaderabek","CZE","Hoffenheim","Bundesliga","2019-2020","1729.86","27","28","DF,MF","OffensiveWideProgressor","2474","28","9.96","90.04","Right","1.44","-0.01","4.9","1.73","0.18","2261880","2702513","","",""
"1960","Lukas Klostermann","GER","RB Leipzig","Bundesliga","2018-2019","1781.53","22","24","DF","DefensiveWideProgressor","2003","22","21.7","78.3","Right","1.44","0.02","4.04","1.31","0.18","1690755","1553508","38000000","",""
"1961","Ruben Duarte","ESP","Alaves","La Liga","2018-2019","1679.75","22","25","DF","DefensiveWideProgressor","2772","33","82.83","17.17","Left","1.44","-0.03","4.04","1.31","0.13","848205","1526712","","",""
"1962","Jason Denayer","BEL","Lyon","Ligue 1","2019-2020","1694.29","24","25","DF","LowBlockCentralDefender","2131","24","6.76","93.24","Right","1.44","0.04","3.93","1.49","0.17","2253963","2256614","12000000","12616433",""
"1963","Christopher Lenz","GER","Union Berlin","Bundesliga","2019-2020","1600.27","24","26","DF","DefensiveWideProgressor","2267","26","78.82","21.18","Left","1.43","0.01","4.37","1.64","0.17","","","2200000","3037487",""
"1964","Diego Rolan","URU","Malaga","La Liga","2017-2018","1580.85","24","27","FW,MF","Dribbler","1947","21","11.34","88.66","Right","1.43","-0.03","4.63","1.63","0.21","","","","",""
"1965","Justin Meram","IRQ","Atlanta","MLS","2019","","30","32","DF,FW","Dribbler","1265","14","23.08","76.92","Right","1.43","0.09","4.63","1.63","0.33","","","","","284417"
"1966","Otavio","BRA","Bordeaux","Ligue 1","2018-2019","1553.36","24","26","MF","DefensiveCentralProgressor","2875","33","10.41","89.59","Right","1.43","-0.01","3.47","1.49","0.11","1093619","1003328","6500000","",""
"1967","Loren Moron","ESP","Betis","La Liga","2019-2020","1666.35","25","27","FW","Finisher","2031","21","6.98","93.02","Right","1.43","-0.02","4.98","1.57","0.22","","","15000000","15477097",""
"1968","Victor Laguardia","ESP","Alaves","La Liga","2019-2020","1642.09","29","31","DF","LowBlockCentralDefender","2654","31","7.42","92.58","Right","1.43","0","3.92","1.48","0.13","789396","1295635","","",""
"1969","Theo Hernandez","FRA","Real Sociedad","La Liga","2018-2019","1715.61","20","23","DF","OffensiveWideProgressor","1976","22","93.67","6.33","Left","1.43","0.01","4.18","1.01","0.19","4071384","2497403","","",""
"1970","Sergio Leon","ESP","Betis","La Liga","2017-2018","1723.9","28","31","FW","Finisher","1974","23","14.16","85.84","Right","1.43","-0.02","4.98","1.57","0.23","","","","",""
"1971","Daniele Baselli","ITA","Torino","Serie A","2018-2019","1692.6","26","28","MF","AttackingCentralProgressor","2379","27","11.57","88.43","Right","1.43","0.01","4.57","1.82","0.17","2932527","2882736","7000000","",""
"1972","Vladimir Darida","CZE","Hertha BSC","Bundesliga","2019-2020","1648.52","28","30","MF","AttackingCentralProgressor","2256","25","22.65","77.35","Right","1.43","0.02","4.57","1.82","0.18","2817172","2950606","5500000","5442723",""
"1973","Davide Biraschi","ITA","Genoa","Serie A","2019-2020","1536.21","25","26","DF","DefensiveWideProgressor","1971","22","6.9","93.1","Right","1.43","0.04","4.37","1.63","0.2","942073","1396489","3500000","3468892",""
"1974","Lebo Mothiba","RSA","Strasbourg","Ligue 1","2018-2019","1552.1","22","24","FW","Finisher","1771","18","12.06","87.94","Right","1.43","-0.03","4.38","0.97","0.22","658207","994371","4000000","",""
"1975","Marcus Rashford","ENG","Manchester Utd","Premier League","2020-2021","1869.6","23.17","23","FW","Finisher","1273","14","8.33","91.67","Right","1.42","0.11","4.98","1.57","0.35","","","80000000","",""
"1976","Ramy Bensebaini","ALG","Rennes","Ligue 1","2017-2018","1639.7","22","25","DF","DefensiveWideProgressor","2342","26","79.01","20.99","Left","1.42","0","4.03","1.29","0.15","","","","",""
"1977","Pablo","BRA","Bordeaux","Ligue 1","2019-2020","1587.32","28","29","DF","LowBlockCentralDefender","2173","25","29.93","70.07","Right","1.42","0.03","3.91","1.48","0.16","812015","1227391","8000000","7438362",""
"1978","Callum Wilson","ENG","Bournemouth","Premier League","2017-2018","1669.7","25","28","FW","Finisher","1981","23","15.14","84.86","Right","1.42","-0.02","4.97","1.57","0.23","","","20000000","",""
"1979","Filip Duricic","SRB","Sassuolo","Serie A","2019-2020","1644.71","27","28","MF,FW","Dribbler","1633","19","12.69","87.31","Right","1.42","0.02","4.61","1.62","0.25","","","","",""
"1980","Gabriel Paulista","BRA","Valencia","La Liga","2018-2019","1809.51","27","30","DF","LowBlockCentralDefender","2623","30","9.23","90.77","Right","1.42","0","3.91","1.47","0.13","4116622","2861277","15000000","",""
"1981","Dwight Gayle","ENG","Newcastle Utd","Premier League","2017-2018","1666.88","26","30","FW","Finisher","1958","23","22.53","77.47","Right","1.42","-0.01","4.97","1.56","0.23","","","9500000","",""
"1982","Ridle Baku","GER","Mainz 05","Bundesliga","2019-2020","1652.84","21","22","DF,MF","OffensiveWideProgressor","2351","26","15.52","84.48","Right","1.42","-0.02","4.17","1","0.16","499875","1256902","7000000","9857673",""
"1983","Konrad Laimer","AUT","RB Leipzig","Bundesliga","2018-2019","1781.53","21","23","MF,DF","AttackingCentralProgressor","1874","20","21.64","78.36","Right","1.42","0.03","4.02","1.28","0.19","2261880","2816782","30000000","",""
"1984","Denis Cheryshev","RUS","Valencia","La Liga","2018-2019","1809.51","27","30","MF,FW","Playmaker","1706","19","83.07","16.93","Left","1.42","0.05","5.33","1.64","0.28","2376105","3745357","4000000","",""
"1985","Juan Agudelo","USA","New England","MLS","2019","","26","28","MF,FW","AttackingCentralProgressor","1954","21","11.46","88.54","Right","1.41","0.04","4.56","1.81","0.21","605000","489322","","","280117"
"1986","Charles Aranguiz","CHI","Leverkusen","Bundesliga","2019-2020","1795.39","30","31","MF","DefensiveCentralProgressor","2118","23","15.18","84.82","Right","1.41","0.02","3.45","1.47","0.15","3352106","3672494","12000000","14550807",""
"1987","Robin Quaison","SWE","Mainz 05","Bundesliga","2018-2019","1650.15","24","27","FW,MF","Finisher","2194","25","10.51","89.49","Right","1.41","-0.04","4.96","1.56","0.2","882133","1690113","10500000","",""
"1988","Daniel Wass","DEN","Valencia","La Liga","2018-2019","1809.51","29","31","DF,MF","OffensiveWideProgressor","2354","26","7.26","92.74","Right","1.41","0","4.87","1.7","0.19","3924362","3197302","7500000","",""
"1989","Makoto Hasebe","JPN","Eint Frankfurt","Bundesliga","2019-2020","1705.51","35","36","DF,MF","PossessionOrientedCentralDefender","1968","21","21.18","78.82","Right","1.41","0.03","4.18","1.38","0.19","1176178","1798421","800000","1173383",""
"1990","Damien Da Silva","FRA","Rennes","Ligue 1","2018-2019","1615.97","30","32","DF","LowBlockCentralDefender","2874","32","1.84","98.16","Right","1.41","-0.01","3.9","1.46","0.12","878740","1214146","4000000","",""
"1991","Bruno Alves","POR","Parma","Serie A","2019-2020","1572.84","37","39","DF","LowBlockCentralDefender","2671","31","17.35","82.65","Right","1.41","0.02","4.57","2.14","0.15","1465698","1239566","800000","1460011",""
"1992","Victor Lindelof","SWE","Manchester Utd","Premier League","2019-2020","1876.21","25","26","DF","PossessionOrientedCentralDefender","3092","35","13.61","86.39","Right","1.41","-0.02","4.48","1.68","0.13","8232619","5827361","28000000","35512983",""
"1993","Lucas Torreira","URU","Arsenal","Premier League","2018-2019","1866.53","22","24","MF","DefensiveCentralProgressor","2382","24","9.87","90.13","Right","1.41","0.01","3.36","1.38","0.13","5145387","3074840","30000000","",""
"1994","Arne Maier","GER","Hertha BSC","Bundesliga","2018-2019","1636.97","19","21","MF","DefensiveCentralProgressor","2064","23","10.71","89.29","Right","1.41","-0.01","2.32","0.34","0.1","1127547","1132794","13500000","",""
"1995","Maximilian Eggestein","GER","Werder Bremen","Bundesliga","2019-2020","1632.45","22","24","MF,DF","AttackingCentralProgressor","2855","32","17.82","82.18","Right","1.41","-0.03","4.01","1.26","0.13","588089","1420302","13000000","14525957",""
"1996","Paul Lasne","FRA","Montpellier","Ligue 1","2017-2018","1590.91","28","31","MF","AttackingCentralProgressor","3064","34","50.34","49.66","Dual","1.4","-0.03","4.55","1.8","0.13","","","","",""
"1997","Stephen Ward","IRL","Burnley","Premier League","2017-2018","1684.78","31","35","DF","DefensiveWideProgressor","2460","28","85.41","14.59","Left","1.4","-0.02","3.76","1.03","0.14","","","","",""
"1998","Damir Kreilach","CRO","Real Salt Lake","MLS","2019","","29","31","MF,FW","AttackingCentralProgressor","2656","32","13.86","86.14","Right","1.4","-0.01","4.54","1.8","0.15","1082102","972729","1800000","","278888"
"1999","Gylfi Sigurdsson","ISL","Everton","Premier League","2019-2020","1720.04","29","31","MF","AttackingCentralProgressor","2560","28","16.75","83.25","Right","1.4","-0.01","4.54","1.8","0.16","6860516","4050291","","",""
"2000","Dominic Calvert-Lewin","ENG","Everton","Premier League","2020-2021","1768.54","23.8","23","FW","Finisher","1326","15","13.11","86.89","Right","1.4","0.09","4.95","1.54","0.34","","","24000000","",""
"2001","Jeffrey Gouweleeuw","NED","Augsburg","Bundesliga","2017-2018","1614.1","26","29","DF","PossessionOrientedCentralDefender","2385","27","12.51","87.49","Right","1.4","0.01","4.47","1.67","0.17","","","9500000","",""
"2002","Nuno da Costa","CPV","Strasbourg","Ligue 1","2018-2019","1552.1","27","29","FW","Finisher","2052","22","8.55","91.45","Right","1.4","-0.03","4.95","1.54","0.22","","","","",""
"2003","Johann Berg Gudmundsson","ISL","Burnley","Premier League","2017-2018","1684.78","26","30","MF,FW","Playmaker","2833","32","85.62","14.38","Left","1.4","-0.07","5.31","1.62","0.17","","","","",""
"2004","Ismael Tajouri-Shradi","LBY","NYCFC","MLS","2018","","23","26","FW,MF","Playmaker","1546","18","91.36","8.64","Left","1.4","0.08","5.1","1.41","0.3","350500","590109","1000000","","313288"
"2005","Granit Xhaka","SUI","Arsenal","Premier League","2019-2020","1803.37","26","28","MF","DefensiveCentralProgressor","2586","30","84.02","15.98","Left","1.39","0","3.43","1.45","0.12","6860516","5972748","24000000","32854167",""
"2006","Dani Ceballos","ESP","Arsenal","Premier League","2019-2020","1803.37","22","24","MF","DefensiveCentralProgressor","1692","18","5.74","94.26","Right","1.39","0.06","3.34","1.36","0.18","","","32000000","32750013",""
"2007","Magnus Eriksson","SWE","San Jose","MLS","2018","","27","30","MF,FW","Playmaker","2484","29","78.39","21.61","Left","1.39","-0.04","5.3","1.62","0.19","400000","745421","","","325574"
"2008","Mickael Cuisance","FRA","M'Gladbach","Bundesliga","2017-2018","1659.45","17","21","MF,FW","AttackingCentralProgressor","1207","9","80.84","19.16","Left","1.39","0.06","2.66","-0.09","0.2","","","","",""
"2009","Mama Samba Balde","GNB","Dijon","Ligue 1","2019-2020","1519.01","23","25","FW,MF","Finisher","1676","20","21.84","78.16","Right","1.38","-0.02","4.34","0.93","0.23","","","","",""
"2010","James Tomkins","ENG","Crystal Palace","Premier League","2018-2019","1742.55","29","31","DF","LowBlockCentralDefender","2560","29","13.87","86.13","Right","1.38","0.01","3.87","1.44","0.14","3430258","3304305","4000000","",""
"2011","Kevin Vogt","GER","Hoffenheim","Bundesliga","2018-2019","1726.84","26","29","DF","PossessionOrientedCentralDefender","2391","28","6.07","93.93","Right","1.38","0.01","4.46","1.66","0.17","2261880","2949378","6000000","",""
"2012","Dominique Badji","SEN","Colorado","MLS","2018","","25","28","FW","Finisher","1340","15","49.05","50.95","Dual","1.38","0.09","4.94","1.53","0.33","","","","","303460"
"2013","Ezequiel Avila","ARG","Huesca","La Liga","2018-2019","1612.89","24","26","FW,MF","Finisher","1997","20","33.11","66.89","Right","1.38","-0.02","4.94","1.53","0.22","245414","1644010","","",""
"2014","Mattia Bani","ITA","Chievo","Serie A","2018-2019","1442.57","24","27","DF","LowBlockCentralDefender","2610","29","7.47","92.53","Right","1.38","0","3.87","1.44","0.13","523625","1114212","","",""
"2015","Kim Kee-hee","KOR","Seattle","MLS","2019","","29","31","DF","PossessionOrientedCentralDefender","2603","30","8.51","91.49","Right","1.38","0","4.46","1.66","0.15","772000","708038","","","273974"
"2016","Luka Modric","CRO","Real Madrid","La Liga","2020-2021","1901.67","35.31","35","MF","AttackingCentralProgressor","1126","13","10.68","89.32","Right","1.38","0.07","2.52","-0.23","0.2","","","","",""
"2017","Bernardo Silva","POR","Manchester City","Premier League","2017-2018","1970.75","22","26","FW,MF","Dribbler","1533","15","89.77","10.23","Left","1.38","0.02","4.44","1.44","0.26","","","80000000","",""
"2018","Jorge Miramon","ESP","Levante","La Liga","2019-2020","1698.34","30","31","DF","DefensiveWideProgressor","2432","27","5.32","94.68","Right","1.38","0","4.32","1.58","0.16","","","2500000","2894455",""
"2019","Patrik Schick","CZE","RB Leipzig","Bundesliga","2019-2020","1844.66","23","24","FW","Finisher","1298","15","77.25","22.75","Left","1.37","0.05","4.33","0.92","0.3","","","25000000","34904467",""
"2020","Luca Ceppitelli","ITA","Cagliari","Serie A","2018-2019","1531.8","28","31","DF","LowBlockCentralDefender","2051","24","22.23","77.77","Right","1.37","0.04","3.86","1.43","0.17","1256474","1590019","2500000","",""
"2021","Martin Valjent","SVK","Mallorca","La Liga","2019-2020","1604.39","23","25","DF","PossessionOrientedCentralDefender","3182","36","25.07","74.93","Right","1.37","-0.04","3.91","1.11","0.11","","","5000000","5144207",""
"2022","Ismail Jakobs","GER","Koln","Bundesliga","2019-2020","1600.18","19","21","FW,DF","AttackingCentralProgressor","1672","20","88","12","Left","1.37","0","2.64","-0.1","0.14","","","","",""
"2023","Jack Cork","ENG","Burnley","Premier League","2017-2018","1684.78","28","31","MF","DefensiveCentralProgressor","3420","38","12.59","87.41","Right","1.37","-0.03","3.41","1.43","0.09","","","12000000","",""
"2024","Julio Tavares","CPV","Dijon","Ligue 1","2017-2018","1549.68","28","32","FW","Finisher","2055","23","25.17","74.83","Right","1.37","-0.03","4.92","1.51","0.22","","","","",""
"2025","Kevin Kampl","SVN","RB Leipzig","Bundesliga","2018-2019","1781.53","27","30","MF","AttackingCentralProgressor","2113","25","8.7","91.3","Right","1.36","0.02","4.51","1.76","0.19","3944719","2750700","14000000","",""
"2026","Marius Bulter","GER","Union Berlin","Bundesliga","2019-2020","1600.27","26","27","MF,FW","Dribbler","2321","28","35.36","64.64","Right","1.36","-0.06","4.56","1.56","0.18","","","3000000","4782860",""
"2027","Kwadwo Asamoah","GHA","Inter","Serie A","2018-2019","1730.07","29","32","DF","OffensiveWideProgressor","2671","30","90.12","9.88","Left","1.36","-0.02","4.83","1.66","0.16","6283503","5689232","4000000","",""
"2028","Yannick Gerhardt","GER","Wolfsburg","Bundesliga","2018-2019","1704.17","24","26","MF","AttackingCentralProgressor","2455","28","75.19","24.81","Left","1.36","0","4.51","1.76","0.17","3381511","2528707","6000000","",""
"2029","Adama Mbengue","SEN","Caen","Ligue 1","2017-2018","1479.19","23","27","DF","DefensiveWideProgressor","1596","18","83.53","16.47","Left","1.36","0.06","3.96","1.23","0.22","","","","",""
