Rank,Club,Country,Level,Elo,From,To
1,Chelsea,ENG,1,1990.44470215,2006-01-01,2006-01-02
2,Barcelona,ESP,1,1970.95800781,2005-12-21,2006-01-07
3,Juventus,ITA,1,1938.86108398,2005-12-22,2006-01-07
4,Lyon,FRA,1,1918.11694336,2005-12-17,2006-01-04
5,Milan,ITA,1,1904.00976562,2005-12-22,2006-01-08
6,Bayern,GER,1,1901.88220215,2005-12-22,2006-01-15
7,Inter,ITA,1,1868.00109863,2006-01-01,2006-01-08
8,Arsenal,ENG,1,1867.50183105,2006-01-01,2006-01-03
9,Liverpool,ENG,1,1864.35949707,2006-01-01,2006-01-02
10,Villarreal,ESP,1,1862.88354492,2006-01-01,2006-01-08
11,Man United,ENG,1,1859.21972656,2006-01-01,2006-01-03
12,Real Madrid,ESP,1,1849.84179688,2005-12-22,2006-01-08
13,PSV,NED,1,1835.1661377,2005-12-30,2006-01-14
14,Valencia,ESP,1,1829.95117188,2005-12-22,2006-01-08
15,Werder,GER,1,1799.17004395,2005-12-19,2006-01-29
16,Depor,ESP,1,1784.86413574,2005-12-22,2006-01-07
17,Monaco,FRA,1,1783.39990234,2005-12-22,2006-01-05
18,Sevilla,ESP,1,1779.29882812,2005-12-22,2006-01-05
19,Lille,FRA,1,1768.5645752,2005-12-17,2006-01-04
20,Osasuna,ESP,1,1763.61572266,2005-12-27,2006-01-08
21,Hamburg,GER,1,1756.83752441,2006-01-01,2006-01-04
22,Bolton,ENG,1,1753.7869873,2006-01-01,2006-01-02
23,Schalke,GER,1,1751.60534668,2005-12-29,2006-01-04
24,Lens,FRA,1,1749.89929199,2005-12-29,2006-01-04
25,Tottenham,ENG,1,1749.10400391,2006-01-01,2006-01-04
26,CSKA Moskva,RUS,1,1740.72619629,2006-01-01,2006-01-11
27,Espanyol,ESP,1,1737.68908691,2005-12-31,2006-01-07
28,Betis,ESP,1,1737.56640625,2005-12-31,2006-01-07
29,Dynamo Kyiv,UKR,1,1732.77880859,2005-12-31,2006-01-04
30,Marseille,FRA,1,1731.39892578,2005-12-31,2006-01-04
31,Stuttgart,GER,1,1731.36560059,2005-12-31,2006-01-08
32,Paris SG,FRA,1,1730.71374512,2005-12-31,2006-01-04
33,Zaragoza,ESP,1,1730.16052246,2005-12-31,2006-01-04
34,Atletico,ESP,1,1730.05065918,2005-12-31,2006-01-04
35,Ajax,NED,1,1728.52246094,2005-12-31,2006-01-11
36,Malaga,ESP,1,1725.91394043,2005-12-27,2006-01-08
37,Shakhtar,UKR,1,1725.17822266,2005-12-27,2006-01-05
38,Auxerre,FRA,1,1717.81408691,2006-01-01,2006-01-05
39,Getafe,ESP,1,1716.93273926,2006-01-01,2006-01-08
40,Saint-Etienne,FRA,1,1716.76135254,2006-01-01,2006-01-04
41,Man City,ENG,1,1716.02966309,2006-01-01,2006-01-04
42,Newcastle,ENG,1,1715.29418945,2006-01-01,2006-01-02
43,Hertha,GER,1,1714.35778809,2005-12-22,2006-01-02
44,Bordeaux,FRA,1,1711.33190918,2005-12-22,2006-01-04
45,Sociedad,ESP,1,1711.03869629,2005-12-22,2006-01-04
46,Bilbao,ESP,1,1709.61242676,2005-12-22,2006-01-04
47,Fiorentina,ITA,1,1707.98693848,2005-12-27,2006-01-04
48,Sampdoria,ITA,1,1705.78015137,2005-12-27,2006-01-02
49,Porto,POR,1,1705.06994629,2005-12-27,2006-01-02
50,Celta,ESP,1,1704.40429688,2005-12-27,2006-01-02
51,Udinese,ITA,1,1702.62780762,2005-12-27,2006-01-02
52,Blackburn,ENG,1,1702.08605957,2006-01-01,2006-01-02
53,Alkmaar,NED,1,1699.578125,2006-01-01,2006-01-08
54,Fenerbahce,TUR,1,1698.38671875,2006-01-01,2006-01-08
55,Olympiakos,GRE,1,1692.91357422,2005-12-18,2006-01-02
56,Middlesbrough,ENG,1,1692.14575195,2006-01-01,2006-01-02
57,Santander,ESP,1,1691.50488281,2006-01-01,2006-01-08
58,Roma,ITA,1,1688.65270996,2006-01-01,2006-01-08
59,Benfica,POR,1,1687.47802734,2006-01-01,2006-01-08
60,Dortmund,GER,1,1686.81958008,2006-01-01,2006-01-08
61,Lazio,ITA,1,1682.83947754,2005-12-27,2006-01-08
62,Leverkusen,GER,1,1682.71984863,2005-12-27,2006-01-02
63,Feyenoord,NED,1,1680.13452148,2005-12-30,2006-01-02
64,Mallorca,ESP,1,1678.15991211,2005-12-30,2006-01-02
65,Livorno,ITA,1,1676.98156738,2006-01-01,2006-01-02
66,Lok Moskva,RUS,1,1675.54394531,2006-01-01,2006-01-02
67,Aston Villa,ENG,1,1674.46801758,2006-01-01,2006-01-02
68,Nantes,FRA,1,1673.65966797,2006-01-01,2006-01-04
69,Recreativo,ESP,2,1670.40881348,2006-01-01,2006-01-02
70,Steaua,ROM,1,1668.42456055,2006-01-01,2006-01-02
71,Fulham,ENG,1,1667.94714355,2006-01-01,2006-01-02
72,Nice,FRA,1,1667.07104492,2006-01-01,2006-01-04
73,Chievo,ITA,1,1666.7467041,2006-01-01,2006-01-04
74,Palermo,ITA,1,1666.41040039,2006-01-01,2006-01-04
75,Sochaux,FRA,1,1663.10571289,2006-01-01,2006-01-04
76,Wigan,ENG,1,1661.3371582,2006-01-01,2006-01-02
77,Galatasaray,TUR,1,1659.37084961,2005-12-27,2006-01-02
78,Le Mans,FRA,1,1654.0690918,2005-12-19,2006-01-02
79,Heerenveen,NED,1,1648.66516113,2005-12-31,2006-01-01
80,Rennes,FRA,1,1648.44030762,2005-12-31,2006-01-01
81,Celtic,SCO,1,1647.6496582,2005-12-31,2006-01-01
82,Strasbourg,FRA,1,1646.30786133,2005-12-31,2006-01-04
83,Zenit,RUS,1,1646.21789551,2005-12-31,2006-01-04
84,Cadiz,ESP,1,1645.92614746,2005-12-31,2006-01-04
85,Charlton,ENG,1,1645.828125,2006-01-01,2006-01-02
86,Anderlecht,BEL,1,1645.72766113,2006-01-01,2006-01-02
87,Hannover,GER,1,1645.32958984,2006-01-01,2006-01-02
88,Basel,SUI,1,1645.24780273,2006-01-01,2006-01-02
89,Sporting,POR,1,1640.76818848,2006-01-01,2006-01-04
