,Unnamed: 0,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,0,Jonathan Schmid,"€ 22,096","€ 1,149,000","€ 1,191,809",D,26,France,Augsburg,Bundesliga,2016-2017
1,1,Martin Hinteregger,"€ 22,096","€ 1,149,000","€ 1,191,809",D,23,Austria,Augsburg,Bundesliga,2016-2017
2,2,Ja-cheol Koo,"€ 22,096","€ 1,149,000","€ 1,191,809",M,27,South Korea,Augsburg,Bundesliga,2016-2017
3,3,Dong-won Ji,"€ 19,154","€ 996,000","€ 1,033,109",F,25,South Korea,Augsburg,Bundesliga,2016-2017
4,4,Raúl Bobadilla,"€ 19,154","€ 996,000","€ 1,033,109",F,29,Paraguay,Augsburg,Bundesliga,2016-2017
5,5,Jeffrey Gouweleeuw,"€ 18,404","€ 957,000","€ 992,656",D,24,Netherlands,Augsburg,Bundesliga,2016-2017
6,6,Daniel Baier,"€ 18,404","€ 957,000","€ 992,656",M,32,Germany,Augsburg,Bundesliga,2016-2017
7,7,Halil Altintop,"€ 14,346","€ 746,000","€ 773,794",M,33,Turkey,Augsburg,Bundesliga,2016-2017
8,8,Alexander Esswein,"€ 14,346","€ 746,000","€ 773,794",F,26,Germany,Augsburg,Bundesliga,2016-2017
9,9,Takashi Usami,"€ 14,346","€ 746,000","€ 773,794",F,24,Japan,Augsburg,Bundesliga,2016-2017
10,10,Caiuby,"€ 14,346","€ 746,000","€ 773,794",F,27,Brazil,Augsburg,Bundesliga,2016-2017
11,11,Dominik Kohr,"€ 14,346","€ 746,000","€ 773,794",M,22,Germany,Augsburg,Bundesliga,2016-2017
12,12,Gojko Kacar,"€ 14,346","€ 746,000","€ 773,794",M,29,Serbia,Augsburg,Bundesliga,2016-2017
13,13,Jan-Ingwer Callsen-Bracker,"€ 14,346","€ 746,000","€ 773,794",D,31,Germany,Augsburg,Bundesliga,2016-2017
14,14,Paul Verhaegh,"€ 14,346","€ 746,000","€ 773,794",D,32,Netherlands,Augsburg,Bundesliga,2016-2017
15,15,Moritz Leitner,"€ 14,346","€ 746,000","€ 773,794",M,23,Germany,Augsburg,Bundesliga,2016-2017
16,16,Marwin Hitz,"€ 14,346","€ 746,000","€ 773,794",K,28,Switzerland,Augsburg,Bundesliga,2016-2017
17,17,Markus Feulner,"€ 14,346","€ 746,000","€ 773,794",M,34,Germany,Augsburg,Bundesliga,2016-2017
18,18,Georg Teigl,"€ 9,173","€ 477,000","€ 494,772",M,25,Austria,Augsburg,Bundesliga,2016-2017
19,19,Christoph Janker,"€ 8,135","€ 423,000","€ 438,760",D,31,Germany,Augsburg,Bundesliga,2016-2017
20,20,Marvin Friedrich,"€ 8,135","€ 423,000","€ 438,760",D,20,Germany,Augsburg,Bundesliga,2016-2017
21,21,Philipp Max,"€ 7,327","€ 381,000","€ 395,195",D,22,Germany,Augsburg,Bundesliga,2016-2017
22,22,Andreas Luthe,"€ 6,596","€ 343,000","€ 355,779",K,29,Germany,Augsburg,Bundesliga,2016-2017
23,23,Raphael Framberger,€ 731,"€ 38,000","€ 39,416",D,20,Germany,Augsburg,Bundesliga,2016-2017
24,24,Marco Schuster,€ 615,"€ 32,000","€ 33,192",M,20,Germany,Augsburg,Bundesliga,2016-2017
25,25,Ioannis Gelios,€ 615,"€ 32,000","€ 33,192",K,24,Greece,Augsburg,Bundesliga,2016-2017
26,26,Tim Rieder,€ 577,"€ 30,000","€ 31,118",D,22,Germany,Augsburg,Bundesliga,2016-2017
27,27,Julian Günther-Schmidt,€ 481,"€ 25,000","€ 25,931",F,21,Germany,Augsburg,Bundesliga,2016-2017
28,28,Kevin Danso,€ 38,"€ 2,000","€ 2,075",D,17,Austria,Augsburg,Bundesliga,2016-2017
29,29,Erik Thommy,€ 0,€ 0,€ 0,M,21,Germany,Augsburg,Bundesliga,2016-2017
30,30,Daniel Opare,€ 0,€ 0,€ 0,D,25,Ghana,Augsburg,Bundesliga,2016-2017
31,31,Shawn Parker,€ 0,€ 0,€ 0,F,23,Germany,Augsburg,Bundesliga,2016-2017
32,32,Alfred Finnbogason,€ 0,€ 0,€ 0,F,27,Iceland,Augsburg,Bundesliga,2016-2017
33,33,Tim Matavz,€ 0,€ 0,€ 0,F,27,Slovenia,Augsburg,Bundesliga,2016-2017
34,34,Konstantinos Stafylidis,€ 0,€ 0,€ 0,D,22,Greece,Augsburg,Bundesliga,2016-2017
35,35,Albian Ajeti,€ 0,€ 0,€ 0,F,19,Switzerland,Augsburg,Bundesliga,2016-2017
