,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
12,Pierluigi Gollini,"€ 28,462","€ 1,480,000",GK,25,Starter,"Jun 30, 2023",3-yrs,"€ 4,440,000",Atalanta,Serie A,2020-2021
13,Remo Freuler,"€ 28,462","€ 1,480,000",CM,28,Reserve,"Jun 30, 2022",2-yrs,"€ 2,960,000",Atalanta,Serie A,2020-2021
14,Robin Gosens,"€ 28,462","€ 1,480,000",LB,26,Starter,"Jun 30, 2022",2-yrs,"€ 2,960,000",Atalanta,Serie A,2020-2021
15,Ruslan Malinovskyi,"€ 24,615","€ 1,280,000",AM,27,Reserve,"Jun 30, 2024",4-yrs,"€ 5,120,000",Atalanta,Serie A,2020-2021
16,Marco Sportiello,"€ 21,346","€ 1,110,000",GK,28,Reserve,"Jun 30, 2021",1-yr,"€ 1,110,000",Atalanta,Serie A,2020-2021
17,Sam Lammers,"€ 19,808","€ 1,030,000",CF,23,Reserve,"Jun 30, 2025",5-yrs,"€ 5,150,000",Atalanta,Serie A,2020-2021
18,Joakim Maehle,"€ 17,308","€ 900,000",RB,23,Reserve,"Jun 30, 2025",5-yrs,"€ 4,500,000",Atalanta,Serie A,2020-2021
19,Matteo Pessina,"€ 14,231","€ 740,000",AM,23,Reserve,"Jun 30, 2022",2-yrs,"€ 1,480,000",Atalanta,Serie A,2020-2021
20,Boris Radunović,"€ 10,962","€ 570,000",GK,24,Reserve,"Jun 30, 2022",2-yrs,"€ 1,140,000",Atalanta,Serie A,2020-2021
21,Bosko Sutalo,"€ 6,154","€ 320,000",CB,21,Reserve,"Jun 30, 2024",4-yrs,"€ 1,280,000",Atalanta,Serie A,2020-2021
22,Francesco Rossi,"€ 3,654","€ 190,000",GK,29,Reserve,"Jun 30, 2021",1-yr,"€ 190,000",Atalanta,Serie A,2020-2021
23,Cristian Romero,"€ 3,269","€ 170,000",CB,22,Starter,"Jun 30, 2022",2-yrs,"€ 340,000",Atalanta,Serie A,2020-2021
24,Matteo Ruggeri,€ 769,"€ 40,000",LB,18,Reserve,"Jun 30, 2021",1-yr,"€ 40,000",Atalanta,Serie A,2020-2021
0,Kamil Glik,"€ 61,731","€ 3,210,000",CB,32,Starter,"Jun 30, 2023",3-yrs,"€ 9,630,000",Benevento,Serie A,2020-2021
1,Iago Falque,"€ 60,577","€ 3,150,000",RW,31,Starter,"Jun 30, 2021",1-yr,"€ 3,150,000",Benevento,Serie A,2020-2021
2,Gianluca Lapadula,"€ 56,923","€ 2,960,000",CF,30,Reserve,"Jun 30, 2023",3-yrs,"€ 8,880,000",Benevento,Serie A,2020-2021
3,Gianluca Caprari,"€ 32,115","€ 1,670,000",LW,27,Starter,"Jun 30, 2021",1-yr,"€ 1,670,000",Benevento,Serie A,2020-2021
4,Artur Ionita,"€ 32,115","€ 1,670,000",CM,30,Starter,"Jun 30, 2023",3-yrs,"€ 5,010,000",Benevento,Serie A,2020-2021
5,Nicolas Viola,"€ 26,731","€ 1,390,000",CM,31,Reserve,"Jun 30, 2021",1-yr,"€ 1,390,000",Benevento,Serie A,2020-2021
6,Siriki Sanogo,"€ 25,000","€ 1,300,000",CM,19,Reserve,"Jun 30, 2021",1-yr,"€ 1,300,000",Benevento,Serie A,2020-2021
7,Marco Sau,"€ 25,000","€ 1,300,000",CF,33,Reserve,"Jun 30, 2021",1-yr,"€ 1,300,000",Benevento,Serie A,2020-2021
8,Pasquale Schiattarella,"€ 25,000","€ 1,300,000",CM,33,Starter,"Jun 30, 2022",2-yrs,"€ 2,600,000",Benevento,Serie A,2020-2021
9,Perparim Hetemaj,"€ 25,000","€ 1,300,000",CM,34,Starter,"Jun 30, 2021",1-yr,"€ 1,300,000",Benevento,Serie A,2020-2021
10,Adolfo Gaich,"€ 22,115","€ 1,150,000",CF,21,Reserve,"Jun 30, 2021",1-yr,"€ 1,150,000",Benevento,Serie A,2020-2021
11,Bryan Dabo,"€ 21,346","€ 1,110,000",CM,28,Reserve,"Jun 30, 2022",2-yrs,"€ 2,220,000",Benevento,Serie A,2020-2021
12,Luca Antei,"€ 21,346","€ 1,110,000",CB,28,Reserve,"Jun 30, 2021",1-yr,"€ 1,110,000",Benevento,Serie A,2020-2021
13,Roberto Insigne,"€ 17,885","€ 930,000",RW,26,Reserve,"Jun 30, 2021",1-yr,"€ 930,000",Benevento,Serie A,2020-2021
14,Federico Barba,"€ 15,962","€ 830,000",CB,27,Reserve,"Jun 30, 2023",3-yrs,"€ 2,490,000",Benevento,Serie A,2020-2021
15,Gabriele Moncini,"€ 12,500","€ 650,000",CF,24,Starter,"Jun 30, 2023",3-yrs,"€ 1,950,000",Benevento,Serie A,2020-2021
16,Gaetano Letizia,"€ 12,500","€ 650,000",RB,30,Starter,"Jun 30, 2022",2-yrs,"€ 1,300,000",Benevento,Serie A,2020-2021
17,Fabio Depaoli,"€ 12,500","€ 650,000",RB,23,Reserve,"Jun 30, 2021",1-yr,"€ 650,000",Benevento,Serie A,2020-2021
18,Luca Caldirola,"€ 12,308","€ 640,000",CB,30,Starter,"Jun 30, 2021",1-yr,"€ 640,000",Benevento,Serie A,2020-2021
19,Andrés Tello,"€ 10,769","€ 560,000",CM,24,Reserve,"Jun 30, 2021",1-yr,"€ 560,000",Benevento,Serie A,2020-2021
20,Lorenzo Montipò,"€ 9,615","€ 500,000",GK,24,Starter,"Jun 30, 2021",1-yr,"€ 500,000",Benevento,Serie A,2020-2021
21,Daam Foulon,"€ 8,654","€ 450,000",LB,21,Starter,"Jun 30, 2023",3-yrs,"€ 1,350,000",Benevento,Serie A,2020-2021
22,Alessandro Tuia,"€ 7,115","€ 370,000",CB,30,Reserve,"Jun 30, 2021",1-yr,"€ 370,000",Benevento,Serie A,2020-2021
23,Riccardo Improta,"€ 7,115","€ 370,000",LW,27,Reserve,"Jun 30, 2022",2-yrs,"€ 740,000",Benevento,Serie A,2020-2021
24,Nicolò Manfredini,"€ 2,885","€ 150,000",GK,32,Reserve,"Jun 30, 2021",1-yr,"€ 150,000",Benevento,Serie A,2020-2021
25,Giuseppe Di Serio,"€ 2,885","€ 150,000",CF,19,Reserve,"Jun 30, 2021",1-yr,"€ 150,000",Benevento,Serie A,2020-2021
26,Pier Graziano Gori,"€ 2,500","€ 130,000",GK,40,Reserve,"Jun 30, 2021",1-yr,"€ 130,000",Benevento,Serie A,2020-2021
27,Christian Pastina,"€ 1,731","€ 90,000",CB,19,Reserve,"Jun 30, 2021",1-yr,"€ 90,000",Benevento,Serie A,2020-2021
28,Davide Masella,€ 769,"€ 40,000",AM,18,Reserve,"Jun 30, 2024",4-yrs,"€ 160,000",Benevento,Serie A,2020-2021
29,Igor Lucatelli,€ 769,"€ 40,000",GK,17,Reserve,"Jun 30, 2021",1-yr,"€ 40,000",Benevento,Serie A,2020-2021
0,Roberto Soriano,"€ 39,423","€ 2,050,000",AM,29,Starter,"Jun 30, 2023",3-yrs,"€ 6,150,000",Bologna,Serie A,2020-2021
1,Nicola Sansone,"€ 39,423","€ 2,050,000",LW,29,Reserve,"Jun 30, 2023",3-yrs,"€ 6,150,000",Bologna,Serie A,2020-2021
2,Andrea Poli,"€ 39,231","€ 2,040,000",CM,31,Reserve,"Jun 30, 2022",2-yrs,"€ 4,080,000",Bologna,Serie A,2020-2021
3,Riccardo Orsolini,"€ 39,231","€ 2,040,000",RW,24,Reserve,"Jun 30, 2022",2-yrs,"€ 4,080,000",Bologna,Serie A,2020-2021
4,Rodrigo Palacio,"€ 39,231","€ 2,040,000",CF,38,Starter,"Jun 30, 2021",1-yr,"€ 2,040,000",Bologna,Serie A,2020-2021
5,Gary Medel,"€ 36,923","€ 1,920,000",DM,33,Starter,"Jun 30, 2022",2-yrs,"€ 3,840,000",Bologna,Serie A,2020-2021
6,Federico Santander,"€ 35,577","€ 1,850,000",CF,29,Reserve,"Jun 30, 2022",2-yrs,"€ 3,700,000",Bologna,Serie A,2020-2021
7,Lorenzo De Silvestri,"€ 32,115","€ 1,670,000",RB,32,Starter,"Jun 30, 2022",2-yrs,"€ 3,340,000",Bologna,Serie A,2020-2021
8,Lukasz Skorupski,"€ 32,115","€ 1,670,000",GK,29,Starter,"Jun 30, 2023",3-yrs,"€ 5,010,000",Bologna,Serie A,2020-2021
9,Adama Soumaoro,"€ 30,962","€ 1,610,000",CB,28,Reserve,"Jun 30, 2021",1-yr,"€ 1,610,000",Bologna,Serie A,2020-2021
10,Musa Barrow,"€ 28,462","€ 1,480,000",CF,22,Starter,"Jun 30, 2024",4-yrs,"€ 5,920,000",Bologna,Serie A,2020-2021
11,Mitchell Dijks,"€ 28,462","€ 1,480,000",LB,27,Reserve,"Jun 30, 2023",3-yrs,"€ 4,440,000",Bologna,Serie A,2020-2021
12,Ibrahima Mbaye,"€ 26,731","€ 1,390,000",RB,26,Reserve,"Jun 30, 2023",3-yrs,"€ 4,170,000",Bologna,Serie A,2020-2021
13,Danilo,"€ 19,808","€ 1,030,000",CB,36,Reserve,"Jun 30, 2021",1-yr,"€ 1,030,000",Bologna,Serie A,2020-2021
14,Andreas Skov Olsen,"€ 19,808","€ 1,030,000",RW,21,Starter,"Jun 30, 2024",4-yrs,"€ 4,120,000",Bologna,Serie A,2020-2021
15,Paolo Faragò,"€ 17,885","€ 930,000",RB,27,Reserve,"Jun 30, 2021",1-yr,"€ 930,000",Bologna,Serie A,2020-2021
16,Mattias Svanberg,"€ 17,885","€ 930,000",CM,22,Starter,"Jun 30, 2023",3-yrs,"€ 2,790,000",Bologna,Serie A,2020-2021
17,Nicolás Domínguez,"€ 17,308","€ 900,000",CM,22,Reserve,"Jun 30, 2024",4-yrs,"€ 3,600,000",Bologna,Serie A,2020-2021
18,Valentin Antov,"€ 14,808","€ 770,000",CB,20,Reserve,"Jun 30, 2021",1-yr,"€ 770,000",Bologna,Serie A,2020-2021
19,Takehiro Tomiyasu,"€ 14,808","€ 770,000",CB,22,Starter,"Jun 30, 2024",4-yrs,"€ 3,080,000",Bologna,Serie A,2020-2021
20,Angelo da Costa,"€ 12,500","€ 650,000",GK,37,Reserve,"Jun 30, 2021",1-yr,"€ 650,000",Bologna,Serie A,2020-2021
21,Jerdy Schouten,"€ 12,308","€ 640,000",CM,24,Starter,"Jun 30, 2024",4-yrs,"€ 2,560,000",Bologna,Serie A,2020-2021
22,Aaron Hickey,"€ 11,154","€ 580,000",LB,18,Starter,"Jun 30, 2024",4-yrs,"€ 2,320,000",Bologna,Serie A,2020-2021
23,Emanuel Vignato,"€ 10,769","€ 560,000",RW,20,Reserve,"Jun 30, 2024",4-yrs,"€ 2,240,000",Bologna,Serie A,2020-2021
24,Andri Fannar Baldursson,"€ 5,385","€ 280,000",CM,19,Reserve,"Jun 30, 2025",5-yrs,"€ 1,400,000",Bologna,Serie A,2020-2021
25,Federico Ravaglia,"€ 1,154","€ 60,000",GK,21,Reserve,"Jun 30, 2023",3-yrs,"€ 180,000",Bologna,Serie A,2020-2021
26,Sebastian Breza,"€ 1,154","€ 60,000",GK,22,Reserve,"Jun 30, 2021",1-yr,"€ 60,000",Bologna,Serie A,2020-2021
27,Edoardo Vergani,€ 769,"€ 40,000",CF,19,Reserve,"Jun 30, 2021",1-yr,"€ 40,000",Bologna,Serie A,2020-2021
28,Musa Juwara,€ 769,"€ 40,000",LW,19,Reserve,"Jun 30, 2024",4-yrs,"€ 160,000",Bologna,Serie A,2020-2021
0,Radja Nainggolan,"€ 160,192","€ 8,330,000",AM,32,Reserve,"Jun 30, 2021",1-yr,"€ 8,330,000",Cagliari,Serie A,2020-2021
1,Daniele Rugani,"€ 124,615","€ 6,480,000",CB,26,Reserve,"Jun 30, 2021",1-yr,"€ 6,480,000",Cagliari,Serie A,2020-2021
2,Diego Godín,"€ 74,038","€ 3,850,000",CB,34,Starter,"Jun 30, 2023",3-yrs,"€ 11,550,000",Cagliari,Serie A,2020-2021
3,Marko Rog,"€ 53,462","€ 2,780,000",CM,25,Starter,"Jun 30, 2024",4-yrs,"€ 11,120,000",Cagliari,Serie A,2020-2021
4,Giovanni Simeone,"€ 53,462","€ 2,780,000",CF,25,Starter,"Jun 30, 2024",4-yrs,"€ 11,120,000",Cagliari,Serie A,2020-2021
5,Leonardo Pavoletti,"€ 49,808","€ 2,590,000",CF,32,Reserve,"Jun 30, 2022",2-yrs,"€ 5,180,000",Cagliari,Serie A,2020-2021
6,João Pedro,"€ 49,808","€ 2,590,000",AM,28,Starter,"Jun 30, 2023",3-yrs,"€ 7,770,000",Cagliari,Serie A,2020-2021
7,Alfred Duncan,"€ 46,346","€ 2,410,000",CM,27,Reserve,"Jun 30, 2021",1-yr,"€ 2,410,000",Cagliari,Serie A,2020-2021
8,Nahitan Nández,"€ 39,423","€ 2,050,000",CM,25,Starter,"Jun 30, 2024",4-yrs,"€ 8,200,000",Cagliari,Serie A,2020-2021
9,Alberto Cerri,"€ 35,577","€ 1,850,000",CF,24,Reserve,"Jun 30, 2024",4-yrs,"€ 7,400,000",Cagliari,Serie A,2020-2021
10,Alessio Cragno,"€ 35,577","€ 1,850,000",GK,26,Starter,"Jun 30, 2024",4-yrs,"€ 7,400,000",Cagliari,Serie A,2020-2021
11,Ragnar Klavan,"€ 35,577","€ 1,850,000",CB,35,Reserve,"Jun 30, 2021",1-yr,"€ 1,850,000",Cagliari,Serie A,2020-2021
12,Luca Ceppitelli,"€ 35,577","€ 1,850,000",CB,31,Reserve,"Jun 30, 2021",1-yr,"€ 1,850,000",Cagliari,Serie A,2020-2021
13,Gastón Pereiro,"€ 34,423","€ 1,790,000",AM,25,Reserve,"Jun 30, 2024",4-yrs,"€ 7,160,000",Cagliari,Serie A,2020-2021
14,Răzvan Marin,"€ 24,615","€ 1,280,000",CM,24,Starter,"Jun 30, 2021",1-yr,"€ 1,280,000",Cagliari,Serie A,2020-2021
15,Charalampos Lykogiannis,"€ 17,885","€ 930,000",LB,27,Starter,"Jun 30, 2022",2-yrs,"€ 1,860,000",Cagliari,Serie A,2020-2021
16,Riccardo Sottil,"€ 17,885","€ 930,000",LW,21,Starter,"Jun 30, 2021",1-yr,"€ 930,000",Cagliari,Serie A,2020-2021
17,Andrea Carboni,"€ 11,731","€ 610,000",CB,19,Reserve,"Jun 30, 2025",5-yrs,"€ 3,050,000",Cagliari,Serie A,2020-2021
18,Guglielmo Vicario,"€ 10,769","€ 560,000",GK,24,Reserve,"Jun 30, 2024",4-yrs,"€ 2,240,000",Cagliari,Serie A,2020-2021
19,Alessandro Deiola,"€ 10,769","€ 560,000",CM,25,Reserve,"Jun 30, 2022",2-yrs,"€ 1,120,000",Cagliari,Serie A,2020-2021
20,Alessandro Tripaldelli,"€ 10,769","€ 560,000",LB,21,Reserve,"Jun 30, 2023",3-yrs,"€ 1,680,000",Cagliari,Serie A,2020-2021
21,Gabriele Zappa,"€ 10,769","€ 560,000",RB,21,Starter,"Jun 30, 2025",5-yrs,"€ 2,800,000",Cagliari,Serie A,2020-2021
22,Arturo Calabresi,"€ 8,846","€ 460,000",CB,24,Reserve,"Jun 30, 2021",1-yr,"€ 460,000",Cagliari,Serie A,2020-2021
23,Zito Luvumbo,"€ 8,846","€ 460,000",RW,18,Reserve,"Jun 30, 2025",5-yrs,"€ 2,300,000",Cagliari,Serie A,2020-2021
24,Sebastian Walukiewicz,"€ 7,308","€ 380,000",CB,20,Starter,"Jun 30, 2024",4-yrs,"€ 1,520,000",Cagliari,Serie A,2020-2021
25,Simone Aresti,"€ 5,385","€ 280,000",GK,34,Reserve,"Jun 30, 2021",1-yr,"€ 280,000",Cagliari,Serie A,2020-2021
26,Matteo Tramoni,"€ 3,654","€ 190,000",LW,21,Reserve,"Jun 30, 2025",5-yrs,"€ 950,000",Cagliari,Serie A,2020-2021
0,Adam Ounas,"€ 35,577","€ 1,850,000",RW,24,Reserve,"Jun 30, 2021",1-yr,"€ 1,850,000",Crotone,Serie A,2020-2021
1,Sebastiano Luperto,"€ 25,000","€ 1,300,000",CB,24,Reserve,"Jun 30, 2021",1-yr,"€ 1,300,000",Crotone,Serie A,2020-2021
2,Samuel Di Carmine,"€ 25,000","€ 1,300,000",CF,32,Reserve,"Jun 30, 2021",1-yr,"€ 1,300,000",Crotone,Serie A,2020-2021
3,Arkadiusz Reca,"€ 21,346","€ 1,110,000",LM,25,Starter,"Jun 30, 2021",1-yr,"€ 1,110,000",Crotone,Serie A,2020-2021
4,Simy,"€ 21,346","€ 1,110,000",CF,28,Starter,"Jun 30, 2022",2-yrs,"€ 2,220,000",Crotone,Serie A,2020-2021
5,Lisandro Magallán,"€ 18,462","€ 960,000",CB,27,Starter,"Jun 30, 2021",1-yr,"€ 960,000",Crotone,Serie A,2020-2021
6,Jacopo Petriccione,"€ 17,885","€ 930,000",DM,25,Reserve,"Jun 30, 2024",4-yrs,"€ 3,720,000",Crotone,Serie A,2020-2021
7,Ahmad Benali,"€ 16,346","€ 850,000",CM,28,Reserve,"Jun 30, 2023",3-yrs,"€ 2,550,000",Crotone,Serie A,2020-2021
8,Emmanuel Rivière,"€ 15,962","€ 830,000",CF,30,Reserve,"Jun 30, 2022",2-yrs,"€ 1,660,000",Crotone,Serie A,2020-2021
9,Luca Cigarini,"€ 15,192","€ 790,000",DM,34,Starter,"Jun 30, 2022",2-yrs,"€ 1,580,000",Crotone,Serie A,2020-2021
10,Luca Marrone,"€ 14,231","€ 740,000",CB,30,Starter,"Jun 30, 2022",2-yrs,"€ 1,480,000",Crotone,Serie A,2020-2021
11,Andrea Rispoli,"€ 13,269","€ 690,000",RM,32,Reserve,"Jun 30, 2022",2-yrs,"€ 1,380,000",Crotone,Serie A,2020-2021
12,Eduardo Henrique,"€ 10,385","€ 540,000",DM,25,Reserve,"Jun 30, 2021",1-yr,"€ 540,000",Crotone,Serie A,2020-2021
13,Milos Vulic,"€ 9,808","€ 510,000",CM,24,Starter,"Jun 30, 2023",3-yrs,"€ 1,530,000",Crotone,Serie A,2020-2021
14,Koffi Djidji,"€ 9,038","€ 470,000",CB,28,Reserve,"Jun 30, 2021",1-yr,"€ 470,000",Crotone,Serie A,2020-2021
15,Vladimir Golemic,"€ 8,654","€ 450,000",CB,29,Starter,"Jun 30, 2021",1-yr,"€ 450,000",Crotone,Serie A,2020-2021
16,Niccolò Zanellato,"€ 7,885","€ 410,000",CM,22,Reserve,"Jun 30, 2021",1-yr,"€ 410,000",Crotone,Serie A,2020-2021
17,Pedro Pereira,"€ 7,308","€ 380,000",RM,23,Starter,"Jun 30, 2021",1-yr,"€ 380,000",Crotone,Serie A,2020-2021
18,Salvatore Molina,"€ 7,115","€ 370,000",RM,29,Starter,"Jun 30, 2023",3-yrs,"€ 1,110,000",Crotone,Serie A,2020-2021
19,Giuseppe Cuomo,"€ 6,346","€ 330,000",CB,23,Reserve,"Jun 30, 2022",2-yrs,"€ 660,000",Crotone,Serie A,2020-2021
20,Alex Cordaz,"€ 5,385","€ 280,000",GK,38,Starter,"Jun 30, 2022",2-yrs,"€ 560,000",Crotone,Serie A,2020-2021
21,Antonio Mazzotta,"€ 5,385","€ 280,000",LM,31,Reserve,"Jun 30, 2021",1-yr,"€ 280,000",Crotone,Serie A,2020-2021
22,Luis Rojas,"€ 5,000","€ 260,000",AM,18,Reserve,"Jun 30, 2024",4-yrs,"€ 1,040,000",Crotone,Serie A,2020-2021
23,Marco Festa,"€ 3,846","€ 200,000",GK,28,Reserve,"Jun 30, 2022",2-yrs,"€ 400,000",Crotone,Serie A,2020-2021
24,Junior Messias,"€ 3,846","€ 200,000",SS,29,Starter,"Jun 30, 2024",4-yrs,"€ 800,000",Crotone,Serie A,2020-2021
25,Denis Dragus,"€ 3,654","€ 190,000",CF,21,Reserve,"Jun 30, 2021",1-yr,"€ 190,000",Crotone,Serie A,2020-2021
26,Gian Marco Crespi,"€ 2,500","€ 130,000",GK,19,Reserve,"Jun 30, 2021",1-yr,"€ 130,000",Crotone,Serie A,2020-2021
27,Aristóteles Romero,"€ 1,731","€ 90,000",DM,25,Reserve,"Jun 30, 2021",1-yr,"€ 90,000",Crotone,Serie A,2020-2021
28,Francesco D'Alterio,€ 769,"€ 40,000",GK,18,Reserve,"Jun 30, 2021",1-yr,"€ 40,000",Crotone,Serie A,2020-2021
0,Franck Ribéry,"€ 98,654","€ 5,130,000",LW,37,Starter,"Jun 30, 2021",1-yr,"€ 5,130,000",Fiorentina,Serie A,2020-2021
1,José Callejón,"€ 78,269","€ 4,070,000",RW,33,Reserve,"Jun 30, 2022",2-yrs,"€ 8,140,000",Fiorentina,Serie A,2020-2021
2,Giacomo Bonaventura,"€ 53,462","€ 2,780,000",CM,31,Starter,"Jun 30, 2022",2-yrs,"€ 5,560,000",Fiorentina,Serie A,2020-2021
3,Gaetano Castrovilli,"€ 49,808","€ 2,590,000",CM,23,Starter,"Jun 30, 2024",4-yrs,"€ 10,360,000",Fiorentina,Serie A,2020-2021
4,Germán Pezzella,"€ 42,692","€ 2,220,000",CB,29,Starter,"Jun 30, 2022",2-yrs,"€ 4,440,000",Fiorentina,Serie A,2020-2021
5,Christian Kouamé,"€ 42,692","€ 2,220,000",CF,23,Reserve,"Jun 30, 2024",4-yrs,"€ 8,880,000",Fiorentina,Serie A,2020-2021
